metacell	cell_type	color	broad_cell_type	cluster	cluster_mc	cluster_color
1	lipophil	khaki2	lipophil	1_darkmagenta	1	#8B008B
2	lipophil	khaki2	lipophil	1_darkmagenta	11	#8B008B
3	lipophil	khaki2	lipophil	1_darkmagenta	12	#8B008B
4	lipophil	khaki2	lipophil	1_darkmagenta	13	#8B008B
5	lipophil	khaki2	lipophil	1_darkmagenta	14	#8B008B
6	lipophil	khaki2	lipophil	1_darkmagenta	15	#8B008B
7	lipophil	khaki2	lipophil	1_darkmagenta	16	#8B008B
8	lipophil	khaki2	lipophil	1_darkmagenta	17	#8B008B
9	lipophil	khaki2	lipophil	1_darkmagenta	18	#8B008B
10	lipophil	khaki2	lipophil	1_darkmagenta	19	#8B008B
11	lipophil	khaki2	lipophil	1_darkmagenta	2	#8B008B
12	lipophil	khaki2	lipophil	1_darkmagenta	20	#8B008B
13	lipophil	khaki2	lipophil	1_darkmagenta	21	#8B008B
14	lipophil	khaki2	lipophil	1_darkmagenta	22	#8B008B
15	lipophil	khaki2	lipophil	1_darkmagenta	23	#8B008B
16	lipophil	khaki2	lipophil	1_darkmagenta	24	#8B008B
17	lipophil	khaki2	lipophil	1_darkmagenta	25	#8B008B
18	lipophil	khaki2	lipophil	1_darkmagenta	26	#8B008B
19	lipophil	khaki2	lipophil	1_darkmagenta	27	#8B008B
20	lipophil	khaki2	lipophil	1_darkmagenta	28	#8B008B
21	lipophil	khaki2	lipophil	1_darkmagenta	29	#8B008B
22	lipophil	khaki2	lipophil	1_darkmagenta	3	#8B008B
23	lipophil	khaki2	lipophil	1_darkmagenta	30	#8B008B
24	lipophil	khaki2	lipophil	1_darkmagenta	31	#8B008B
25	lipophil	khaki2	lipophil	1_darkmagenta	32	#8B008B
26	lipophil	khaki2	lipophil	1_darkmagenta	33	#8B008B
27	lipophil	khaki2	lipophil	1_darkmagenta	34	#8B008B
28	lipophil	khaki2	lipophil	1_darkmagenta	35	#8B008B
29	lipophil	khaki2	lipophil	1_darkmagenta	36	#8B008B
30	lipophil	khaki2	lipophil	1_darkmagenta	37	#8B008B
