gene	orthogroup	orthogroup_support	orthologous_to	orthologous_to_support
Spis_XP_022797028_1	ASC.HG1.0:like:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5/SCNN1A/SCNN1B/SCNN1D/SCNN1G	100.0	NA	NA
Exapal_XM_028662288.1	ASC.HG1.0:like:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5/SCNN1A/SCNN1B/SCNN1D/SCNN1G	100.0	NA	NA
Exapal_XM_028659177.1	ASC.HG1.0:like:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5/SCNN1A/SCNN1B/SCNN1D/SCNN1G	100.0	NA	NA
Exapal_XM_028659173.1	ASC.HG1.0:like:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5/SCNN1A/SCNN1B/SCNN1D/SCNN1G	100.0	NA	NA
Exapal_XM_021045224.1	ASC.HG1.0:like:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5/SCNN1A/SCNN1B/SCNN1D/SCNN1G	100.0	NA	NA
Exapal_XM_021055934.2	ASC.HG1.0:like:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5/SCNN1A/SCNN1B/SCNN1D/SCNN1G	100.0	NA	NA
Exapal_XM_028659185.1	ASC.HG1.0:like:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5/SCNN1A/SCNN1B/SCNN1D/SCNN1G	100.0	NA	NA
Exapal_XM_021058223.2	ASC.HG1.0:like:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5/SCNN1A/SCNN1B/SCNN1D/SCNN1G	100.0	NA	NA
Spis_XP_022796998_1	ASC.HG1.0:like:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5/SCNN1A/SCNN1B/SCNN1D/SCNN1G	100.0	NA	NA
Spis_XP_022795978_1	ASC.HG1.0:like:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5/SCNN1A/SCNN1B/SCNN1D/SCNN1G	100.0	NA	NA
Adig_XM_015924754.1	ASC.HG1.0:like:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5/SCNN1A/SCNN1B/SCNN1D/SCNN1G	100.0	NA	NA
Adig_XM_015924748.1	ASC.HG1.0:like:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5/SCNN1A/SCNN1B/SCNN1D/SCNN1G	100.0	NA	NA
Spis_XP_022800109_1	ASC.HG1.0:like:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5/SCNN1A/SCNN1B/SCNN1D/SCNN1G	100.0	NA	NA
Spis_XP_022795979_1	ASC.HG1.0:like:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5/SCNN1A/SCNN1B/SCNN1D/SCNN1G	100.0	NA	NA
Exapal_XM_028662045.1	ASC.HG1.1:like:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5/SCNN1A/SCNN1B/SCNN1D/SCNN1G	100.0	NA	NA
Exapal_XM_021055128.2	ASC.HG1.1:like:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5/SCNN1A/SCNN1B/SCNN1D/SCNN1G	100.0	NA	NA
Exapal_XM_028661840.1	ASC.HG1.1:like:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5/SCNN1A/SCNN1B/SCNN1D/SCNN1G	100.0	NA	NA
Nvec_v1g221454	ASC.HG1.2:like:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5/SCNN1A/SCNN1B/SCNN1D/SCNN1G	100.0	NA	NA
Nvec_v1g225990	ASC.HG1.2:like:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5/SCNN1A/SCNN1B/SCNN1D/SCNN1G	100.0	NA	NA
Nvec_v1g198832	ASC.HG1.2:like:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5/SCNN1A/SCNN1B/SCNN1D/SCNN1G	100.0	NA	NA
Exapal_XM_021057985.2	ASC.HG1.3:like:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5/SCNN1A/SCNN1B/SCNN1D/SCNN1G	81.0	NA	NA
Nvec_v1g144214	ASC.HG1.3:like:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5/SCNN1A/SCNN1B/SCNN1D/SCNN1G	81.0	NA	NA
Nvec_v1g139152	ASC.HG1.3:like:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5/SCNN1A/SCNN1B/SCNN1D/SCNN1G	81.0	NA	NA
Nvec_v1g47769	ASC.HG1.3:like:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5/SCNN1A/SCNN1B/SCNN1D/SCNN1G	81.0	NA	NA
Nvec_v1g956	ASC.HG1.3:like:ASIC1/ASIC2/ASIC3/ASIC4/ASIC5/SCNN1A/SCNN1B/SCNN1D/SCNN1G	81.0	NA	NA
