gene	orthogroup	orthogroup_support	orthologous_to	orthologous_to_support
Ocar_g1647	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0/89.0/89.0/89.0/89.0/89.0
Hvul_g2717_1	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	BMPR1A/BMPR1B	98.0/98.0
Cgig_XM_011453001.3	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	ACVR1	87.0
Hsap_ENST00000243349	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	ACVR1C	100.0
Hsap_ENST00000372037	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	BMPR1A	100.0
Bralan_BLAG15000142_1	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	BMPR1A/BMPR1B	98.0/98.0
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA227433	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	ACVR1B/ACVR1C/TGFBR1	91.0/91.0/91.0
Drer_ENSDART00000166769	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	BMPR1A	100.0
Drer_ENSDART00000129308	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	ACVR1C	100.0
Drer_ENSDART00000121885	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	NA	NA
Drer_ENSDART00000061973	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	NA	NA
Tcas_TC015948_001	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	ACVR1	87.0
Hsap_ENST00000440890	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	BMPR1B	100.0
Spur_XM_792376.5	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	BMPR1A/BMPR1B	98.0/98.0
Tcas_TC006474_001	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	BMPR1A/BMPR1B	98.0/98.0
Drer_ENSDART00000168820	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	BMPR1B	100.0
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA109715	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	NA	NA
Skow_NM_001164894.1	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	BMPR1A/BMPR1B	98.0/98.0
Mmus_ENSMUST00000049005	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	BMPR1A	100.0
Morvir_scaffold15.g46.t1	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	BMPR1A/BMPR1B	98.0/98.0
Bralan_BLAG17000933_2	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	ACVR1B/ACVR1C/TGFBR1	65.0/65.0/65.0
Mmus_ENSMUST00000007757	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	TGFBR1	100.0
Cgig_NM_001305359.1	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	ACVR1B/ACVR1C/TGFBR1	70.0/70.0/70.0
Drer_ENSDART00000026768	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	BMPR1A	100.0
Hsap_ENST00000541224	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	ACVR1B	100.0
Hsap_ENST00000263640	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	ACVR1	100.0
Dmel_FBtr0088658	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	ACVR1B/ACVR1C/TGFBR1	70.0/70.0/70.0
Dmel_FBtr0308825	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	ACVR1	87.0
Mmus_ENSMUST00000056376	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	ACVR1	100.0
Nemnom_g2883.t1	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	BMPR1A/BMPR1B	98.0/98.0
Aque_Aqu2.1.41569_001	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	NA	NA
Nvec_v1g165860	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	BMPR1A/BMPR1B	98.0/98.0
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA111904	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	BMPR1A/BMPR1B	98.0/98.0
Dmel_FBtr0079087	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	BMPR1A/BMPR1B	98.0/98.0
Mmus_ENSMUST00000029948	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	BMPR1B	100.0
Hsap_ENST00000552516	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	TGFBR1	100.0
Exapal_XM_021038191.2	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	BMPR1A/BMPR1B	98.0/98.0
Dgig_XM_028543863.1	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	BMPR1A/BMPR1B	98.0/98.0
Mmus_ENSMUST00000028178	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	ACVR1C	100.0
Drer_ENSDART00000159412	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	BMPR1B	100.0
Spis_XP_022799194_1	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	BMPR1A/BMPR1B	98.0/98.0
Hvul_g21016_1	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	BMPR1A/BMPR1B	98.0/98.0
Nvec_v1g178197	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	ACVR1	87.0
Cgig_XM_034456361.1	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	BMPR1A/BMPR1B	98.0/98.0
Cint_ENSCINT00000005916	Activin_recp.HG1.0:ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0	ACVR1/ACVR1B/ACVR1C/BMPR1A/BMPR1B/TGFBR1	89.0/89.0/89.0/89.0/89.0/89.0
Coemet_Cmet_scaffold7286_01	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	ACVR2A/ACVR2B/BMPR2	79.0/79.0/79.0
Tcas_TC011357_001	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	ACVR2A/ACVR2B	83.0/83.0
Nvec_v1g80560	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	NA	NA
Drer_ENSDART00000125961	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	BMPR2	100.0
Dmel_FBtr0330072	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	BMPR2	39.0
Nvec_NVE24908	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	NA	NA
Hsap_ENST00000241416	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	ACVR2A	100.0
Cint_ENSCINT00000000633	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	ACVR2A/ACVR2B	80.0/80.0
Bralan_BLAG12000832_1	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	BMPR2	85.0
Mmus_ENSMUST00000165044	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	ACVR2B	100.0
Nvec_v1g104199	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	NA	NA
Plajan_Pjan_C543402_01	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	BMPR2	58.0
Hsap_ENST00000352511	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	ACVR2B	100.0
Spur_XM_031000062.1	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	ACVR2A/ACVR2B	83.0/83.0
Cgig_XM_034471985.1	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	BMPR2	85.0
Spur_XM_030972667.1	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	ACVR2A/ACVR2B	83.0/83.0
Exapal_XM_021061511.2	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	NA	NA
Mmus_ENSMUST00000087435	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	BMPR2	100.0
Skow_XM_006811441.1	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	NA	NA
Adig_XM_015904453.1	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	NA	NA
Nvec_v1g200867	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	NA	NA
Skow_XM_006821998.1	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	ACVR2A/ACVR2B	56.0/56.0
Dmel_FBtr0330227	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	ACVR2A/ACVR2B	83.0/83.0
Skow_XM_006816159.1	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	BMPR2	85.0
Drer_ENSDART00000170353	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	ACVR2B	100.0
Nemnom_g16697.t1	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	NA	NA
Mmus_ENSMUST00000063886	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	ACVR2A	100.0
Spis_XP_022792179_1	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	NA	NA
Hsap_ENST00000374580	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	BMPR2	100.0
Tcas_TC009314_001	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	BMPR2	95.0
Morvir_scaffold270.g17.t1	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	NA	NA
Adig_XM_015917867.1	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	NA	NA
Spur_XM_785890.5	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	BMPR2	85.0
Exapal_XM_028658817.1	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	NA	NA
Drer_ENSDART00000056764	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	BMPR2	100.0
Drer_ENSDART00000105492	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	ACVR2A	99.0
Bralan_BLAG12000467_1	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	ACVR2A/ACVR2B	70.0/70.0
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA94926	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	ACVR2A/ACVR2B	71.0/71.0
Drer_ENSDART00000121592	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	ACVR2B	100.0
Spis_XP_022779238_1	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	NA	NA
