gene	orthogroup	orthogroup_support	reference_ortholog	reference_support
Lampan_Lpan_4265_01	OG0	1.0		
Pocdam_XM_027187083.1	OG0	1.0		
Fspp_ffun1.m4.5249.m1	OG0	1.0		
Scil_scict017530.1	OG0	1.0		
Dgig_XM_028539784.1	OG0	1.0		
HoiH04_mRNA7268	OG0	1.0		
Lcom_lcpid103411	OG0	1.0		
HoiH11_mRNA4081	OG0	1.0		
Gracom_Gcom_C533994_01	OG0	1.0		
Spis_XP_022803996_1	OG0	1.0		
Rhoesc_Res_008785-T1	OG0	1.0		
Skow_XM_006814609.1	OG0	1.0		
Tadh_TriadT61930	OG0	1.0		
Opea_EP00118_Oscarella_pearsei_P027588	OG0	1.0		
Spur_XM_030986256.1	OG0	1.0		
TrH2_TrispH2_006277-RA	OG0	1.0		
Bralan_BLAG09000438_1	OG0	1.0		
Hhon_g04944.t1	OG0	1.0		
Exapal_XM_021044991.2	OG0	1.0		
Nvec_v1g236651	OG0	1.0		
Morvir_scaffold302.g4.t1	OG0	1.0		
Cgig_XM_011417332.3	OG0	1.0		
Amil_Amillepora14838-RA	OG0	1.0		
Rhoesc_Res_014442-T1	OG0	1.0		
Sanmal_Sma_013335-T1	OG0	1.0		
Xesp_018416-T1	OG0	1.0		
Hsap_ENST00000260372	OG0	1.0		
Plajan_Pjan_C537164_01	OG0	1.0		
Chem_TCONS_00058568	OG0	1.0		
Rhoesc_Res_014438-T1	OG0	1.0		
Xesp_018415-T1	OG0	1.0		
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA135097	OG0	1.0		
Gfas_gfas1.m1.8454.m1	OG0	1.0		
Nemnom_g7138.t1	OG0	1.0		
Gasp_gasp1.m3.3599.m1	OG0	1.0		
Acagra_model.g4014.t1	OG0	1.0		
HoiH06_mRNA7486	OG0	1.0		
Hvul_g16277_1	OG0	1.0		
HoiH23_PlH23_010600-RA	OG0	1.0		
Aque_Aqu2.1.38464_001	OG0	1.0		
Halamb_c40299_g1_i2m.12547	OG0	1.0		
Spolac_c103045_g1_i1_m.32205c103045-g1NA	OG0	1.0		
Mlei_ML1906.g8.i1	OG0	1.0		
Mertsp_Mesp_sb607655	OG0	1.0		
Horcal_Hcv1.av93.c1.g1629.i1	OG0	1.0		
Coeast_Cast_sb810534	OG0	1.0		
Beraby_Baby_sb352748	OG0	1.0		
Coeast_Cast_sb810533	OG0	1.0		
Plespi_Pspi_scaffold17637_01	OG0	1.0		
Vmul_SimC387642	OG0	1.0		
