gene	orthogroup	orthogroup_support	reference_ortholog	reference_support
Cscu_XM_023358617.1	OG0	73.0		
Dpul_mRNA26173	OG0	73.0		
Xestes_augustus_masked-XT_scaffold187918-processed-gene-0.27-mRNA-1	OG0	73.0		
Tcas_TC030782_001	OG0	73.0		
Ocar_g579	OG0	73.0		
Opea_EP00118_Oscarella_pearsei_P005707	OG0	73.0		
Xestes_maker-XT_scaffold108085-augustus-gene-0.2-mRNA-1	OG0	73.0		
Xestes_maker-XT_scaffold163033-augustus-gene-0.14-mRNA-1	OG0	73.0		
Opea_EP00118_Oscarella_pearsei_P001159	OG0	73.0		
Dpul_mRNA26174	OG0	73.0		
Skow_XM_006816707.1	OG0	73.0		
Xestes_augustus_masked-XT_scaffold5853-processed-gene-0.0-mRNA-1	OG0	73.0		
Cscu_XM_023376511.1	OG0	73.0		
Cscu_XM_023357347.1	OG0	73.0		
Cscu_XM_023370908.1	OG0	73.0		
Cscu_XM_023353802.1	OG0	73.0		
Hsap_ENST00000217456	OG1	47.0		
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA198473	OG1	47.0		
Cgig_XM_011426236.3	OG2	60.0		
Lcom_lcpid247144	OG2	60.0		
Spur_XM_003730415.3	OG2	60.0		
Spur_XM_030985093.1	OG2	60.0		
Skow_XM_006822073.1	OG2	60.0		
Spur_XM_030998890.1	OG2	60.0		
Acagra_model.g17788.t1	OG2	60.0		
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA171602	OG2	60.0		
Bralan_BLAG04000598_1	OG3	46.0		
Pbac_sb2667409	OG3	46.0		
Gracom_Gcom_C549530_01	OG3	46.0		
Bolinf_Binf_sb1263816	OG3	46.0		
Lcom_lcpid117180	OG3	46.0		
Lcom_lcpid55532	OG3	46.0		
Plajan_Pjan_scaffold1943_01	OG3	46.0		
Mertsp_Mesp_sb568573	OG3	46.0		
Scil_scict006723.2	OG3	46.0		
Mlei_ML0467.g11.i1	OG3	46.0		
Scil_scict014168.1	OG3	46.0		
Pbac_sb2649234	OG3	46.0		
Lcom_lcpid127169	OG3	46.0		
Clacor_Ccor_scaffold10394_01	OG3	46.0		
Gracom_Gcom_C554476_01	OG3	46.0		
Gracom_Gcom_scaffold12603_01	OG3	46.0		
Vmul_sbMO396318	OG3	46.0		
Scil_scict025720.1	OG3	46.0		
Horcal_Hcv1.av93.c7.g387.i1	OG3	46.0		
Leuniv_Lniv_C810684_01	OG3	46.0		
Gracom_Gcom_scaffold5907_01	OG3	46.0		
Leuniv_Lniv_C773449_01	OG3	46.0		
Opea_EP00118_Oscarella_pearsei_P025867	OG3	46.0		
Mlei_ML0534.g9.i1	OG3	46.0		
Mlei_ML1207.g30.i1	OG3	46.0		
Lcom_lcpid84475	OG3	46.0		
Leuniv_Lniv_scaffold25373_01	OG3	46.0		
Clacor_Ccor_scaffold9978_01	OG3	46.0		
Clacor_Ccor_C524273_01	OG3	46.0		
Leuniv_Lniv_C803776_01	OG3	46.0		
Scil_scict018658.1	OG3	46.0		
Coemet_Cmet_C596505_01	OG3	46.0		
Gracom_Gcom_C550164_01	OG3	46.0		
Gracom_Gcom_scaffold9908_01	OG3	46.0		
Lcom_lcpid67248	OG3	46.0		
Vmul_sbMO472375	OG3	46.0		
Stycar_maker-SC_scaffold136982-augustus-gene-0.43-mRNA-1	OG4	20.0		
Cgig_XM_034451108.1	OG4	20.0		
Pocdam_XM_027194268.1	OG4	20.0		
Pocdam_XM_027192346.1	OG4	20.0		
Lampan_Lpan_C415461_01	OG4	20.0		
Coemet_Cmet_scaffold17040_01	OG4	20.0		
Chem_TCONS_00043550	OG4	20.0		
Mlei_ML2732.g9.i1	OG4	20.0		
Adig_XM_015895756.1	OG4	20.0		
Hvul_g13281_1	OG4	20.0		
Pbac_sb2649040	OG4	20.0		
Chem_TCONS_00071613	OG4	20.0		
Nemnom_g18333.t1	OG4	20.0		
Morvir_scaffold7.g18.t1	OG4	20.0		
Vmul_sbMO425726	OG4	20.0		
Spis_XP_022804240_1	OG4	20.0		
Chem_TCONS_00001692	OG4	20.0		
Coemet_Cmet_scaffold21761_01	OG4	20.0		
Sanmal_Sma_027204-T1	OG4	20.0		
Nemnom_g18332.t1	OG4	20.0		
Hvul_g13288_1	OG4	20.0		
Spis_XP_022804218_1	OG4	20.0		
Nvec_v1g99165	OG4	20.0		
Chem_TCONS_00001691	OG4	20.0		
Hvul_g13285_1	OG4	20.0		
Pocdam_XM_027194274.1	OG4	20.0		
Drygla_Dgla_sb311124	OG4	20.0		
Gasp_gasp1.m3.14300.m1	OG4	20.0		
Gasp_gasp1.m3.17323.m1	OG4	20.0		
Gfas_gfas1.m1.13462.m1	OG4	20.0		
Gasp_gasp1.m3.17324.m1	OG4	20.0		
Fspp_ffun1.m4.2993.m1	OG4	20.0		
Horcal_Hcv1.av93.c1.g109.i1	OG4	20.0		
Rhoesc_Res_001618-T1	OG4	20.0		
Acagra_model.g7932.t1.1.5d3b84f8	OG4	20.0		
Amil_Amillepora14900-RA	OG4	20.0		
Vmul_SimC391282	OG4	20.0		
Spis_XP_022804214_1	OG4	20.0		
Coeast_Cast_sb792592	OG4	20.0		
Exapal_XM_021046187.2	OG4	20.0		
Spolac_c102562_g1_i1_m.29920c102562-g1	OG4	20.0		
Aque_Aqu2.1.20494_001	OG4	20.0		
Emue_Em0015g217a.t1	OG4	20.0		
Emue_Em0015g856a.t1	OG4	20.0		
Tetwil_g15164.t2	OG4	20.0		
Emue_Em0015g231a.t1	OG4	20.0		
Emue_Em0015g219a.t1	OG4	20.0		
Xestes_maker-XT_scaffold46103-snap-gene-0.4-mRNA-1	OG4	20.0		
Spolac_c102504_g2_i2_m.29629c102504-g2	OG4	20.0		
Stycar_maker-SC_scaffold4355-snap-gene-0.236-mRNA-1	OG4	20.0		
Plespi_Pspi_C607018_01	OG4	20.0		
Emue_Em0015g233a.t1	OG4	20.0		
