gene	orthogroup	orthogroup_support	reference_ortholog	reference_support
Exapal_XM_021056097.2	OG0	1.0		
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA97316	OG0	1.0		
Pbac_sb2651909	OG0	1.0		
Spur_XM_030981140.1	OG0	1.0		
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA128661	OG0	1.0		
Stycar_maker-SC_scaffold7510-augustus-gene-0.12-mRNA-1	OG0	1.0		
TrH2_TrispH2_011405-RA	OG0	1.0		
Pbac_sb2639024	OG0	1.0		
Chem_TCONS_00062807	OG0	1.0		
Rhoesc_Res_000595-T1	OG0	1.0		
Tadh_TriadT30263	OG0	1.0		
Tetwil_g15054.t1	OG0	1.0		
Hhon_g11230.t1	OG0	1.0		
Cscu_XM_023360286.1	OG0	1.0		
HoiH23_PlH23_010442-RA	OG0	1.0		
Sanmal_Sma_011268-T1	OG0	1.0		
Nemnom_g1382.t1	OG0	1.0		
Hsap_ENST00000302979	OG0	1.0		
Xestes_maker-XT_scaffold3573-augustus-gene-0.18-mRNA-1	OG0	1.0		
Ocar_g3100	OG0	1.0		
Dgig_XM_028552806.1	OG0	1.0		
Acagra_model.g22461.t1	OG0	1.0		
Emue_Em0022g209a.t1	OG0	1.0		
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA127647	OG0	1.0		
Aque_Aqu2.1.41159_001	OG0	1.0		
Morvir_scaffold324.g3.t1	OG0	1.0		
Opea_EP00118_Oscarella_pearsei_P000598	OG0	1.0		
Hvul_g27013_1	OG0	1.0		
Bralan_BLAG06001081_1	OG0	1.0		
Xesp_016199-T1	OG0	1.0		
Mlei_ML1055.g7.i1	OG0	1.0		
Spolac_c89590_g1_i1_m.5717c89590-g1	OG0	1.0		
HoiH06_mRNA2524	OG0	1.0		
Lcom_lcpid169588	OG0	1.0		
Amil_Amillepora07212-RA	OG0	1.0		
Dpul_mRNA10973	OG0	1.0		
Pocdam_XM_027186853.1	OG0	1.0		
Gasp_gasp1.m3.3325.m1	OG0	1.0		
Gfas_gfas1.m1.20649.m1	OG0	1.0		
Spis_XP_022801006_1	OG0	1.0		
Nvec_v1g112100	OG0	1.0		
Clacor_Ccor_scaffold13937_01	OG0	1.0		
Fspp_ffun1.m4.12116.m1	OG0	1.0		
Skow_XM_006820322.1	OG0	1.0		
