gene	orthogroup	orthogroup_support	reference_ortholog	reference_support
Drygla_Dgla_sb278128	OG0	1.0		
Aque_Aqu2.1.15179_001	OG0	1.0		
Gfas_gfas1.m1.15971.m1	OG0	1.0		
Cscu_XM_023387382.1	OG0	1.0		
Gracom_Gcom_scaffold17001_01	OG0	1.0		
Scil_scict008790.1	OG0	1.0		
Tetwil_g13828.t2	OG0	1.0		
HoiH23_PlH23_009248-RA	OG0	1.0		
Dgig_XM_028539724.1	OG0	1.0		
Bralan_BLAG09000393_1	OG0	1.0		
Fspp_ffun1.m4.10203.m1	OG0	1.0		
Amil_Amillepora14299-RA	OG0	1.0		
Amil_Amillepora14297-RA	OG0	1.0		
Hvul_g21983_1	OG0	1.0		
Halamb_c43544_g1_i1m.16307	OG0	1.0		
HoiH11_mRNA237	OG0	1.0		
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA116466	OG0	1.0		
Adig_XM_015922573.1	OG0	1.0		
Tadh_TriadT63598	OG0	1.0		
Spis_XP_022799157_1	OG0	1.0		
Emue_Em0020g1010a.t1	OG0	1.0		
Lcom_lcpid174704	OG0	1.0		
Clacor_Ccor_C524495_01	OG0	1.0		
Lcom_lcpid111880	OG0	1.0		
Xestes_maker-XT_scaffold3161-augustus-gene-0.23-mRNA-1	OG0	1.0		
Spolac_c80891_g1_i1_m.2729c80891-g1	OG0	1.0		
Lcom_lcpid110760	OG0	1.0		
Leuniv_Lniv_scaffold21606_01	OG0	1.0		
Gasp_gasp1.m3.4446.m1	OG0	1.0		
Hsap_ENST00000583868	OG0	1.0		
Halamb_c29759_g1_i1m.6050	OG0	1.0		
Plajan_Pjan_C545289_01	OG0	1.0		
Lcom_lcpid207386	OG0	1.0		
Rhoesc_Res_014381-T1	OG0	1.0		
Tcas_TC006730_002	OG0	1.0		
Plespi_Pspi_C574750_01	OG0	1.0		
HoiH04_mRNA644	OG0	1.0		
Hhon_g10854.t1	OG0	1.0		
Bralan_BLAG19000774_1	OG0	1.0		
TrH2_TrispH2_004182-RA	OG0	1.0		
Lcom_lcpid135468	OG0	1.0		
Morvir_scaffold587.g5.t1	OG0	1.0		
HoiH06_mRNA14710	OG0	1.0		
Bralan_BLAG09000394_1	OG0	1.0		
Spur_NM_001242655.1	OG0	1.0		
Lcom_lcpid135096	OG0	1.0		
Hsap_ENST00000228945	OG0	1.0		
Chem_TCONS_00063359	OG0	1.0		
HoiH23_PlH23_003135-RA	OG0	1.0		
Sanmal_Sma_013290-T1	OG0	1.0		
Lcom_lcpid143409	OG0	1.0		
Lcom_lcpid40574	OG0	1.0		
Lcom_lcpid234533	OG0	1.0		
Gracom_Gcom_scaffold11683_01	OG0	1.0		
Clacor_Ccor_scaffold905_01	OG0	1.0		
Exapal_XM_021044874.2	OG0	1.0		
Hhon_g11814.t1	OG0	1.0		
HoiH04_mRNA4491	OG0	1.0		
Dpul_mRNA4693	OG0	1.0		
Nemnom_g14996.t1	OG0	1.0		
Scil_scict016173.1	OG0	1.0		
Tadh_TriadT20518	OG0	1.0		
Cscu_XM_023387383.1	OG0	1.0		
Tetwil_g13827.t2	OG0	1.0		
Acagra_model.g2794.t1.1.5d3b81ed	OG0	1.0		
Skow_XM_002731601.2	OG0	1.0		
Fspp_ffun1.m4.10204.m1	OG0	1.0		
Plespi_Pspi_scaffold12954_01	OG0	1.0		
Eupdun_Edun_sb10639191	OG0	1.0		
TrH2_TrispH2_004183-RA	OG0	1.0		
Lcom_lcpid116672	OG0	1.0		
Lcom_lcpid132436	OG0	1.0		
Opea_EP00118_Oscarella_pearsei_P024494	OG0	1.0		
Xesp_018610-T1	OG0	1.0		
Pocdam_XM_027187679.1	OG0	1.0		
Cgig_XM_011430937.3	OG0	1.0		
Hsap_ENST00000219409	OG0	1.0		
Vmul_sbMO451995	OG0	1.0		
Horcal_Hcv1.av93.c6.g304.i1	OG0	1.0		
Coemet_Cmet_scaffold18128_01	OG0	1.0		
Pbac_sb2659904	OG0	1.0		
Mlei_ML3759.g11.i1	OG0	1.0		
Coeast_Cast_sb782666	OG0	1.0		
Pbac_sb2644037	OG0	1.0		
Beraby_Baby_sb323138	OG0	1.0		
Nvec_v1g170702	OG0	1.0		
Mertsp_Mesp_sb576284	OG0	1.0		
Vmul_sbMO395255	OG0	1.0		
Mlei_ML3759.g13.i1	OG0	1.0		
Bolinf_Binf_sb1263828	OG0	1.0		
Lampan_Lpan_6566_01	OG0	1.0		
