homology_group	ancestral_linkage_group	chromosomes_in_ALG
HG001847	ALG001	Emue:scaffold_0001 Cgig:NC_047566.1 Amil:chr10
HG001945	ALG001	Emue:scaffold_0001 Cgig:NC_047566.1 Amil:chr10
HG002133	ALG001	Emue:scaffold_0001 Cgig:NC_047566.1 Amil:chr10
HG002193	ALG001	Emue:scaffold_0001 Cgig:NC_047566.1 Amil:chr10
HG002372	ALG001	Emue:scaffold_0001 Cgig:NC_047566.1 Amil:chr10
HG002373	ALG001	Emue:scaffold_0001 Cgig:NC_047566.1 Amil:chr10
HG002382	ALG001	Emue:scaffold_0001 Cgig:NC_047566.1 Amil:chr10
HG002386	ALG001	Emue:scaffold_0001 Cgig:NC_047566.1 Amil:chr10
HG002514	ALG001	Emue:scaffold_0001 Cgig:NC_047566.1 Amil:chr10
HG002604	ALG001	Emue:scaffold_0001 Cgig:NC_047566.1 Amil:chr10
HG002657	ALG001	Emue:scaffold_0001 Cgig:NC_047566.1 Amil:chr10
HG002660	ALG001	Emue:scaffold_0001 Cgig:NC_047566.1 Amil:chr10
HG002671	ALG001	Emue:scaffold_0001 Cgig:NC_047566.1 Amil:chr10
HG003075	ALG001	Emue:scaffold_0001 Cgig:NC_047566.1 Amil:chr10
HG003079	ALG001	Emue:scaffold_0001 Cgig:NC_047566.1 Amil:chr10
HG003088	ALG001	Emue:scaffold_0001 Cgig:NC_047566.1 Amil:chr10
HG003092	ALG001	Emue:scaffold_0001 Cgig:NC_047566.1 Amil:chr10
HG003478	ALG001	Emue:scaffold_0001 Cgig:NC_047566.1 Amil:chr10
HG003679	ALG001	Emue:scaffold_0001 Cgig:NC_047566.1 Amil:chr10
HG003680	ALG001	Emue:scaffold_0001 Cgig:NC_047566.1 Amil:chr10
HG003683	ALG001	Emue:scaffold_0001 Cgig:NC_047566.1 Amil:chr10
HG004179	ALG001	Emue:scaffold_0001 Cgig:NC_047566.1 Amil:chr10
HG004180	ALG001	Emue:scaffold_0001 Cgig:NC_047566.1 Amil:chr10
HG004181	ALG001	Emue:scaffold_0001 Cgig:NC_047566.1 Amil:chr10
HG004188	ALG001	Emue:scaffold_0001 Cgig:NC_047566.1 Amil:chr10
HG004198	ALG001	Emue:scaffold_0001 Cgig:NC_047566.1 Amil:chr10
HG004200	ALG001	Emue:scaffold_0001 Cgig:NC_047566.1 Amil:chr10
HG004201	ALG001	Emue:scaffold_0001 Cgig:NC_047566.1 Amil:chr10
HG004558	ALG001	Emue:scaffold_0001 Cgig:NC_047566.1 Amil:chr10
HG004678	ALG001	Emue:scaffold_0001 Cgig:NC_047566.1 Amil:chr10
HG004806	ALG001	Emue:scaffold_0001 Cgig:NC_047566.1 Amil:chr10
HG005545	ALG001	Emue:scaffold_0001 Cgig:NC_047566.1 Amil:chr10
HG001241	ALG002	Emue:scaffold_0003 Cgig:NC_047559.1 Amil:chr12
HG001316	ALG002	Emue:scaffold_0003 Cgig:NC_047559.1 Amil:chr12
HG001334	ALG002	Emue:scaffold_0003 Cgig:NC_047559.1 Amil:chr12
HG001404	ALG002	Emue:scaffold_0003 Cgig:NC_047559.1 Amil:chr12
HG002170	ALG002	Emue:scaffold_0003 Cgig:NC_047559.1 Amil:chr12
HG002332	ALG002	Emue:scaffold_0003 Cgig:NC_047559.1 Amil:chr12
HG003000	ALG002	Emue:scaffold_0003 Cgig:NC_047559.1 Amil:chr12
HG003007	ALG002	Emue:scaffold_0003 Cgig:NC_047559.1 Amil:chr12
HG003581	ALG002	Emue:scaffold_0003 Cgig:NC_047559.1 Amil:chr12
HG003586	ALG002	Emue:scaffold_0003 Cgig:NC_047559.1 Amil:chr12
HG003588	ALG002	Emue:scaffold_0003 Cgig:NC_047559.1 Amil:chr12
HG003589	ALG002	Emue:scaffold_0003 Cgig:NC_047559.1 Amil:chr12
HG003591	ALG002	Emue:scaffold_0003 Cgig:NC_047559.1 Amil:chr12
HG004224	ALG002	Emue:scaffold_0003 Cgig:NC_047559.1 Amil:chr12
HG004495	ALG002	Emue:scaffold_0003 Cgig:NC_047559.1 Amil:chr12
HG004523	ALG002	Emue:scaffold_0003 Cgig:NC_047559.1 Amil:chr12
HG001821	ALG003	Emue:scaffold_0004 Cgig:NC_047567.1 Amil:chr7
HG002127	ALG003	Emue:scaffold_0004 Cgig:NC_047567.1 Amil:chr7
HG002269	ALG003	Emue:scaffold_0004 Cgig:NC_047567.1 Amil:chr7
HG002494	ALG003	Emue:scaffold_0004 Cgig:NC_047567.1 Amil:chr7
HG002536	ALG003	Emue:scaffold_0004 Cgig:NC_047567.1 Amil:chr7
HG002609	ALG003	Emue:scaffold_0004 Cgig:NC_047567.1 Amil:chr7
HG002815	ALG003	Emue:scaffold_0004 Cgig:NC_047567.1 Amil:chr7
HG002820	ALG003	Emue:scaffold_0004 Cgig:NC_047567.1 Amil:chr7
HG002822	ALG003	Emue:scaffold_0004 Cgig:NC_047567.1 Amil:chr7
HG002823	ALG003	Emue:scaffold_0004 Cgig:NC_047567.1 Amil:chr7
HG002826	ALG003	Emue:scaffold_0004 Cgig:NC_047567.1 Amil:chr7
HG003344	ALG003	Emue:scaffold_0004 Cgig:NC_047567.1 Amil:chr7
HG003348	ALG003	Emue:scaffold_0004 Cgig:NC_047567.1 Amil:chr7
HG003359	ALG003	Emue:scaffold_0004 Cgig:NC_047567.1 Amil:chr7
HG003360	ALG003	Emue:scaffold_0004 Cgig:NC_047567.1 Amil:chr7
HG003806	ALG003	Emue:scaffold_0004 Cgig:NC_047567.1 Amil:chr7
HG003944	ALG003	Emue:scaffold_0004 Cgig:NC_047567.1 Amil:chr7
HG003948	ALG003	Emue:scaffold_0004 Cgig:NC_047567.1 Amil:chr7
HG003951	ALG003	Emue:scaffold_0004 Cgig:NC_047567.1 Amil:chr7
HG004058	ALG003	Emue:scaffold_0004 Cgig:NC_047567.1 Amil:chr7
HG004398	ALG003	Emue:scaffold_0004 Cgig:NC_047567.1 Amil:chr7
HG004910	ALG003	Emue:scaffold_0004 Cgig:NC_047567.1 Amil:chr7
HG001772	ALG004	Emue:scaffold_0005 Cgig:NC_047559.1 Amil:chr9
HG002308	ALG004	Emue:scaffold_0005 Cgig:NC_047559.1 Amil:chr9
HG002309	ALG004	Emue:scaffold_0005 Cgig:NC_047559.1 Amil:chr9
HG002555	ALG004	Emue:scaffold_0005 Cgig:NC_047559.1 Amil:chr9
HG002556	ALG004	Emue:scaffold_0005 Cgig:NC_047559.1 Amil:chr9
HG002558	ALG004	Emue:scaffold_0005 Cgig:NC_047559.1 Amil:chr9
HG002560	ALG004	Emue:scaffold_0005 Cgig:NC_047559.1 Amil:chr9
HG002561	ALG004	Emue:scaffold_0005 Cgig:NC_047559.1 Amil:chr9
HG002593	ALG004	Emue:scaffold_0005 Cgig:NC_047559.1 Amil:chr9
HG002827	ALG004	Emue:scaffold_0005 Cgig:NC_047559.1 Amil:chr9
HG002908	ALG004	Emue:scaffold_0005 Cgig:NC_047559.1 Amil:chr9
HG002914	ALG004	Emue:scaffold_0005 Cgig:NC_047559.1 Amil:chr9
HG002915	ALG004	Emue:scaffold_0005 Cgig:NC_047559.1 Amil:chr9
HG002918	ALG004	Emue:scaffold_0005 Cgig:NC_047559.1 Amil:chr9
HG002921	ALG004	Emue:scaffold_0005 Cgig:NC_047559.1 Amil:chr9
HG002925	ALG004	Emue:scaffold_0005 Cgig:NC_047559.1 Amil:chr9
HG002947	ALG004	Emue:scaffold_0005 Cgig:NC_047559.1 Amil:chr9
HG003177	ALG004	Emue:scaffold_0005 Cgig:NC_047559.1 Amil:chr9
HG003192	ALG004	Emue:scaffold_0005 Cgig:NC_047559.1 Amil:chr9
