homology_group	ancestral_linkage_group	chromosomes_in_ALG
HG001713	ALG001	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061168.1
HG001944	ALG001	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061168.1
HG002193	ALG001	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061168.1
HG002194	ALG001	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061168.1
HG002380	ALG001	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061168.1
HG002382	ALG001	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061168.1
HG002383	ALG001	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061168.1
HG002598	ALG001	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061168.1
HG002660	ALG001	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061168.1
HG002670	ALG001	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061168.1
HG002671	ALG001	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061168.1
HG003071	ALG001	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061168.1
HG003073	ALG001	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061168.1
HG003079	ALG001	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061168.1
HG003083	ALG001	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061168.1
HG003088	ALG001	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061168.1
HG003091	ALG001	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061168.1
HG003093	ALG001	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061168.1
HG003097	ALG001	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061168.1
HG003679	ALG001	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061168.1
HG003680	ALG001	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061168.1
HG003683	ALG001	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061168.1
HG003684	ALG001	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061168.1
HG004180	ALG001	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061168.1
HG004181	ALG001	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061168.1
HG004188	ALG001	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061168.1
HG004200	ALG001	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061168.1
HG004558	ALG001	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061168.1
HG001714	ALG002	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061169.1
HG001847	ALG002	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061169.1
HG002372	ALG002	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061169.1
HG002373	ALG002	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061169.1
HG002386	ALG002	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061169.1
HG003075	ALG002	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061169.1
HG003087	ALG002	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061169.1
HG003573	ALG002	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061169.1
HG003678	ALG002	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061169.1
HG004184	ALG002	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061169.1
HG004201	ALG002	Emue:scaffold_0001 Bralan:chr5 Hvul_v3:NC_061169.1
HG001334	ALG003	Emue:scaffold_0003 Bralan:chr3 Hvul_v3:NC_061161.1
HG001404	ALG003	Emue:scaffold_0003 Bralan:chr3 Hvul_v3:NC_061161.1
HG001848	ALG003	Emue:scaffold_0003 Bralan:chr3 Hvul_v3:NC_061161.1
HG002170	ALG003	Emue:scaffold_0003 Bralan:chr3 Hvul_v3:NC_061161.1
HG002332	ALG003	Emue:scaffold_0003 Bralan:chr3 Hvul_v3:NC_061161.1
HG003000	ALG003	Emue:scaffold_0003 Bralan:chr3 Hvul_v3:NC_061161.1
HG003581	ALG003	Emue:scaffold_0003 Bralan:chr3 Hvul_v3:NC_061161.1
HG003584	ALG003	Emue:scaffold_0003 Bralan:chr3 Hvul_v3:NC_061161.1
HG003588	ALG003	Emue:scaffold_0003 Bralan:chr3 Hvul_v3:NC_061161.1
HG003589	ALG003	Emue:scaffold_0003 Bralan:chr3 Hvul_v3:NC_061161.1
HG003849	ALG003	Emue:scaffold_0003 Bralan:chr3 Hvul_v3:NC_061161.1
HG004521	ALG003	Emue:scaffold_0003 Bralan:chr3 Hvul_v3:NC_061161.1
HG005022	ALG003	Emue:scaffold_0003 Bralan:chr3 Hvul_v3:NC_061161.1
HG001301	ALG004	Emue:scaffold_0004 Bralan:chr10 Hvul_v3:NC_061162.1
HG001372	ALG004	Emue:scaffold_0004 Bralan:chr10 Hvul_v3:NC_061162.1
HG001821	ALG004	Emue:scaffold_0004 Bralan:chr10 Hvul_v3:NC_061162.1
HG001903	ALG004	Emue:scaffold_0004 Bralan:chr10 Hvul_v3:NC_061162.1
HG001982	ALG004	Emue:scaffold_0004 Bralan:chr10 Hvul_v3:NC_061162.1
HG001986	ALG004	Emue:scaffold_0004 Bralan:chr10 Hvul_v3:NC_061162.1
HG002127	ALG004	Emue:scaffold_0004 Bralan:chr10 Hvul_v3:NC_061162.1
HG002269	ALG004	Emue:scaffold_0004 Bralan:chr10 Hvul_v3:NC_061162.1
HG002494	ALG004	Emue:scaffold_0004 Bralan:chr10 Hvul_v3:NC_061162.1
HG002813	ALG004	Emue:scaffold_0004 Bralan:chr10 Hvul_v3:NC_061162.1
HG002814	ALG004	Emue:scaffold_0004 Bralan:chr10 Hvul_v3:NC_061162.1
HG002817	ALG004	Emue:scaffold_0004 Bralan:chr10 Hvul_v3:NC_061162.1
HG002818	ALG004	Emue:scaffold_0004 Bralan:chr10 Hvul_v3:NC_061162.1
HG002820	ALG004	Emue:scaffold_0004 Bralan:chr10 Hvul_v3:NC_061162.1
HG002824	ALG004	Emue:scaffold_0004 Bralan:chr10 Hvul_v3:NC_061162.1
HG002825	ALG004	Emue:scaffold_0004 Bralan:chr10 Hvul_v3:NC_061162.1
HG002826	ALG004	Emue:scaffold_0004 Bralan:chr10 Hvul_v3:NC_061162.1
HG003344	ALG004	Emue:scaffold_0004 Bralan:chr10 Hvul_v3:NC_061162.1
HG003348	ALG004	Emue:scaffold_0004 Bralan:chr10 Hvul_v3:NC_061162.1
HG003350	ALG004	Emue:scaffold_0004 Bralan:chr10 Hvul_v3:NC_061162.1
HG003351	ALG004	Emue:scaffold_0004 Bralan:chr10 Hvul_v3:NC_061162.1
HG003355	ALG004	Emue:scaffold_0004 Bralan:chr10 Hvul_v3:NC_061162.1
HG003356	ALG004	Emue:scaffold_0004 Bralan:chr10 Hvul_v3:NC_061162.1
HG003358	ALG004	Emue:scaffold_0004 Bralan:chr10 Hvul_v3:NC_061162.1
HG003359	ALG004	Emue:scaffold_0004 Bralan:chr10 Hvul_v3:NC_061162.1
HG003360	ALG004	Emue:scaffold_0004 Bralan:chr10 Hvul_v3:NC_061162.1
HG003944	ALG004	Emue:scaffold_0004 Bralan:chr10 Hvul_v3:NC_061162.1
HG003948	ALG004	Emue:scaffold_0004 Bralan:chr10 Hvul_v3:NC_061162.1
HG003951	ALG004	Emue:scaffold_0004 Bralan:chr10 Hvul_v3:NC_061162.1
HG004398	ALG004	Emue:scaffold_0004 Bralan:chr10 Hvul_v3:NC_061162.1
HG004407	ALG004	Emue:scaffold_0004 Bralan:chr10 Hvul_v3:NC_061162.1
HG004408	ALG004	Emue:scaffold_0004 Bralan:chr10 Hvul_v3:NC_061162.1
HG004696	ALG004	Emue:scaffold_0004 Bralan:chr10 Hvul_v3:NC_061162.1
HG004700	ALG004	Emue:scaffold_0004 Bralan:chr10 Hvul_v3:NC_061162.1
HG001772	ALG005	Emue:scaffold_0005 Bralan:chr16 Hvul_v3:NC_061167.1
HG002013	ALG005	Emue:scaffold_0005 Bralan:chr16 Hvul_v3:NC_061167.1
HG002307	ALG005	Emue:scaffold_0005 Bralan:chr16 Hvul_v3:NC_061167.1
HG002309	ALG005	Emue:scaffold_0005 Bralan:chr16 Hvul_v3:NC_061167.1
HG002467	ALG005	Emue:scaffold_0005 Bralan:chr16 Hvul_v3:NC_061167.1
HG002556	ALG005	Emue:scaffold_0005 Bralan:chr16 Hvul_v3:NC_061167.1
HG002558	ALG005	Emue:scaffold_0005 Bralan:chr16 Hvul_v3:NC_061167.1
HG002559	ALG005	Emue:scaffold_0005 Bralan:chr16 Hvul_v3:NC_061167.1
HG002560	ALG005	Emue:scaffold_0005 Bralan:chr16 Hvul_v3:NC_061167.1
HG002561	ALG005	Emue:scaffold_0005 Bralan:chr16 Hvul_v3:NC_061167.1
HG002908	ALG005	Emue:scaffold_0005 Bralan:chr16 Hvul_v3:NC_061167.1
HG002911	ALG005	Emue:scaffold_0005 Bralan:chr16 Hvul_v3:NC_061167.1
HG002914	ALG005	Emue:scaffold_0005 Bralan:chr16 Hvul_v3:NC_061167.1
HG002915	ALG005	Emue:scaffold_0005 Bralan:chr16 Hvul_v3:NC_061167.1
HG002917	ALG005	Emue:scaffold_0005 Bralan:chr16 Hvul_v3:NC_061167.1
HG002918	ALG005	Emue:scaffold_0005 Bralan:chr16 Hvul_v3:NC_061167.1
HG002921	ALG005	Emue:scaffold_0005 Bralan:chr16 Hvul_v3:NC_061167.1
HG003471	ALG005	Emue:scaffold_0005 Bralan:chr16 Hvul_v3:NC_061167.1
HG003475	ALG005	Emue:scaffold_0005 Bralan:chr16 Hvul_v3:NC_061167.1
HG003479	ALG005	Emue:scaffold_0005 Bralan:chr16 Hvul_v3:NC_061167.1
HG003480	ALG005	Emue:scaffold_0005 Bralan:chr16 Hvul_v3:NC_061167.1
HG003481	ALG005	Emue:scaffold_0005 Bralan:chr16 Hvul_v3:NC_061167.1
HG004046	ALG005	Emue:scaffold_0005 Bralan:chr16 Hvul_v3:NC_061167.1
HG004049	ALG005	Emue:scaffold_0005 Bralan:chr16 Hvul_v3:NC_061167.1
HG004305	ALG005	Emue:scaffold_0005 Bralan:chr16 Hvul_v3:NC_061167.1
HG004468	ALG005	Emue:scaffold_0005 Bralan:chr16 Hvul_v3:NC_061167.1
HG001381	ALG006	Emue:scaffold_0007 Bralan:chr12 Hvul_v3:NC_061162.1
HG001907	ALG006	Emue:scaffold_0007 Bralan:chr12 Hvul_v3:NC_061162.1
HG001995	ALG006	Emue:scaffold_0007 Bralan:chr12 Hvul_v3:NC_061162.1
HG002137	ALG006	Emue:scaffold_0007 Bralan:chr12 Hvul_v3:NC_061162.1
HG002275	ALG006	Emue:scaffold_0007 Bralan:chr12 Hvul_v3:NC_061162.1
HG002278	ALG006	Emue:scaffold_0007 Bralan:chr12 Hvul_v3:NC_061162.1
HG002518	ALG006	Emue:scaffold_0007 Bralan:chr12 Hvul_v3:NC_061162.1
HG002519	ALG006	Emue:scaffold_0007 Bralan:chr12 Hvul_v3:NC_061162.1
HG002520	ALG006	Emue:scaffold_0007 Bralan:chr12 Hvul_v3:NC_061162.1
HG002524	ALG006	Emue:scaffold_0007 Bralan:chr12 Hvul_v3:NC_061162.1
HG002842	ALG006	Emue:scaffold_0007 Bralan:chr12 Hvul_v3:NC_061162.1
HG003384	ALG006	Emue:scaffold_0007 Bralan:chr12 Hvul_v3:NC_061162.1
HG003389	ALG006	Emue:scaffold_0007 Bralan:chr12 Hvul_v3:NC_061162.1
HG003390	ALG006	Emue:scaffold_0007 Bralan:chr12 Hvul_v3:NC_061162.1
HG003397	ALG006	Emue:scaffold_0007 Bralan:chr12 Hvul_v3:NC_061162.1
HG003843	ALG006	Emue:scaffold_0007 Bralan:chr12 Hvul_v3:NC_061162.1
HG003978	ALG006	Emue:scaffold_0007 Bralan:chr12 Hvul_v3:NC_061162.1
HG004432	ALG006	Emue:scaffold_0007 Bralan:chr12 Hvul_v3:NC_061162.1
HG004714	ALG006	Emue:scaffold_0007 Bralan:chr12 Hvul_v3:NC_061162.1
HG001608	ALG007	Emue:scaffold_0008 Bralan:chr11 Hvul_v3:NC_061163.1
HG001905	ALG007	Emue:scaffold_0008 Bralan:chr11 Hvul_v3:NC_061163.1
HG002249	ALG007	Emue:scaffold_0008 Bralan:chr11 Hvul_v3:NC_061163.1
HG002273	ALG007	Emue:scaffold_0008 Bralan:chr11 Hvul_v3:NC_061163.1
HG002511	ALG007	Emue:scaffold_0008 Bralan:chr11 Hvul_v3:NC_061163.1
HG002828	ALG007	Emue:scaffold_0008 Bralan:chr11 Hvul_v3:NC_061163.1
HG002829	ALG007	Emue:scaffold_0008 Bralan:chr11 Hvul_v3:NC_061163.1
HG002839	ALG007	Emue:scaffold_0008 Bralan:chr11 Hvul_v3:NC_061163.1
HG002840	ALG007	Emue:scaffold_0008 Bralan:chr11 Hvul_v3:NC_061163.1
HG003353	ALG007	Emue:scaffold_0008 Bralan:chr11 Hvul_v3:NC_061163.1
HG003363	ALG007	Emue:scaffold_0008 Bralan:chr11 Hvul_v3:NC_061163.1
HG003376	ALG007	Emue:scaffold_0008 Bralan:chr11 Hvul_v3:NC_061163.1
HG003379	ALG007	Emue:scaffold_0008 Bralan:chr11 Hvul_v3:NC_061163.1
HG003381	ALG007	Emue:scaffold_0008 Bralan:chr11 Hvul_v3:NC_061163.1
HG003964	ALG007	Emue:scaffold_0008 Bralan:chr11 Hvul_v3:NC_061163.1
HG003967	ALG007	Emue:scaffold_0008 Bralan:chr11 Hvul_v3:NC_061163.1
HG004417	ALG007	Emue:scaffold_0008 Bralan:chr11 Hvul_v3:NC_061163.1
HG004421	ALG007	Emue:scaffold_0008 Bralan:chr11 Hvul_v3:NC_061163.1
HG005754	ALG007	Emue:scaffold_0008 Bralan:chr11 Hvul_v3:NC_061163.1
HG000687	ALG008	Emue:scaffold_0009 Bralan:chr2 Hvul_v3:NC_061164.1
HG001331	ALG008	Emue:scaffold_0009 Bralan:chr2 Hvul_v3:NC_061164.1
HG001632	ALG008	Emue:scaffold_0009 Bralan:chr2 Hvul_v3:NC_061164.1
HG001846	ALG008	Emue:scaffold_0009 Bralan:chr2 Hvul_v3:NC_061164.1
HG002028	ALG008	Emue:scaffold_0009 Bralan:chr2 Hvul_v3:NC_061164.1
HG002031	ALG008	Emue:scaffold_0009 Bralan:chr2 Hvul_v3:NC_061164.1
HG002034	ALG008	Emue:scaffold_0009 Bralan:chr2 Hvul_v3:NC_061164.1
