homology_group	ancestral_linkage_group	chromosomes_in_ALG
HG001713	ALG001	Emue:scaffold_0001 Bralan:chr5 Nvec_vc1.1:NC_064034.1
HG001847	ALG001	Emue:scaffold_0001 Bralan:chr5 Nvec_vc1.1:NC_064034.1
HG001944	ALG001	Emue:scaffold_0001 Bralan:chr5 Nvec_vc1.1:NC_064034.1
HG001945	ALG001	Emue:scaffold_0001 Bralan:chr5 Nvec_vc1.1:NC_064034.1
HG002053	ALG001	Emue:scaffold_0001 Bralan:chr5 Nvec_vc1.1:NC_064034.1
HG002193	ALG001	Emue:scaffold_0001 Bralan:chr5 Nvec_vc1.1:NC_064034.1
HG002194	ALG001	Emue:scaffold_0001 Bralan:chr5 Nvec_vc1.1:NC_064034.1
HG002196	ALG001	Emue:scaffold_0001 Bralan:chr5 Nvec_vc1.1:NC_064034.1
HG002372	ALG001	Emue:scaffold_0001 Bralan:chr5 Nvec_vc1.1:NC_064034.1
HG002373	ALG001	Emue:scaffold_0001 Bralan:chr5 Nvec_vc1.1:NC_064034.1
HG002380	ALG001	Emue:scaffold_0001 Bralan:chr5 Nvec_vc1.1:NC_064034.1
HG002382	ALG001	Emue:scaffold_0001 Bralan:chr5 Nvec_vc1.1:NC_064034.1
HG002383	ALG001	Emue:scaffold_0001 Bralan:chr5 Nvec_vc1.1:NC_064034.1
HG002386	ALG001	Emue:scaffold_0001 Bralan:chr5 Nvec_vc1.1:NC_064034.1
HG002598	ALG001	Emue:scaffold_0001 Bralan:chr5 Nvec_vc1.1:NC_064034.1
HG002660	ALG001	Emue:scaffold_0001 Bralan:chr5 Nvec_vc1.1:NC_064034.1
HG002670	ALG001	Emue:scaffold_0001 Bralan:chr5 Nvec_vc1.1:NC_064034.1
HG002671	ALG001	Emue:scaffold_0001 Bralan:chr5 Nvec_vc1.1:NC_064034.1
HG003071	ALG001	Emue:scaffold_0001 Bralan:chr5 Nvec_vc1.1:NC_064034.1
HG003073	ALG001	Emue:scaffold_0001 Bralan:chr5 Nvec_vc1.1:NC_064034.1
HG003075	ALG001	Emue:scaffold_0001 Bralan:chr5 Nvec_vc1.1:NC_064034.1
HG003076	ALG001	Emue:scaffold_0001 Bralan:chr5 Nvec_vc1.1:NC_064034.1
HG003079	ALG001	Emue:scaffold_0001 Bralan:chr5 Nvec_vc1.1:NC_064034.1
