homology_group	ancestral_linkage_group	chromosomes_in_ALG
HG001624	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Hvul_v3:NC_061168.1
HG001713	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Hvul_v3:NC_061168.1
HG001715	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Hvul_v3:NC_061168.1
HG001944	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Hvul_v3:NC_061168.1
HG002193	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Hvul_v3:NC_061168.1
HG002194	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Hvul_v3:NC_061168.1
HG002380	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Hvul_v3:NC_061168.1
HG002382	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Hvul_v3:NC_061168.1
HG002383	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Hvul_v3:NC_061168.1
HG002598	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Hvul_v3:NC_061168.1
HG002604	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Hvul_v3:NC_061168.1
HG002617	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Hvul_v3:NC_061168.1
HG002670	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Hvul_v3:NC_061168.1
HG002671	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Hvul_v3:NC_061168.1
HG003071	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Hvul_v3:NC_061168.1
HG003073	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Hvul_v3:NC_061168.1
HG003079	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Hvul_v3:NC_061168.1
HG003083	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Hvul_v3:NC_061168.1
HG003091	ALG001	Emue:scaffold_0001 Astrub:NC_047063.1 Hvul_v3:NC_061168.1
