to	similarity	from	from_sps	to_sps
Nvec|cnidocyte	0.0789473684210526	Tadh|unknown_2	Tadh	Nvec
Nvec|muscle	0.0789473684210526	Tadh|unknown_2	Tadh	Nvec
Nvec|gastrodermis_muscle	0.131578947368421	Tadh|unknown_2	Tadh	Nvec
Nvec|gastrodermis	0.0789473684210526	Tadh|unknown_2	Tadh	Nvec
Nvec|digestive_filaments	0.394736842105263	Tadh|unknown_2	Tadh	Nvec
Nvec|epidermis	0.328947368421053	Tadh|unknown_2	Tadh	Nvec
Nvec|precursors	0.552631578947368	Tadh|unknown_2	Tadh	Nvec
Nvec|neuron	0.0657894736842105	Tadh|unknown_2	Tadh	Nvec
Nvec|gland	0.0263157894736842	Tadh|unknown_2	Tadh	Nvec
Hvul|cnidocyte	0.0735294117647059	Tadh|unknown_2	Tadh	Hvul
Hvul|gastrodermis	0.191176470588235	Tadh|unknown_2	Tadh	Hvul
Hvul|epidermis	0.161764705882353	Tadh|unknown_2	Tadh	Hvul
Hvul|germline	0.441176470588235	Tadh|unknown_2	Tadh	Hvul
Hvul|precursors	0.544117647058823	Tadh|unknown_2	Tadh	Hvul
Hvul|neuron	0.161764705882353	Tadh|unknown_2	Tadh	Hvul
Hvul|gland	0	Tadh|unknown_2	Tadh	Hvul
Spis|cnidocyte	0.163636363636364	Tadh|unknown_2	Tadh	Spis
Spis|gastrodermis	0.0727272727272727	Tadh|unknown_2	Tadh	Spis
Spis|alga-hosting_cells	0.181818181818182	Tadh|unknown_2	Tadh	Spis
Spis|mitotic_host_cells	0.0727272727272727	Tadh|unknown_2	Tadh	Spis
Spis|germline	0.436363636363636	Tadh|unknown_2	Tadh	Spis
Spis|digestive	0.0181818181818182	Tadh|unknown_2	Tadh	Spis
Spis|epidermis	0.109090909090909	Tadh|unknown_2	Tadh	Spis
Spis|calicoblast	0.0727272727272727	Tadh|unknown_2	Tadh	Spis
Spis|neuron	0.0363636363636364	Tadh|unknown_2	Tadh	Spis
Spis|gland	0.0363636363636364	Tadh|unknown_2	Tadh	Spis
Spis|unknown	0.127272727272727	Tadh|unknown_2	Tadh	Spis
Spis|immune	0.0909090909090909	Tadh|unknown_2	Tadh	Spis
Mmus|marrow	0.103030303030303	Tadh|unknown_2	Tadh	Mmus
Mmus|vascular_cells	0.266666666666667	Tadh|unknown_2	Tadh	Mmus
Mmus|glia	0.16969696969697	Tadh|unknown_2	Tadh	Mmus
Mmus|lung	0.0242424242424242	Tadh|unknown_2	Tadh	Mmus
Mmus|liver	0.121212121212121	Tadh|unknown_2	Tadh	Mmus
Mmus|trachea	0.0242424242424242	Tadh|unknown_2	Tadh	Mmus
Mmus|limb_muscle	0.0181818181818182	Tadh|unknown_2	Tadh	Mmus
Mmus|kidney	0.181818181818182	Tadh|unknown_2	Tadh	Mmus
Mmus|tongue	0.224242424242424	Tadh|unknown_2	Tadh	Mmus
Mmus|heart_and_aorta	0.0606060606060606	Tadh|unknown_2	Tadh	Mmus
Mmus|bladder	0.0787878787878788	Tadh|unknown_2	Tadh	Mmus
Mmus|mammary_gland	0.133333333333333	Tadh|unknown_2	Tadh	Mmus
Mmus|neuron	0.236363636363636	Tadh|unknown_2	Tadh	Mmus
Mmus|spleen	0.16969696969697	Tadh|unknown_2	Tadh	Mmus
Mmus|immune_cells	0.157575757575758	Tadh|unknown_2	Tadh	Mmus
Mmus|thymus	0.381818181818182	Tadh|unknown_2	Tadh	Mmus
Dmel|Female_Reproductive_System	0.525	Tadh|unknown_2	Tadh	Dmel
Dmel|Muscle_Cell	0.0678571428571429	Tadh|unknown_2	Tadh	Dmel
Dmel|Epithelial_Cell	0.0392857142857143	Tadh|unknown_2	Tadh	Dmel
Dmel|Hemocyte	0.128571428571429	Tadh|unknown_2	Tadh	Dmel
Dmel|Glial_Cell	0.0535714285714286	Tadh|unknown_2	Tadh	Dmel
Dmel|unannotated	0.0392857142857143	Tadh|unknown_2	Tadh	Dmel
Dmel|Gland	0.0964285714285714	Tadh|unknown_2	Tadh	Dmel
Dmel|Male_Reproductive_System	0.0821428571428571	Tadh|unknown_2	Tadh	Dmel
Dmel|Male_Germline_Cell	0.446428571428571	Tadh|unknown_2	Tadh	Dmel
Dmel|Adipose_System	0.125	Tadh|unknown_2	Tadh	Dmel
Dmel|Excretory_System	0.0428571428571429	Tadh|unknown_2	Tadh	Dmel
Dmel|Gut_Cell	0.0214285714285714	Tadh|unknown_2	Tadh	Dmel
Dmel|neuron	0.0678571428571429	Tadh|unknown_2	Tadh	Dmel
Dmel|Oenocyte	0.0928571428571429	Tadh|unknown_2	Tadh	Dmel
Dmel|neuron_other_cells	0.657142857142857	Tadh|unknown_2	Tadh	Dmel
Dmel|Cardial_Cell	0.0392857142857143	Tadh|unknown_2	Tadh	Dmel
Dmel|Tracheal_Cell	0.05	Tadh|unknown_2	Tadh	Dmel
Dmel|Germline_Cell	0.685714285714286	Tadh|unknown_2	Tadh	Dmel
Dmel|Pigment_Cell	0.0428571428571429	Tadh|unknown_2	Tadh	Dmel
Dmel|Female_Germline_Cell	0.735714285714286	Tadh|unknown_2	Tadh	Dmel
Mlei|digestive	0.19672131147541	Tadh|unknown_2	Tadh	Mlei
Mlei|epithelia	0.163934426229508	Tadh|unknown_2	Tadh	Mlei
Mlei|unknown	0.0655737704918033	Tadh|unknown_2	Tadh	Mlei
Mlei|neuron	0.0983606557377049	Tadh|unknown_2	Tadh	Mlei
Mlei|muscle	0.114754098360656	Tadh|unknown_2	Tadh	Mlei
Mlei|comb	0.262295081967213	Tadh|unknown_2	Tadh	Mlei
Mlei|lens	0.131147540983607	Tadh|unknown_2	Tadh	Mlei
Mlei|tentacle	0.229508196721311	Tadh|unknown_2	Tadh	Mlei
Mlei|colloblast	0.147540983606557	Tadh|unknown_2	Tadh	Mlei
Spolac|archaeocyte	0.582781456953642	Tadh|unknown_2	Tadh	Spolac
Spolac|precursor	0.370860927152318	Tadh|unknown_2	Tadh	Spolac
Spolac|choanoblast	0.152317880794702	Tadh|unknown_2	Tadh	Spolac
Spolac|choanocyte	0.0529801324503311	Tadh|unknown_2	Tadh	Spolac
Spolac|apopylar_cell	0.0662251655629139	Tadh|unknown_2	Tadh	Spolac
Spolac|myopeptidocyte	0.0596026490066225	Tadh|unknown_2	Tadh	Spolac
Spolac|unknown	0.245033112582781	Tadh|unknown_2	Tadh	Spolac
Spolac|lophocyte	0.0264900662251656	Tadh|unknown_2	Tadh	Spolac
Spolac|pinacocyte	0.0860927152317881	Tadh|unknown_2	Tadh	Spolac
Spolac|sclerophorocyte	0.172185430463576	Tadh|unknown_2	Tadh	Spolac
Spolac|sclerocyte	0.390728476821192	Tadh|unknown_2	Tadh	Spolac
Spolac|granulocyte	0.145695364238411	Tadh|unknown_2	Tadh	Spolac
Spolac|metabolocyte	0.0728476821192053	Tadh|unknown_2	Tadh	Spolac
Spolac|neuroid	0.311258278145695	Tadh|unknown_2	Tadh	Spolac
Spolac|amoebocyte	0.0728476821192053	Tadh|unknown_2	Tadh	Spolac
