to	similarity	from	from_sps	to_sps
Nvec|cnidocyte	0.0357142857142857	Tadh|epithelia	Tadh	Nvec
Nvec|muscle	0.107142857142857	Tadh|epithelia	Tadh	Nvec
Nvec|gastrodermis_muscle	0.142857142857143	Tadh|epithelia	Tadh	Nvec
Nvec|gastrodermis	0.0357142857142857	Tadh|epithelia	Tadh	Nvec
Nvec|digestive_filaments	0.214285714285714	Tadh|epithelia	Tadh	Nvec
Nvec|epidermis	0.25	Tadh|epithelia	Tadh	Nvec
Nvec|precursors	0.107142857142857	Tadh|epithelia	Tadh	Nvec
Nvec|neuron	0.464285714285714	Tadh|epithelia	Tadh	Nvec
Nvec|gland	0.25	Tadh|epithelia	Tadh	Nvec
Hvul|cnidocyte	0.0526315789473684	Tadh|epithelia	Tadh	Hvul
Hvul|gastrodermis	0.526315789473684	Tadh|epithelia	Tadh	Hvul
Hvul|epidermis	0.263157894736842	Tadh|epithelia	Tadh	Hvul
Hvul|germline	0.0526315789473684	Tadh|epithelia	Tadh	Hvul
Hvul|precursors	0.0526315789473684	Tadh|epithelia	Tadh	Hvul
Hvul|neuron	0.578947368421053	Tadh|epithelia	Tadh	Hvul
Hvul|gland	0.0526315789473684	Tadh|epithelia	Tadh	Hvul
Spis|cnidocyte	0.0333333333333333	Tadh|epithelia	Tadh	Spis
Spis|gastrodermis	0	Tadh|epithelia	Tadh	Spis
Spis|alga-hosting_cells	0.0333333333333333	Tadh|epithelia	Tadh	Spis
Spis|mitotic_host_cells	0.0666666666666667	Tadh|epithelia	Tadh	Spis
Spis|germline	0.2	Tadh|epithelia	Tadh	Spis
Spis|digestive	0.166666666666667	Tadh|epithelia	Tadh	Spis
Spis|epidermis	0.133333333333333	Tadh|epithelia	Tadh	Spis
Spis|calicoblast	0.166666666666667	Tadh|epithelia	Tadh	Spis
Spis|neuron	0.133333333333333	Tadh|epithelia	Tadh	Spis
Spis|gland	0.1	Tadh|epithelia	Tadh	Spis
Spis|unknown	0.2	Tadh|epithelia	Tadh	Spis
Spis|immune	0	Tadh|epithelia	Tadh	Spis
Mmus|marrow	0.0869565217391304	Tadh|epithelia	Tadh	Mmus
Mmus|vascular_cells	0.217391304347826	Tadh|epithelia	Tadh	Mmus
Mmus|glia	0.434782608695652	Tadh|epithelia	Tadh	Mmus
Mmus|lung	0.217391304347826	Tadh|epithelia	Tadh	Mmus
Mmus|liver	0.0869565217391304	Tadh|epithelia	Tadh	Mmus
Mmus|trachea	0.130434782608696	Tadh|epithelia	Tadh	Mmus
Mmus|limb_muscle	0.0434782608695652	Tadh|epithelia	Tadh	Mmus
Mmus|kidney	0.173913043478261	Tadh|epithelia	Tadh	Mmus
Mmus|tongue	0	Tadh|epithelia	Tadh	Mmus
Mmus|heart_and_aorta	0.0869565217391304	Tadh|epithelia	Tadh	Mmus
Mmus|bladder	0.0434782608695652	Tadh|epithelia	Tadh	Mmus
Mmus|mammary_gland	0.0434782608695652	Tadh|epithelia	Tadh	Mmus
Mmus|neuron	0.478260869565217	Tadh|epithelia	Tadh	Mmus
Mmus|spleen	0.0869565217391304	Tadh|epithelia	Tadh	Mmus
Mmus|immune_cells	0	Tadh|epithelia	Tadh	Mmus
Mmus|thymus	0.0434782608695652	Tadh|epithelia	Tadh	Mmus
Dmel|Female_Reproductive_System	0.1	Tadh|epithelia	Tadh	Dmel
Dmel|Muscle_Cell	0.1	Tadh|epithelia	Tadh	Dmel
Dmel|Epithelial_Cell	0.0666666666666667	Tadh|epithelia	Tadh	Dmel
Dmel|Hemocyte	0.1	Tadh|epithelia	Tadh	Dmel
Dmel|Glial_Cell	0.366666666666667	Tadh|epithelia	Tadh	Dmel
Dmel|unannotated	0.333333333333333	Tadh|epithelia	Tadh	Dmel
Dmel|Gland	0.0666666666666667	Tadh|epithelia	Tadh	Dmel
Dmel|Male_Reproductive_System	0.1	Tadh|epithelia	Tadh	Dmel
Dmel|Male_Germline_Cell	0.133333333333333	Tadh|epithelia	Tadh	Dmel
Dmel|Adipose_System	0.1	Tadh|epithelia	Tadh	Dmel
Dmel|Excretory_System	0.1	Tadh|epithelia	Tadh	Dmel
Dmel|Gut_Cell	0.133333333333333	Tadh|epithelia	Tadh	Dmel
Dmel|neuron	0.4	Tadh|epithelia	Tadh	Dmel
Dmel|Oenocyte	0.133333333333333	Tadh|epithelia	Tadh	Dmel
Dmel|neuron_other_cells	0.0333333333333333	Tadh|epithelia	Tadh	Dmel
Dmel|Cardial_Cell	0.0666666666666667	Tadh|epithelia	Tadh	Dmel
Dmel|Tracheal_Cell	0.133333333333333	Tadh|epithelia	Tadh	Dmel
Dmel|Germline_Cell	0.133333333333333	Tadh|epithelia	Tadh	Dmel
Dmel|Pigment_Cell	0.266666666666667	Tadh|epithelia	Tadh	Dmel
Dmel|Female_Germline_Cell	0.166666666666667	Tadh|epithelia	Tadh	Dmel
Mlei|digestive	0.0833333333333333	Tadh|epithelia	Tadh	Mlei
Mlei|epithelia	0.0833333333333333	Tadh|epithelia	Tadh	Mlei
Mlei|unknown	0.0416666666666667	Tadh|epithelia	Tadh	Mlei
Mlei|neuron	0.333333333333333	Tadh|epithelia	Tadh	Mlei
Mlei|muscle	0.125	Tadh|epithelia	Tadh	Mlei
Mlei|comb	0.416666666666667	Tadh|epithelia	Tadh	Mlei
Mlei|lens	0.0416666666666667	Tadh|epithelia	Tadh	Mlei
Mlei|tentacle	0.25	Tadh|epithelia	Tadh	Mlei
Mlei|colloblast	0.0833333333333333	Tadh|epithelia	Tadh	Mlei
Spolac|archaeocyte	0.05	Tadh|epithelia	Tadh	Spolac
Spolac|precursor	0.05	Tadh|epithelia	Tadh	Spolac
Spolac|choanoblast	0.35	Tadh|epithelia	Tadh	Spolac
Spolac|choanocyte	0.3	Tadh|epithelia	Tadh	Spolac
Spolac|apopylar_cell	0.3	Tadh|epithelia	Tadh	Spolac
Spolac|myopeptidocyte	0.1	Tadh|epithelia	Tadh	Spolac
Spolac|unknown	0.2	Tadh|epithelia	Tadh	Spolac
Spolac|lophocyte	0.2	Tadh|epithelia	Tadh	Spolac
Spolac|pinacocyte	0.35	Tadh|epithelia	Tadh	Spolac
Spolac|sclerophorocyte	0.4	Tadh|epithelia	Tadh	Spolac
Spolac|sclerocyte	0.05	Tadh|epithelia	Tadh	Spolac
Spolac|granulocyte	0.1	Tadh|epithelia	Tadh	Spolac
Spolac|metabolocyte	0.15	Tadh|epithelia	Tadh	Spolac
Spolac|neuroid	0.2	Tadh|epithelia	Tadh	Spolac
Spolac|amoebocyte	0.1	Tadh|epithelia	Tadh	Spolac
Spolac|mesocyte	0.05	Tadh|epithelia	Tadh	Spolac
Nvec|cnidocyte	0.0769230769230769	TrH2|epithelia	TrH2	Nvec
Nvec|muscle	0.179487179487179	TrH2|epithelia	TrH2	Nvec
