to	similarity	from	from_sps	to_sps
Nvec|cnidocyte	0.142857142857143	Tadh|lipophil	Tadh	Nvec
Nvec|muscle	0.19047619047619	Tadh|lipophil	Tadh	Nvec
Nvec|gastrodermis_muscle	0.238095238095238	Tadh|lipophil	Tadh	Nvec
Nvec|gastrodermis	0.166666666666667	Tadh|lipophil	Tadh	Nvec
Nvec|digestive_filaments	0.428571428571429	Tadh|lipophil	Tadh	Nvec
Nvec|epidermis	0.238095238095238	Tadh|lipophil	Tadh	Nvec
Nvec|precursors	0.19047619047619	Tadh|lipophil	Tadh	Nvec
Nvec|neuron	0.0952380952380952	Tadh|lipophil	Tadh	Nvec
Nvec|gland	0	Tadh|lipophil	Tadh	Nvec
Hvul|cnidocyte	0.05	Tadh|lipophil	Tadh	Hvul
Hvul|gastrodermis	0.475	Tadh|lipophil	Tadh	Hvul
Hvul|epidermis	0.3	Tadh|lipophil	Tadh	Hvul
Hvul|germline	0.15	Tadh|lipophil	Tadh	Hvul
Hvul|precursors	0.075	Tadh|lipophil	Tadh	Hvul
Hvul|neuron	0.25	Tadh|lipophil	Tadh	Hvul
Hvul|gland	0	Tadh|lipophil	Tadh	Hvul
Spis|cnidocyte	0.129032258064516	Tadh|lipophil	Tadh	Spis
Spis|gastrodermis	0.0806451612903226	Tadh|lipophil	Tadh	Spis
Spis|alga-hosting_cells	0.225806451612903	Tadh|lipophil	Tadh	Spis
Spis|mitotic_host_cells	0.032258064516129	Tadh|lipophil	Tadh	Spis
Spis|germline	0.403225806451613	Tadh|lipophil	Tadh	Spis
Spis|digestive	0.0806451612903226	Tadh|lipophil	Tadh	Spis
Spis|epidermis	0.0483870967741935	Tadh|lipophil	Tadh	Spis
Spis|calicoblast	0	Tadh|lipophil	Tadh	Spis
Spis|neuron	0.0645161290322581	Tadh|lipophil	Tadh	Spis
Spis|gland	0.032258064516129	Tadh|lipophil	Tadh	Spis
Spis|unknown	0.129032258064516	Tadh|lipophil	Tadh	Spis
Spis|immune	0.112903225806452	Tadh|lipophil	Tadh	Spis
Mmus|marrow	0.0333333333333333	Tadh|lipophil	Tadh	Mmus
Mmus|vascular_cells	0.173333333333333	Tadh|lipophil	Tadh	Mmus
Mmus|glia	0.146666666666667	Tadh|lipophil	Tadh	Mmus
Mmus|lung	0.00666666666666667	Tadh|lipophil	Tadh	Mmus
Mmus|liver	0.46	Tadh|lipophil	Tadh	Mmus
Mmus|trachea	0.02	Tadh|lipophil	Tadh	Mmus
Mmus|limb_muscle	0	Tadh|lipophil	Tadh	Mmus
