to	similarity	from	from_sps	to_sps
Nvec|cnidocyte	0.176470588235294	Tadh|gland	Tadh	Nvec
Nvec|muscle	0	Tadh|gland	Tadh	Nvec
Nvec|gastrodermis_muscle	0.176470588235294	Tadh|gland	Tadh	Nvec
Nvec|gastrodermis	0.117647058823529	Tadh|gland	Tadh	Nvec
Nvec|digestive_filaments	0.294117647058824	Tadh|gland	Tadh	Nvec
Nvec|epidermis	0.176470588235294	Tadh|gland	Tadh	Nvec
Nvec|precursors	0.176470588235294	Tadh|gland	Tadh	Nvec
Nvec|neuron	0	Tadh|gland	Tadh	Nvec
Nvec|gland	0.176470588235294	Tadh|gland	Tadh	Nvec
Hvul|cnidocyte	0	Tadh|gland	Tadh	Hvul
Hvul|gastrodermis	0.166666666666667	Tadh|gland	Tadh	Hvul
Hvul|epidermis	0.0833333333333333	Tadh|gland	Tadh	Hvul
Hvul|germline	0.166666666666667	Tadh|gland	Tadh	Hvul
Hvul|precursors	0.416666666666667	Tadh|gland	Tadh	Hvul
Hvul|neuron	0.166666666666667	Tadh|gland	Tadh	Hvul
Hvul|gland	0.333333333333333	Tadh|gland	Tadh	Hvul
Spis|cnidocyte	0	Tadh|gland	Tadh	Spis
Spis|gastrodermis	0.285714285714286	Tadh|gland	Tadh	Spis
Spis|alga-hosting_cells	0.428571428571429	Tadh|gland	Tadh	Spis
Spis|mitotic_host_cells	0	Tadh|gland	Tadh	Spis
Spis|germline	0.142857142857143	Tadh|gland	Tadh	Spis
Spis|digestive	0	Tadh|gland	Tadh	Spis
Spis|epidermis	0.142857142857143	Tadh|gland	Tadh	Spis
Spis|calicoblast	0.285714285714286	Tadh|gland	Tadh	Spis
Spis|neuron	0	Tadh|gland	Tadh	Spis
Spis|gland	0	Tadh|gland	Tadh	Spis
Spis|unknown	0.428571428571429	Tadh|gland	Tadh	Spis
Spis|immune	0.285714285714286	Tadh|gland	Tadh	Spis
Mmus|marrow	0.142857142857143	Tadh|gland	Tadh	Mmus
Mmus|vascular_cells	0.0714285714285714	Tadh|gland	Tadh	Mmus
Mmus|glia	0.0714285714285714	Tadh|gland	Tadh	Mmus
Mmus|lung	0.0714285714285714	Tadh|gland	Tadh	Mmus
Mmus|liver	0.357142857142857	Tadh|gland	Tadh	Mmus
Mmus|trachea	0.285714285714286	Tadh|gland	Tadh	Mmus
Mmus|limb_muscle	0.142857142857143	Tadh|gland	Tadh	Mmus
Mmus|kidney	0	Tadh|gland	Tadh	Mmus
Mmus|tongue	0.285714285714286	Tadh|gland	Tadh	Mmus
Mmus|heart_and_aorta	0.0714285714285714	Tadh|gland	Tadh	Mmus
Mmus|bladder	0.214285714285714	Tadh|gland	Tadh	Mmus
Mmus|mammary_gland	0.214285714285714	Tadh|gland	Tadh	Mmus
Mmus|neuron	0.0714285714285714	Tadh|gland	Tadh	Mmus
Mmus|spleen	0.214285714285714	Tadh|gland	Tadh	Mmus
Mmus|immune_cells	0.142857142857143	Tadh|gland	Tadh	Mmus
Mmus|thymus	0.214285714285714	Tadh|gland	Tadh	Mmus
Dmel|Female_Reproductive_System	0.428571428571429	Tadh|gland	Tadh	Dmel
Dmel|Muscle_Cell	0.142857142857143	Tadh|gland	Tadh	Dmel
Dmel|Epithelial_Cell	0.238095238095238	Tadh|gland	Tadh	Dmel
Dmel|Hemocyte	0.142857142857143	Tadh|gland	Tadh	Dmel
Dmel|Glial_Cell	0.0952380952380952	Tadh|gland	Tadh	Dmel
Dmel|unannotated	0.0952380952380952	Tadh|gland	Tadh	Dmel
Dmel|Gland	0.238095238095238	Tadh|gland	Tadh	Dmel
Dmel|Male_Reproductive_System	0.142857142857143	Tadh|gland	Tadh	Dmel
Dmel|Male_Germline_Cell	0.19047619047619	Tadh|gland	Tadh	Dmel
Dmel|Adipose_System	0.0952380952380952	Tadh|gland	Tadh	Dmel
Dmel|Excretory_System	0	Tadh|gland	Tadh	Dmel
