gene	orthogroup	orthogroup_support	reference_ortholog	reference_support
Lampan_Lpan_C414807_01	OG0	43.0		
Salinf_EP00049_Salpingoeca_infusionum_P023263	OG0	43.0		
Salmac_EP00052_Salpingoeca_macrocollata_P003112	OG0	43.0		
Diagra_EP00040_Diaphanoeca_grandis_P012570	OG0	43.0		
Salpun_EP00053_Salpingoeca_punica_P001152	OG0	43.0		
Stedip_EP00041_Stephanoeca_diplocostata_P003357	OG0	43.0		
Salurc_EP00051_Salpingoeca_urceolata_P011264	OG0	43.0		
Salurc_EP00051_Salpingoeca_urceolata_P011267	OG0	43.0		
Lcom_lcpid43566	OG0	43.0		
Helnan_EP00037_Helgoeca_nana_P006654	OG0	43.0		
Salkve_EP00050_Salpingoeca_kvevrii_P014392	OG0	43.0		
Lcom_lcpid60252	OG0	43.0		
Salurc_EP00051_Salpingoeca_urceolata_P011263	OG0	43.0		
Microa_EP00043_Microstomoeca_roanoka_P009529	OG0	43.0		
Leuniv_Lniv_scaffold13553_01	OG0	43.0		
Stedip_EP00041_Stephanoeca_diplocostata_P003358	OG0	43.0		
Stedip_EP00041_Stephanoeca_diplocostata_P003356	OG0	43.0		
Didcos_EP00039_Didymoeca_costata_P007064	OG0	43.0		
Salurc_EP00051_Salpingoeca_urceolata_P011265	OG0	43.0		
Gracom_Gcom_scaffold4653_01	OG0	43.0		
Gracom_Gcom_scaffold4652_01	OG0	43.0		
Scil_scict006962.2	OG0	43.0		
Codhol_EP00042_Codosiga_hollandica_P043381	OG0	43.0		
Mylflu_EP00047_Mylnosiga_fluctuans_P015279	OG0	43.0		
Leuniv_Lniv_scaffold13552_01	OG0	43.0		
Salmac_EP00052_Salpingoeca_macrocollata_P003111	OG0	43.0		
Choper_EP00045_Choanoeca_perplexa_P007767	OG0	43.0		
Mbre_EDQ86103	OG0	43.0		
Chofle_EP00730_Choanoeca_flexa_P000955	OG0	43.0		
Codhol_EP00042_Codosiga_hollandica_P043384	OG0	43.0		
Sros_EGD74374	OG0	43.0		
Saldol_EP00054_Salpingoeca_dolichothecata_P000094	OG0	43.0		
Codhol_EP00042_Codosiga_hollandica_P043387	OG0	43.0		
Lcom_lcpid43567	OG0	43.0		
Acaspe_EP00035_Acanthoeca_spectabilis_P007454	OG0	43.0		
Microa_EP00043_Microstomoeca_roanoka_P009528	OG0	43.0		
Mertsp_Mesp_sb581375	OG0	43.0		
HoiH04_mRNA6939	OG0	43.0		
HoiH23_PlH23_004178-RA	OG0	43.0		
Bolinf_Binf_sb1261796	OG0	43.0		
Pbac_sb2668882	OG0	43.0		
Dpul_mRNA10548	OG0	43.0		
HoiH06_mRNA5286	OG0	43.0		
Drygla_Dgla_sb303538	OG0	43.0		
Vmul_SimC400202	OG0	43.0		
Cscu_XM_023355889.1	OG0	43.0		
Tadh_TriadT53217	OG0	43.0		
Bolinf_Binf_sb1261797	OG0	43.0		
Mlei_ML0449.g2.i1	OG0	43.0		
Drygla_Dgla_sb303537	OG0	43.0		
Coemet_Cmet_C606698_01	OG0	43.0		
Coeast_Cast_sb768572	OG0	43.0		
Hhon_g08784.t1	OG0	43.0		
Tcas_TC000540_001	OG0	43.0		
Bolinf_Binf_sb1261865	OG0	43.0		
TrH2_TrispH2_007909-RA	OG0	43.0		
Eupdun_Edun_sb10603182	OG0	43.0		
Mertsp_Mesp_sb562510	OG0	43.0		
Horcal_Hcv1.av93.c9.g104.i1	OG0	43.0		
Mertsp_Mesp_sb562511	OG0	43.0		
Bralan_BLAG08001085_1	OG1	43.0		
Stycar_maker-SC_scaffold2315-augustus-gene-0.8-mRNA-1	OG1	43.0		
Skow_XM_006818365.1	OG1	43.0		
Aaur_scaffold169.g6.t1	OG1	43.0		
Xestes_maker-XT_scaffold3438-augustus-gene-0.12-mRNA-1	OG1	43.0		
Sanmal_Sma_022158-T1	OG1	43.0		
Sanmal_Sma_022159-T1	OG1	43.0		
Skow_XM_002730401.1	OG1	43.0		
Skow_XM_006825233.1	OG1	43.0		
Xesp_008265-T1	OG1	43.0		
Spolac_c88722_g2_i1_m.5213c88722-g1	OG1	43.0		
Skow_XM_006820378.1	OG1	43.0		
Stycar_snap_masked-SC_scaffold4930-processed-gene-0.29-mRNA-1	OG1	43.0		
Spur_XM_030972644.1	OG1	43.0		
Chem_TCONS_00012724	OG1	43.0		
Gfas_gfas1.m1.4331.m1	OG1	43.0		
Spur_XM_030997615.1	OG1	43.0		
Adig_XM_015903111.1	OG1	43.0		
Fspp_ffun1.m4.10040.m1	OG1	43.0		
Rhoesc_Res_015794-T1	OG1	43.0		
Plespi_Pspi_scaffold19654_01	OG1	43.0		
Nemnom_g10548.t1	OG1	43.0		
Spolac_c88722_g1_i1_m.5211c88722-g1	OG1	43.0		
Stycar_maker-SC_scaffold1945-augustus-gene-0.2-mRNA-1	OG1	43.0		
Emue_Em0016g224a.t1	OG1	43.0		
Skow_XM_006813200.1	OG1	43.0		
Morvir_scaffold231.g13.t1	OG1	43.0		
Pocdam_XM_027187941.1	OG1	43.0		
Skow_XM_006818051.1	OG1	43.0		
Spur_XM_784702.5	OG1	43.0		
Halamb_c53152_g2_i4mm.5009	OG1	43.0		
Hvul_g27591_1	OG1	43.0		
Spur_XM_030972762.1	OG1	43.0		
Nvec_v1g204297	OG1	43.0		
Spur_XM_788142.5	OG1	43.0		
Amil_Amillepora00162-RA	OG1	43.0		
Gasp_gasp1.m3.1040.m1	OG1	43.0		
Dgig_XM_028552588.1	OG1	43.0		
Fspp_ffun1.m4.10044.m1	OG1	43.0		
Spolac_c91903_g1_i1_m.7346c88722-g1	OG1	43.0		
Halamb_c53152_g1_i2m.34821	OG1	43.0		
Nvec_NVE18757	OG1	43.0		
Spolac_c91903_g2_i2_m.7347c88722-g1	OG1	43.0		
Spur_XM_011678264.2	OG1	43.0		
Xesp_008264-T1	OG1	43.0		
Skow_XM_006816231.1	OG1	43.0		
Tetwil_g9465.t2	OG1	43.0		
Fspp_ffun1.m2b.37940.m1	OG1	43.0		
Fspp_ffun1.m2b.12279.m1	OG1	43.0		
Amil_Amillepora00161-RA	OG1	43.0		
Skow_XM_006823368.1	OG1	43.0		
Hvul_g27594_1	OG1	43.0		
Skow_XM_002739350.1	OG1	43.0		
Dgig_XM_028552543.1	OG1	43.0		
Skow_XM_002741735.2	OG1	43.0		
Skow_XM_002734629.1	OG1	43.0		
Adig_XM_015894876.1	OG1	43.0		
Stycar_maker-SC_scaffold2315-snap-gene-0.11-mRNA-1	OG1	43.0		
Skow_XM_006825242.1	OG1	43.0		
Spis_XP_022808231_1	OG1	43.0		
Stycar_maker-SC_scaffold4930-snap-gene-0.88-mRNA-1	OG1	43.0		
Aque_Aqu2.1.17550_001	OG1	43.0		
Acagra_model.g31540.t1	OG1	43.0		
Hsap_ENST00000373247	OG1	43.0		
Lcom_lcpid228904	OG1	43.0		
Opea_EP00118_Oscarella_pearsei_P021421	OG1	43.0		
Cgig_XM_011444690.3	OG1	43.0		
Opea_EP00118_Oscarella_pearsei_P021420	OG1	43.0		
Opea_EP00118_Oscarella_pearsei_P021423	OG1	43.0		
Opea_EP00118_Oscarella_pearsei_P021419	OG1	43.0		
Opea_EP00118_Oscarella_pearsei_P021415	OG1	43.0		
Opea_EP00118_Oscarella_pearsei_P021425	OG1	43.0		
Opea_EP00118_Oscarella_pearsei_P021422	OG1	43.0		
Opea_EP00118_Oscarella_pearsei_P021417	OG1	43.0		
Plajan_Pjan_C562944_01	OG1	43.0		
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA191238	OG1	43.0		
Opea_EP00118_Oscarella_pearsei_P021424	OG1	43.0		
