gene	orthogroup	orthogroup_support	reference_ortholog	reference_support
Lcom_lcpid198230	OG0	41.0		
Chofle_EP00730_Choanoeca_flexa_P007100	OG0	41.0		
Choper_EP00045_Choanoeca_perplexa_P004696	OG0	41.0		
Mbre_EDQ88645	OG0	41.0		
Codhol_EP00042_Codosiga_hollandica_P049494	OG0	41.0		
Chofle_EP00730_Choanoeca_flexa_P007103	OG0	41.0		
Salinf_EP00049_Salpingoeca_infusionum_P008236	OG0	41.0		
Codhol_EP00042_Codosiga_hollandica_P049492	OG0	41.0		
Sros_EGD78639	OG0	41.0		
Microa_EP00043_Microstomoeca_roanoka_P016617	OG0	41.0		
Mylflu_EP00047_Mylnosiga_fluctuans_P003558	OG0	41.0		
Salmac_EP00052_Salpingoeca_macrocollata_P011511	OG1	41.0		
Cscu_XM_023379378.1	OG1	41.0		
HoiH06_mRNA8880	OG1	41.0		
Hvul_g4633_1	OG1	41.0		
Lcom_lcpid40555	OG1	41.0		
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA161952	OG1	41.0		
Eupdun_Edun_sb10598389	OG1	41.0		
Gfas_gfas1.m1.5561.m1	OG1	41.0		
Spolac_c101158_g1_i1_m.24707c101158-g1	OG1	41.0		
Exapal_XM_028661566.1	OG1	41.0		
Eupdun_Edun_sb10624194	OG1	41.0		
Rhoesc_Res_001034-T1	OG1	41.0		
Sanmal_Sma_026898-T1	OG1	41.0		
Xestes_maker-XT_scaffold4277-snap-gene-0.6-mRNA-1	OG1	41.0		
Adig_XM_015915320.1	OG1	41.0		
Nemnom_g2131.t1	OG1	41.0		
Gasp_gasp1.m3.12877.m1	OG1	41.0		
Plespi_Pspi_scaffold9646_01	OG1	41.0		
Scil_scict010543.1	OG1	41.0		
Halamb_c56585_g2_i1mm.7237	OG1	41.0		
Nvec_v1g238595	OG1	41.0		
Tcas_TC008294_001	OG1	41.0		
Morvir_scaffold43.g59.t1	OG1	41.0		
Nvec_v1g147313	OG1	41.0		
Diagra_EP00040_Diaphanoeca_grandis_P012449	OG1	41.0		
Bralan_BLAG04000031_1	OG1	41.0		
Spolac_c101158_g1_i3_m.24708c101158-g1	OG1	41.0		
Cscu_XM_023370590.1	OG1	41.0		
Beraby_Baby_sb339936	OG1	41.0		
Spur_XM_030998674.1	OG1	41.0		
Cgig_XM_011457377.3	OG1	41.0		
Eupdun_Edun_sb10624195	OG1	41.0		
Emue_Em0019g568a.t1	OG1	41.0		
Xesp_012234-T1	OG1	41.0		
Stedip_EP00041_Stephanoeca_diplocostata_P025309	OG1	41.0		
Leuniv_Lniv_scaffold24528_01	OG1	41.0		
Tadh_TriadT62033	OG1	41.0		
Ocar_g6847	OG1	41.0		
HoiH04_mRNA13200	OG1	41.0		
Drygla_Dgla_sb282186	OG1	41.0		
Horcal_Hcv1.av93.c7.g802.i1	OG1	41.0		
Gasp_gasp1.m3.18984.m1	OG1	41.0		
Pbac_sb2639302	OG1	41.0		
TrH2_TrispH2_009547-RA	OG1	41.0		
Dpul_mRNA8009	OG1	41.0		
Gracom_Gcom_scaffold11313_01	OG1	41.0		
Tetwil_g10410.t1	OG1	41.0		
Didcos_EP00039_Didymoeca_costata_P006191	OG1	41.0		
Pbac_sb2665111	OG1	41.0		
Mlei_ML0295.g17.i1	OG1	41.0		
Coemet_Cmet_scaffold9927_01	OG1	41.0		
Fspp_ffun1.m4.24787.m1	OG1	41.0		
Hsap_ENST00000414423	OG1	41.0		
Stedip_EP00041_Stephanoeca_diplocostata_P025303	OG1	41.0		
Beraby_Baby_sb339935	OG1	41.0		
Spolac_c101158_g2_i2_m.24710c101158-g1	OG1	41.0		
Plespi_Pspi_scaffold9647_01	OG1	41.0		
Lcom_lcpid35104	OG1	41.0		
Salkve_EP00050_Salpingoeca_kvevrii_P011328	OG1	41.0		
Aque_Aqu2.1.40831_001	OG1	41.0		
Spolac_c101158_g2_i1_m.24709c101158-g1	OG1	41.0		
Emue_Em0019g559a.t1	OG1	41.0		
Acagra_model.g15636.t1_model.g15637.t1	OG1	41.0		
Lampan_Lpan_9576_01	OG1	41.0		
Chem_TCONS_00054380	OG1	41.0		
Pocdam_XM_027201836.1	OG1	41.0		
Clacor_Ccor_scaffold4983_01	OG1	41.0		
Acaspe_EP00035_Acanthoeca_spectabilis_P023088	OG1	41.0		
Skow_XM_006818772.1	OG1	41.0		
HoiH11_mRNA2942	OG1	41.0		
Helnan_EP00037_Helgoeca_nana_P003319	OG1	41.0		
Hhon_g03119.t1	OG1	41.0		
Vmul_Simscaffold16652_01	OG1	41.0		
Dgig_XM_028542788.1	OG1	41.0		
HoiH23_PlH23_007545-RA	OG1	41.0		
Cscu_XM_023377198.1	OG1	41.0		
Spis_XP_022794334_1	OG1	41.0		
Spolac_c101158_g2_i3_m.24711c101158-g1	OG1	41.0		
Opea_EP00118_Oscarella_pearsei_P002921	OG1	41.0		
Amil_Amillepora07496-RA	OG1	41.0		
Plajan_Pjan_C567538_01	OG1	41.0		
Salmac_EP00052_Salpingoeca_macrocollata_P011512	OG1	41.0		
Saldol_EP00054_Salpingoeca_dolichothecata_P004377	OG1	41.0		
Salurc_EP00051_Salpingoeca_urceolata_P027878	OG1	41.0		
Salpun_EP00053_Salpingoeca_punica_P012525	OG1	41.0		
