gene	orthogroup	orthogroup_support	reference_ortholog	reference_support
Dpul_mRNA27512	OG0	54.0		
Saldol_EP00054_Salpingoeca_dolichothecata_P015887	OG0	54.0		
Lampan_Lpan_15718_01	OG0	54.0		
Salinf_EP00049_Salpingoeca_infusionum_P011371	OG0	54.0		
Diagra_EP00040_Diaphanoeca_grandis_P017570	OG0	54.0		
Pbac_sb2660889	OG0	54.0		
Salpun_EP00053_Salpingoeca_punica_P019734	OG0	54.0		
Codhol_EP00042_Codosiga_hollandica_P057377	OG0	54.0		
Chofle_EP00730_Choanoeca_flexa_P007915	OG0	54.0		
Pbac_sb2660886	OG0	54.0		
Lampan_Lpan_C398877_01	OG0	54.0		
Choper_EP00045_Choanoeca_perplexa_P014632	OG0	54.0		
Helnan_EP00037_Helgoeca_nana_P000739	OG0	54.0		
Sros_EGD81795	OG0	54.0		
Salurc_EP00051_Salpingoeca_urceolata_P022214	OG0	54.0		
Mylflu_EP00047_Mylnosiga_fluctuans_P022249	OG0	54.0		
Stedip_EP00041_Stephanoeca_diplocostata_P036137	OG0	54.0		
Salurc_EP00051_Salpingoeca_urceolata_P022212	OG0	54.0		
Salkve_EP00050_Salpingoeca_kvevrii_P016203	OG0	54.0		
Stedip_EP00041_Stephanoeca_diplocostata_P036141	OG0	54.0		
Coemet_Cmet_scaffold12039_01	OG0	54.0		
Lcom_lcpid224542	OG0	54.0		
Salpun_EP00053_Salpingoeca_punica_P019733	OG0	54.0		
Acaspe_EP00035_Acanthoeca_spectabilis_P025089	OG0	54.0		
Pbac_sb2660887	OG0	54.0		
Vmul_SimC401350	OG0	54.0		
Salurc_EP00051_Salpingoeca_urceolata_P022215	OG0	54.0		
Eupdun_Edun_sb10632581	OG0	54.0		
Stedip_EP00041_Stephanoeca_diplocostata_P036140	OG0	54.0		
Beraby_Baby_sb322355	OG0	54.0		
Mbre_EDQ91076	OG0	54.0		
Microa_EP00043_Microstomoeca_roanoka_P025347	OG0	54.0		
Mlei_ML1439.g7.i1	OG0	54.0		
Mylflu_EP00047_Mylnosiga_fluctuans_P022250	OG0	54.0		
