gene	orthogroup	orthogroup_support	reference_ortholog	reference_support	species	is_largest_og	is_duplicated_in_og	dist_to_root	prot_length	closest_neighbours	closest_neighbours_freq	is_outlier_to_closest
Pocdam_XM_027183990.1	OG0	1	NA	NA	Pocdam	TRUE	FALSE	0.567167	426	Spis	0.934686346863469	FALSE
Horcal_Hcv1.av93.c6.g868.i2	OG0	1	NA	NA	Horcal	TRUE	TRUE	1.48263422	395	Pbac	0.863125242341993	FALSE
Xestes_maker-XT_scaffold6575-augustus-gene-0.8-mRNA-1	OG0	1	NA	NA	Xestes	TRUE	FALSE	0.5854091	391	Halamb	0.591569086651054	FALSE
Saldol_EP00054_Salpingoeca_dolichothecata_P023516	OG0	1	NA	NA	Saldol	TRUE	TRUE	1.3687507376	311	Salkve	0.17882797731569	FALSE
Halamb_c41112_g1_i1m.13427	OG0	1	NA	NA	Halamb	TRUE	FALSE	0.5856366	403	Aque	0.806740614334471	FALSE
Didcos_EP00039_Didymoeca_costata_P012679	OG0	1	NA	NA	Didcos	TRUE	FALSE	1.9031173	423	Helnan	0.052159739201304	FALSE
Codhol_EP00042_Codosiga_hollandica_P054438	OG0	1	NA	NA	Codhol	TRUE	TRUE	1.36434	240	Saldol	0.233832807570978	FALSE
Tetwil_g5248.t1	OG0	1	NA	NA	Tetwil	TRUE	FALSE	0.7014169	1148	Spolac	0.185487000388048	FALSE
Drygla_Dgla_sb302484	OG0	1	NA	NA	Drygla	TRUE	TRUE	1.3668269532	204	Beraby	0.233108108108108	FALSE
Codhol_EP00042_Codosiga_hollandica_P054434	OG0	1	NA	NA	Codhol	TRUE	TRUE	0.6685165	67	Exapal	0.00197160883280757	TRUE
Acaspe_EP00035_Acanthoeca_spectabilis_P036192	OG0	1	NA	NA	Acaspe	TRUE	FALSE	2.2788683	417	Helnan	0.953877551020408	FALSE
Clacor_Ccor_scaffold14136_01	OG0	1	NA	NA	Clacor	TRUE	FALSE	0.7170453	419	Gracom	0.201834862385321	FALSE
Leuniv_Lniv_scaffold25316_01	OG0	1	NA	NA	Leuniv	TRUE	FALSE	1.3452443	355	Gracom	0.359871330920788	FALSE
Helnan_EP00037_Helgoeca_nana_P005712	OG0	1	NA	NA	Helnan	TRUE	FALSE	2.1857903	407	Acaspe	0.950366151342555	FALSE
Plespi_Pspi_C606070_01	OG0	1	NA	NA	Plespi	TRUE	FALSE	0.5988345	403	Spolac	0.105210918114144	FALSE
Saldol_EP00054_Salpingoeca_dolichothecata_P023517	OG0	1	NA	NA	Saldol	TRUE	TRUE	1.518076	219	Salkve	0.17882797731569	FALSE
Beraby_Baby_sb339741	OG0	1	NA	NA	Beraby	TRUE	TRUE	1.2996893002	398	Drygla	0.126046716615249	FALSE
Saldol_EP00054_Salpingoeca_dolichothecata_P023518	OG0	1	NA	NA	Saldol	TRUE	TRUE	1.2307687925	386	Salkve	0.17882797731569	FALSE
