peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_delta	peptidergic_epsilon	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_nu	peptidergic_omicron
TrH2_TrispH2_000469	0	2	0	1	0	0	1	2	3	2	3	0	0	2	0
TrH2_TrispH2_000470	0	2	1	1	1	4	0	3	5	6	0	0	2	2	0
TrH2_TrispH2_000472	0	3	1	0	0	0	1	0	1	0	1	0	2	1	1
TrH2_TrispH2_000474	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1
TrH2_TrispH2_000477	1	5	5	14	0	1	4	1	1	7	5	1	5	8	0
TrH2_TrispH2_000480	1	0	1	1	5	1	0	5	3	5	4	3	5	1	0
TrH2_TrispH2_000483	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
TrH2_TrispH2_000484	0	1	0	0	0	0	0	1	0	2	2	0	0	0	0
TrH2_TrispH2_000487	0	0	0	1	0	0	0	1	0	1	2	0	1	0	0
TrH2_TrispH2_000488	0	0	1	5	0	0	3	0	1	2	3	1	2	1	0
TrH2_TrispH2_000490	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
TrH2_orphan_1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
TrH2_TrispH2_000498	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0
TrH2_TrispH2_000499	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0
TrH2_TrispH2_000501	8	20	23	32	10	12	15	22	23	55	53	7	53	24	5
TrH2_TrispH2_000503	0	0	0	1	0	1	0	2	0	1	1	0	1	0	0
TrH2_TrispH2_000508	0	4	0	2	0	0	0	2	3	0	0	1	1	0	0
TrH2_TrispH2_000509	3	11	0	0	0	0	5	6	3	31	7	2	4	8	4
TrH2_TrispH2_000510	0	1	0	0	0	0	1	2	0	0	0	0	1	0	1
TrH2_TrispH2_000513	15	54	38	125	18	24	22	23	20	63	81	37	62	36	15
TrH2_TrispH2_000514	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
TrH2_TrispH2_000519	1	6	5	6	3	1	5	9	6	11	15	4	12	2	1
TrH2_TrispH2_000521	3	1	2	1	1	2	1	2	1	4	5	0	5	2	0
TrH2_TrispH2_000522	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0
TrH2_TrispH2_000524	0	0	0	0	0	0	1	0	0	2	1	0	1	0	0
TrH2_TrispH2_000525	0	1	1	0	2	1	1	1	2	1	36	6	12	0	0
TrH2_TrispH2_000527	1	2	6	12	0	4	4	1	0	11	21	7	3	8	0
TrH2_TrispH2_000530	21	22	11	26	7	1	5	20	15	33	30	23	14	6	1
TrH2_TrispH2_000532	0	0	0	1	0	0	0	1	1	2	0	0	1	1	1
TrH2_TrispH2_000533	1	1	1	2	0	1	0	1	1	1	4	1	4	4	0
TrH2_TrispH2_000535	0	1	0	0	0	0	0	2	0	1	2	0	2	0	0
TrH2_TrispH2_000536	1	0	2	0	0	1	1	0	0	5	6	0	0	0	2
TrH2_TrispH2_000538	3	13	2	19	4	1	8	13	9	16	22	4	15	8	2
TrH2_orphan_3	0	0	2	3	2	0	3	2	3	3	2	0	3	0	1
TrH2_TrispH2_000540	0	1	1	0	1	1	1	0	1	0	0	1	2	2	0
TrH2_TrispH2_000541	1	1	0	1	0	0	0	0	0	1	0	0	0	1	5
TrH2_TrispH2_000543	0	0	2	0	5	5	10	2	0	25	4	30	36	18	0
TrH2_orphan_4	1	3	0	1	0	1	2	0	1	2	8	1	1	0	1
TrH2_TrispH2_000544	8	13	2	4	2	1	3	8	1	9	14	3	8	1	5
TrH2_TrispH2_000547	1	1	0	0	0	1	0	5	2	2	1	0	1	1	1
TrH2_TrispH2_000551	2	8	0	2	4	2	2	8	1	6	9	0	8	1	1
TrH2_TrispH2_000554	7	10	0	0	3	3	2	4	5	33	10	1	6	1	1
TrH2_TrispH2_000557	0	2	0	1	0	0	2	3	1	1	1	1	0	4	3
TrH2_TrispH2_000559	3	6	2	9	6	2	4	13	9	19	13	7	19	3	1
TrH2_TrispH2_000560	1	4	6	7	3	2	4	5	2	13	7	3	8	4	2
TrH2_TrispH2_000562	1	0	0	0	0	0	0	1	2	2	2	1	4	2	2
TrH2_TrispH2_000564	29	59	1	7	16	39	3	10	4	43	15	10	34	5	2
TrH2_TrispH2_000566	7	13	1	4	3	5	6	3	8	17	10	3	10	12	4
TrH2_orphan_8	0	1	0	0	0	0	1	0	0	6	0	2	0	1	0
