peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_epsilon	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_nu
HoiH23_PlH23_000001	0.0975305270549682	0.121831009314534	0.17944515557895	0.154697652033415	0.0212843446550281	0.0656517992696237	0.121309358430022	0.11414988551438	0.0796555340682294	0.0912062020217375	0.122824773265469	0.115978335246976	0.0520882166036399
HoiH23_orphan_1	0	0	0	0	0	0	0	0	0	0	0	0	0.010417643320728
HoiH23_PlH23_000005	0	0	0	0	0	0	0.0156528204425835	0	0.00442530744823497	0	0.00982598186123748	0	0.364617516225479
HoiH23_PlH23_000006	0.0390122108219873	0.0443021852052852	0.01196301037193	0	0	0	0.238705511749398	0	0	0	0	0	0
HoiH23_orphan_2	0	0	0	0	0	0	0.00782641022129175	0	0	0	0	0	0.010417643320728
HoiH23_PlH23_000008	0.0195061054109936	0	0	0	0.00945970873556803	0	0.00782641022129175	0.0134293982958094	0.0132759223447049	0	0	0	0
HoiH23_PlH23_000011	0.0780244216439746	0.0553777315066066	0.065796557045615	0.0343772560074255	0.0283791262067041	0	0.0273924357745211	0.0604322923311421	0.0177012297929399	0.0456031010108687	0.0393039274449499	0.0231956670493952	0.020835286641456
HoiH23_PlH23_000013	0	0.0110755463013213	0	0	0	0	0	0	0.00442530744823497	0.00760051683514479	0	0	0
HoiH23_PlH23_000015	0	0	0	0	0.00472985436778402	0	0.00391320511064587	0.020144097443714	0.0132759223447049	0	0.00491299093061874	0	0
HoiH23_PlH23_000016	0	0	0.03588903111579	0	0.00709478155167602	0	0.0117396153319376	0.020144097443714	0.00885061489646993	0	0.00982598186123748	0.0115978335246976	0.010417643320728
HoiH23_PlH23_000018	0.0195061054109936	0.0443021852052852	0.02392602074386	0.0171886280037127	0.00709478155167602	0.00820647490870297	0.0195660255532294	0.0335734957395234	0.199138835170573	0.159610853538041	0.00982598186123748	0	0.010417643320728
HoiH23_PlH23_000020	0.136542737876955	0.0886043704105705	0.041870536301755	0.0859431400185637	0.0260141990228121	0.00820647490870297	0.031305640885167	0.0402881948874281	0.0442530744823497	0.0608041346811583	0.0736948639592811	0.0231956670493952	0.0520882166036399
