metacell	cell_type	color	prev_mc	prev_mc_freq	prev_ct	prev_ct_freq
20	peptidergic_progenitors	blueviolet	194	0.957	peptidergic_progenitors	0.957
4	peptidergic_alpha	dodgerblue1	196	0.967	peptidergic_alpha	1.000
5	peptidergic_alpha	dodgerblue1	195	0.991	peptidergic_alpha	0.991
18	peptidergic_beta	dodgerblue3	197	0.992	peptidergic_beta	0.992
16	peptidergic_gamma	skyblue1	198	0.671	peptidergic_gamma	0.671
13	peptidergic_delta	skyblue3	200	0.989	peptidergic_delta	0.989
8	peptidergic_epsilon	steelblue1	201	0.987	peptidergic_epsilon	0.987
12	peptidergic_zeta	steelblue3	202	1.000	peptidergic_zeta	1.000
6	peptidergic_eta	royalblue1	203	0.989	peptidergic_eta	1.000
7	peptidergic_eta	royalblue1	204	0.963	peptidergic_eta	0.975
14	peptidergic_theta	royalblue3	205	0.968	peptidergic_theta	0.968
1	peptidergic_iota	deepskyblue1	206	0.921	peptidergic_iota	1.000
2	peptidergic_iota	deepskyblue1	208	0.828	peptidergic_iota	1.000
3	peptidergic_iota	deepskyblue1	207	0.770	peptidergic_iota	1.000
10	peptidergic_kappa	deepskyblue3	211	1.000	peptidergic_kappa	1.000
11	peptidergic_kappa	deepskyblue3	212	1.000	peptidergic_kappa	1.000
17	peptidergic_lambda	cyan2	213	1.000	peptidergic_lambda	1.000
19	peptidergic_mu	cyan3	214	1.000	peptidergic_mu	1.000
15	peptidergic_nu	cyan4	216	0.982	peptidergic_nu	0.982
9	peptidergic_omicron	lightskyblue	217	0.923	peptidergic_omicron	0.923
