peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_delta	peptidergic_epsilon	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_nu	peptidergic_omicron
Tadh_TriadG51255	0	0	0.0181047905275736	0.0126967466702782	0	0.0274778116670788	0	0	0	0.0115031556990468	0.0229194838532236	0.00635449167243866	0.100441944556047	0	0.0121447656060238
Tadh_TriadG51256	0	0	0	0	0	0	0.0145074713477441	0	0	0	0	0	0	0	0.0121447656060238
Tadh_TriadG51257	0.0199203187250996	0.00985658666403824	0.0181047905275736	0.00846449778018546	0	0	0.0145074713477441	0	0	0.00766877046603118	0	0	0	0	0.0121447656060238
Tadh_TriadG51262	0	0.039426346656153	0.0362095810551472	0.0126967466702782	0.0295936787902104	0	0.0145074713477441	0	0	0	0	0	0.0334806481853489	0.0250695680513425	0.0242895312120476
Tadh_TriadG18273	0	0	0	0.00846449778018546	0	0.0549556233341577	0	0.0124975785941474	0	0.00766877046603118	0.0229194838532236	0.019063475017316	0.200883889112093	0.0250695680513425	0.0121447656060238
Tadh_TriadG18815	0.0298804780876494	0.00985658666403824	0	0.0507869866811127	0.118374715160842	0.109911246668315	0.0145074713477441	0	0.0501529665479713	0.00766877046603118	0.114597419266118	0.0254179666897547	0.100441944556047	0.050139136102685	0.0121447656060238
Tadh_orphan_2	0	0	0	0.00423224889009273	0	0	0	0	0	0	0	0	0	0	0.0121447656060238
Tadh_TriadG49541	0	0	0.0181047905275736	0.0169289955603709	0	0	0	0.0124975785941474	0.0250764832739857	0.00383438523301559	0	0.00635449167243866	0	0	0
Tadh_TriadG51271	0.0099601593625498	0.00985658666403824	0	0.00846449778018546	0.0295936787902104	0.0274778116670788	0.0290149426954882	0.0187463678912211	0	0.019171926165078	0.0458389677064472	0.0127089833448773	0	0.0250695680513425	0.0242895312120476
Tadh_orphan_3	0.099601593625498	0.0591395199842295	0	0.0126967466702782	0.118374715160842	0.137389058335394	0.0725373567387204	0.0874830501590317	0.075229449821957	0.0498470080292027	0.0458389677064472	0.057190425051948	0.0669612963706977	0.10027827220537	0.0364342968180714
Tadh_orphan_4	0.0099601593625498	0	0	0	0.0295936787902104	0	0.0145074713477441	0.00624878929707369	0	0	0	0	0	0	0
Tadh_TriadG18708	0	0	0	0	0	0	0	0	0.0250764832739857	0	0	0.00635449167243866	0	0	0
Tadh_TriadG18392	0	0	0	0	0	0.0274778116670788	0	0	0	0	0	0	0	0	0.0121447656060238
Tadh_hyp_clust10146	4.75099601593625	5.93366517175102	7.22381142050186	1.91297649832191	17.6082388801752	6.97936416343802	7.02161613230814	5.83636920346683	6.36942675159236	67.0518945697436	6.85292567211386	6.837433039544	11.2494977902772	5.96655719621951	4.5421423366529
