13	15	7	8	20	16	17	14	1	2	3	5	6	18	19	11	12	10	4	9
HoiH23_PlH23_000001	7	6	9	8	5	6	8	4	5	4	7	3	9	17	10	17	7	7	27	24
HoiH23_orphan_1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_000005	1	0	0	0	35	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4
HoiH23_PlH23_000006	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	2	61
HoiH23_orphan_2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
HoiH23_PlH23_000008	1	0	4	0	0	0	0	2	1	0	0	0	0	0	0	2	0	0	0	2
HoiH23_PlH23_000011	4	1	12	0	2	5	2	0	4	3	2	1	2	6	2	9	0	3	10	4
HoiH23_PlH23_000013	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
HoiH23_PlH23_000015	2	0	2	0	0	0	0	1	0	0	0	0	0	1	0	3	0	1	0	0
HoiH23_PlH23_000016	0	0	3	0	1	0	0	2	0	0	0	0	0	2	1	3	0	1	6	2
HoiH23_PlH23_000018	37	20	3	1	1	1	1	3	1	2	2	0	1	1	0	5	5	3	4	2
HoiH23_PlH23_000020	6	1	11	1	5	7	3	3	7	2	6	0	5	12	2	6	1	0	7	8
HoiH23_PlH23_000023	8	1	2	3	2	2	1	4	5	2	4	4	3	7	3	6	3	2	5	7
HoiH23_PlH23_000025	1	2	2	4	1	5	0	3	2	1	1	1	1	1	3	5	0	3	0	8
HoiH23_PlH23_000029	1	2	4	2	9	4	1	3	5	2	5	4	10	8	6	19	7	2	3	18
HoiH23_PlH23_000030	2	0	2	1	3	1	0	1	0	0	1	3	2	3	1	1	0	3	2	0
HoiH23_PlH23_000033	3	2	1	3	0	2	2	3	1	1	3	0	3	5	4	5	2	0	5	4
HoiH23_PlH23_000035	1	1	2	1	2	0	0	1	0	0	0	0	2	4	1	3	0	3	4	5
HoiH23_PlH23_000037	3	0	8	0	0	6	6	3	2	3	2	4	9	7	2	7	2	9	8	12
HoiH23_PlH23_000039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
HoiH23_PlH23_000041	3	1	7	5	5	0	1	1	2	1	1	4	1	9	8	10	3	8	4	9
HoiH23_orphan_5	9	5	19	4	7	3	5	5	3	3	5	5	6	8	3	17	2	16	8	7
HoiH23_PlH23_000046	9	4	3	5	6	6	5	1	2	1	5	4	3	7	5	3	3	3	7	13
HoiH23_PlH23_000049	6	3	7	0	6	6	1	1	0	1	2	2	6	9	5	12	2	2	11	12
HoiH23_orphan_6	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
HoiH23_PlH23_000051	18	17	20	7	10	10	7	15	5	4	1	9	12	17	9	39	12	13	18	19
HoiH23_PlH23_000053	7	1	17	6	4	5	6	9	6	1	5	2	8	9	7	16	2	7	23	28
HoiH23_PlH23_000056	4	8	2	3	2	2	3	0	0	0	1	5	6	7	3	5	4	8	3	7
HoiH23_PlH23_000058	9	2	9	2	3	2	4	2	7	3	3	5	9	5	6	11	3	5	8	10
HoiH23_PlH23_000060	0	1	11	4	7	11	4	5	2	7	9	7	17	9	6	20	10	5	12	12
HoiH23_PlH23_000062	0	2	0	0	0	0	0	0	0	0	0	1	3	2	1	0	7	0	0	1
HoiH23_PlH23_000063	2	5	0	3	11	7	2	4	8	8	3	8	7	6	4	10	2	9	13	10
HoiH23_orphan_7	1	1	3	0	1	1	0	0	0	1	1	2	0	3	3	4	0	2	1	1
HoiH23_PlH23_000065	44	37	37	23	21	28	26	35	19	18	18	22	24	37	28	57	8	30	45	45
