peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_delta	peptidergic_epsilon	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_nu	peptidergic_omicron
Tadh_TriadG51255	0	0	1	3	0	1	0	0	0	3	1	1	3	0	1
Tadh_TriadG51256	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
Tadh_TriadG51257	2	1	1	2	0	0	1	0	0	2	0	0	0	0	1
Tadh_TriadG51262	0	4	2	3	1	0	1	0	0	0	0	0	1	1	2
Tadh_TriadG18273	0	0	0	2	0	2	0	2	0	2	1	3	6	1	1
Tadh_TriadG18815	3	1	0	12	4	4	1	0	2	2	5	4	3	2	1
Tadh_orphan_2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Tadh_TriadG49541	0	0	1	4	0	0	0	2	1	1	0	1	0	0	0
Tadh_TriadG51271	1	1	0	2	1	1	2	3	0	5	2	2	0	1	2
Tadh_orphan_3	10	6	0	3	4	5	5	14	3	13	2	9	2	4	3
Tadh_orphan_4	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0
Tadh_TriadG18708	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Tadh_TriadG18392	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Tadh_hyp_clust10146	477	602	399	452	595	254	484	934	254	17487	299	1076	336	238	374
Tadh_hyp_clust4566	260	643	224	230	83	73	162	556	146	1069	102	356	67	105	176
Tadh_TriadG52113	15	3	0	10	6	3	8	19	6	22	5	19	1	1	7
Tadh_wf_g864	32	16	4	7	1	7	8	11	0	17	6	12	0	3	11
Tadh_orphan_5	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Tadh_orphan_6	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0
Tadh_TriadG52118	2	3	0	1	2	13	52	3	0	5790	0	2	2	0	0
Tadh_TriadG18200	0	4	0	2	0	0	1	5	0	2	0	0	1	2	1
Tadh_orphan_7	5	2	1	20	0	5	2	2	2	23	0	17	1	5	10
Tadh_TriadG5531	16	11	6	21	4	10	9	29	4	39	7	18	4	10	17
Tadh_TriadG52122	1	0	1	1	1	0	0	1	0	0	0	2	0	1	0
Tadh_TriadG19436	0	0	0	0	4	0	0	1	0	0	0	1	1	1	0
Tadh_TriadG52127	6	8	7	4	2	3	7	5	1	22	0	10	0	2	7
Tadh_TriadG18249	2	0	1	0	0	0	0	1	0	2	0	0	0	0	0
Tadh_TriadG52131	11	8	7	12	3	3	7	10	5	26	13	14	10	6	5
Tadh_TriadG19174	1	0	0	0	0	0	0	1	0	5	1	1	0	1	0
Tadh_TriadG52134	1	0	6	0	1	0	0	1	0	1	0	0	0	0	2
Tadh_orphan_9	0	1	0	3	0	0	0	0	1	0	0	0	0	1	0
Tadh_TriadG20152	6	5	4	6	1	2	4	9	0	8	3	13	4	7	6
Tadh_TriadG36979	8	8	5	8	3	3	7	13	6	22	3	10	3	2	7
Tadh_TriadG52139	5	1	1	2	3	2	5	6	0	7	0	5	0	3	5
Tadh_TriadG49708	1	3	2	4	0	0	4	5	0	1	1	1	5	4	1
Tadh_TriadG52144	0	0	2	2	0	0	0	6	0	0	0	0	0	0	1
Tadh_TriadG63517	0	24	4	0	0	0	0	0	0	0	0	6	0	0	1
Tadh_orphan_11	0	0	0	0	0	0	1	3	0	1	2	0	0	0	0
Tadh_orphan_12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Tadh_TriadG52149	1	0	1	3	0	0	3	6	0	6	7	26	7	0	17
