peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_delta	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_omicron	peptidergic_other_1	peptidergic_other_2
Hhon_g00010.t1	0	0	0	0	0	0	0.013842890118599	0.0153400113516084	0.0148543852466246	0.0280339771803426	0.0291239515377446	0	0	0	0
Hhon_g00012.t1	0.0401343161781429	0.0234438005213901	0.0773232110220723	0.0984219677832092	0.208463623097769	0.0802825947334618	0.0553715604743958	0.0153400113516084	0.00835559170122632	0.140169885901713	0.126203789996893	0.108495171964848	0.0403836446239273	0.165150493387099	0.126310471138057
Hhon_orphan_3	0	0	0	0	0	0	0.00346072252964974	0.0051133371172028	0.00371359631165614	0	0	0	0	0.0275250822311832	0.0315776177845143
Hhon_g00017.t1	2.75588971089914	0.557962452409085	0.267116547167159	1.50913683934254	2.31047182266694	1.63776493256262	0.494883321739913	0.444860329196644	0.440989562009167	0.728883406688907	0.679558869214042	1.16933685339891	0.454316002019182	2.21576911961024	3.75773651635721
Hhon_g00018.t1	0.0401343161781429	0.103152722294117	0.0984113594826374	0.131229290377612	0.121603780140366	0.0642260757867694	0.0519108379447461	0.025566685586014	0.0194963806361948	0.0280339771803426	0.0388319353836595	0.397815630537774	0.0403836446239273	0.0825752466935495	0.157888088922572
Hhon_g00019.t1	0.0535124215708571	0.0562651212513363	0.0210881484605652	0	0.0173719685914808	0.0160565189466924	0.00692144505929948	0.0051133371172028	0.0222815778699369	0	0	0.0241100382144106	0.0100959111559818	0	0
Hhon_g00020.t1	0.0133781053927143	0.0234438005213901	0.0140587656403768	0	0.0173719685914808	0.0321130378933847	0.0276857802371979	0	0.00742719262331229	0.0560679543606852	0.0388319353836595	0.084385133750437	0.0403836446239273	0.0137625411155916	0.0631552355690287
Hhon_g00021.t1	0.0267562107854286	0.00937752020855605	0.119499507943203	0	0	0.0321130378933847	0.0519108379447461	0.0715867196408392	0.0761287243889509	0	0.0194159676918298	0.0361650573216159	0.0302877334679455	0	0
Hhon_g00022.t1	0.0133781053927143	0.00937752020855605	0.00702938282018839	0	0.0173719685914808	0.0321130378933847	0.0103821675889492	0.0153400113516084	0.00464199538957018	0	0.0291239515377446	0	0.0100959111559818	0.0275250822311832	0.0631552355690287
Hhon_orphan_5	0	0.0140662803128341	0	0	0	0	0	0	0	0	0	0.0120550191072053	0	0	0
