lipophil	trans_lipophil_1_fibre	trans_lipophil_1_gland	trans_lipophil_1_epithelia	unknown_1	unknown_2.1	unknown_2.2	unknown_2.3	unknown_2.4	fibre	trans_fibre_gland	trans_fibre_epithelia	gland_1	epithelia_gland_like	epithelia_unknown_1	epithelia_ventral	trans_epithelia_ventral_peptidergic	trans_epithelia_dorsal_ventral	epithelia_dorsal_like	epithelia_dorsal	peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_gamma_like	peptidergic_delta	peptidergic_epsilon	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_iota_like	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_mu_like	peptidergic_nu	peptidergic_omicron
TrH2_TrispH2_000469	28	0	3	0	0	2	2	0	8	31	0	0	34	14	2	37	1	6	13	19	3	1	1	1	1	0	0	0	2	1	4	1	1	1	0	0	0	1
TrH2_TrispH2_000470	78	0	5	1	4	6	7	4	21	57	0	0	61	27	2	63	4	8	15	34	2	7	6	1	0	4	2	3	8	0	6	5	4	2	0	3	0	0
TrH2_TrispH2_000472	42	0	2	0	10	1	3	1	4	33	0	2	20	9	0	33	0	1	11	21	0	3	3	3	1	1	3	0	2	0	1	0	3	0	2	1	0	1
TrH2_TrispH2_000474	47	0	1	0	5	2	4	2	13	55	2	3	36	16	1	43	3	3	10	23	2	2	1	1	1	2	0	1	0	1	6	3	5	0	2	2	3	2
TrH2_TrispH2_000477	649	25	27	8	83	26	62	21	94	592	5	14	442	161	5	379	12	65	208	214	27	40	50	17	15	17	15	20	42	19	33	18	21	12	18	27	16	10
TrH2_TrispH2_000480	103	4	4	1	17	5	14	4	14	112	2	5	64	29	3	92	7	14	39	39	4	8	5	1	0	7	6	0	6	4	12	4	8	2	2	0	3	5
TrH2_TrispH2_000483	22	1	0	0	6	0	7	0	3	27	0	0	26	10	0	26	2	3	12	8	1	3	0	4	0	3	0	0	2	0	3	2	5	0	2	1	0	2
TrH2_TrispH2_000484	65	3	2	0	8	1	6	4	10	57	1	1	54	10	2	60	0	6	21	24	2	5	3	4	1	1	2	2	4	1	5	0	3	2	1	1	2	1
TrH2_TrispH2_000487	160	4	8	2	18	10	15	3	22	105	1	3	108	32	2	83	3	20	59	62	4	14	8	5	2	3	3	2	12	6	18	9	5	1	4	2	3	0
TrH2_TrispH2_000488	76	3	3	1	9	3	12	2	14	48	0	3	60	17	0	58	1	11	23	23	3	9	4	5	1	2	6	1	5	3	5	3	5	2	4	6	1	1
