metacell	cell_type	color	broad_cell_type	metacell_it2
1	lipophil_1	khaki2	lipophil	127
2	lipophil_1	khaki2	lipophil	128
3	lipophil_1	khaki2	lipophil	129
4	lipophil_1	khaki2	lipophil	130
5	lipophil_1	khaki2	lipophil	131
6	lipophil_1	khaki2	lipophil	132
7	lipophil_1	khaki2	lipophil	133
8	lipophil_1	khaki2	lipophil	134
9	lipophil_1	khaki2	lipophil	135
10	lipophil_1	khaki2	lipophil	136
11	lipophil_1	khaki2	lipophil	137
12	lipophil_1	khaki2	lipophil	138
13	lipophil_1	khaki2	lipophil	139
14	lipophil_1	khaki2	lipophil	140
15	lipophil_1	khaki2	lipophil	141
16	lipophil_1	khaki2	lipophil	142
17	lipophil_1	khaki2	lipophil	143
18	trans_lipophil_1_fibre	gray90	trans	176
19	trans_lipophil_1_gland	gray75	trans	122
20	trans_lipophil_1_gland	gray75	trans	123
21	trans_lipophil_1_gland	gray75	trans	124
22	trans_lipophil_1_epithelia	gray80	trans	125
23	trans_lipophil_1_lipophil_2	gray35	trans	126
24	lipophil_2	khaki3	lipophil	164
25	lipophil_2	khaki3	lipophil	165
26	lipophil_2	khaki3	lipophil	166
27	lipophil_2	khaki3	lipophil	167
28	lipophil_2	khaki3	lipophil	168
29	trans_lipophil_2_epithelia	gray40	trans	169
30	trans_lipophil_2_epithelia	gray40	trans	171
31	trans_lipophil_2_epithelia	gray40	trans	172
32	trans_lipophil_2_epithelia	gray40	trans	173
33	trans_lipophil_2_epithelia	gray40	trans	174
34	trans_lipophil_2_epithelia	gray40	trans	175
35	trans_lipophil_2_gland	gray70	trans	170
36	unknown_1	darkolivegreen2	unknown_1	216
37	unknown_1	darkolivegreen2	unknown_1	217
38	unknown_1	darkolivegreen2	unknown_1	218
39	fibre_1	chartreuse3	fibre	177
40	fibre_1	chartreuse3	fibre	178
41	fibre_1	chartreuse3	fibre	179
42	fibre_1	chartreuse3	fibre	180
43	fibre_1	chartreuse3	fibre	181
44	fibre_1	chartreuse3	fibre	182
45	fibre_1	chartreuse3	fibre	183
46	fibre_1	chartreuse3	fibre	185
47	fibre_2	chartreuse4	fibre	214
48	fibre_2	chartreuse4	fibre	215
49	trans_fibre_gland	gray55	trans	184
50	gland_1	darkorange3	gland	1
51	gland_1	darkorange3	gland	2
52	gland_1	darkorange3	gland	3
53	gland_1	darkorange3	gland	4
54	gland_1	darkorange3	gland	5
55	gland_1	darkorange3	gland	6
56	gland_1	darkorange3	gland	7
57	gland_1	darkorange3	gland	8
58	gland_1	darkorange3	gland	9
59	gland_1	darkorange3	gland	10
60	gland_1	darkorange3	gland	11
61	gland_1	darkorange3	gland	12
62	gland_1	darkorange3	gland	13
63	gland_1	darkorange3	gland	14
64	gland_1	darkorange3	gland	15
65	gland_1	darkorange3	gland	16
66	gland_1	darkorange3	gland	17
67	gland_1	darkorange3	gland	18
68	gland_1	darkorange3	gland	19
69	gland_1	darkorange3	gland	20
70	gland_1	darkorange3	gland	21
71	gland_1	darkorange3	gland	22
72	gland_1	darkorange3	gland	23
73	gland_1	darkorange3	gland	24
74	gland_1	darkorange3	gland	25
75	gland_1	darkorange3	gland	26
76	gland_1	darkorange3	gland	27
77	gland_1	darkorange3	gland	28
78	gland_1	darkorange3	gland	29
79	gland_1	darkorange3	gland	30
80	gland_1	darkorange3	gland	31
81	gland_1	darkorange3	gland	32
82	gland_1	darkorange3	gland	33
83	gland_1	darkorange3	gland	34
84	gland_1	darkorange3	gland	35
85	gland_1	darkorange3	gland	36
86	gland_1	darkorange3	gland	37
87	gland_1	darkorange3	gland	38
88	gland_1	darkorange3	gland	39
89	gland_1	darkorange3	gland	40
90	gland_1	darkorange3	gland	41
91	gland_1	darkorange3	gland	42
92	gland_1	darkorange3	gland	43
93	gland_1	darkorange3	gland	44
94	gland_1	darkorange3	gland	45
95	gland_1	darkorange3	gland	46
96	gland_1	darkorange3	gland	47
97	gland_1	darkorange3	gland	48
98	gland_1	darkorange3	gland	49
99	gland_1	darkorange3	gland	50
100	gland_1	darkorange3	gland	51
101	gland_1	darkorange3	gland	52
102	gland_1	darkorange3	gland	53
103	gland_1	darkorange3	gland	54
104	gland_1	darkorange3	gland	55
105	trans_gland_epithelia_ventral	gray65	trans	110
106	trans_gland_epithelia_ventral	gray65	trans	111
107	trans_gland_epithelia_ventral	gray65	trans	112
108	trans_gland_epithelia_dorsal	gray50	trans	84
109	epithelia_gland_like	orange	epithelia_gland_like	144
110	epithelia_gland_like	orange	epithelia_gland_like	145
111	epithelia_gland_like	orange	epithelia_gland_like	146
112	epithelia_gland_like	orange	epithelia_gland_like	147
113	epithelia_gland_like	orange	epithelia_gland_like	148
114	epithelia_gland_like	orange	epithelia_gland_like	149
115	epithelia_gland_like	orange	epithelia_gland_like	150
116	epithelia_gland_like	orange	epithelia_gland_like	151
117	epithelia_gland_like	orange	epithelia_gland_like	152
118	epithelia_gland_like	orange	epithelia_gland_like	153
119	epithelia_gland_like	orange	epithelia_gland_like	154
120	epithelia_gland_like	orange	epithelia_gland_like	155
121	epithelia_gland_like	orange	epithelia_gland_like	156
