lipophil	trans	unknown_1	unknown_2	fibre	gland	epithelia_gland_like	epithelia	peptidergic
TrH2_TrispH2_000469	28	10	0	12	31	34	14	71	18
TrH2_TrispH2_000470	78	18	4	38	57	61	27	114	53
TrH2_TrispH2_000472	42	5	10	9	33	20	9	65	24
TrH2_TrispH2_000474	47	12	5	21	55	36	16	77	34
TrH2_TrispH2_000477	649	156	83	203	592	442	161	806	417
TrH2_TrispH2_000480	103	37	17	37	112	64	29	173	77
TrH2_TrispH2_000483	22	6	6	10	27	26	10	46	28
TrH2_TrispH2_000484	65	13	8	21	57	54	10	107	40
TrH2_TrispH2_000487	160	41	18	50	105	108	32	206	101
TrH2_TrispH2_000488	76	22	9	31	48	60	17	104	66
TrH2_TrispH2_000490	1	0	0	0	0	0	1	1	0
TrH2_orphan_1	11	0	1	2	6	1	0	4	4
TrH2_TrispH2_000498	7	2	3	5	15	10	2	13	8
TrH2_TrispH2_000499	13	6	1	3	16	11	1	22	15
TrH2_TrispH2_000501	3424	907	593	1312	2830	2580	924	5155	2607
TrH2_TrispH2_000503	83	22	7	23	76	63	25	132	67
TrH2_TrispH2_000508	168	42	29	45	141	121	36	201	125
TrH2_TrispH2_000509	93	22	13	39	82	86	24	165	84
TrH2_TrispH2_000510	11	10	1	4	38	8	3	37	15
TrH2_TrispH2_000513	3059	1054	495	1162	2894	2305	851	4930	2179
TrH2_TrispH2_000514	32	7	5	13	33	26	6	31	34
TrH2_orphan_2	6	0	0	6	4	2	0	21	9
TrH2_TrispH2_000519	376	97	52	157	356	279	85	581	296
TrH2_TrispH2_000521	32	13	5	16	21	29	8	47	27
TrH2_TrispH2_000522	99	33	20	58	144	58	17	175	64
TrH2_TrispH2_000524	19	3	4	12	14	9	7	23	7
TrH2_TrispH2_000525	102	24	13	37	95	62	22	151	68
TrH2_TrispH2_000527	250	76	42	111	237	212	69	362	198
TrH2_TrispH2_000530	401	120	53	178	412	281	121	617	265
TrH2_TrispH2_000532	50	21	5	14	84	36	12	83	31
TrH2_TrispH2_000533	183	74	21	50	200	118	40	281	128
TrH2_TrispH2_000535	35	7	7	13	31	38	14	60	32
TrH2_TrispH2_000536	126	26	15	41	134	94	27	166	85
TrH2_TrispH2_000538	370	124	56	133	367	260	97	570	267
TrH2_orphan_3	139	38	24	31	129	91	31	211	101
TrH2_TrispH2_000540	24	6	1	9	27	19	4	57	20
TrH2_TrispH2_000541	80	37	16	26	122	65	19	140	50
TrH2_TrispH2_000543	101	26	14	35	76	74	23	136	62
TrH2_orphan_4	62	13	5	10	56	35	4	61	31
TrH2_TrispH2_000544	134	70	17	60	225	106	36	268	85
TrH2_orphan_5	1	1	0	0	1	0	0	6	0
TrH2_orphan_6	7	0	1	2	7	4	2	15	6
TrH2_TrispH2_000547	32	8	7	18	39	34	10	60	28
TrH2_TrispH2_000551	452	122	54	136	359	281	100	587	276
TrH2_TrispH2_000552	189	49	40	96	125	122	35	255	128
TrH2_TrispH2_000554	202	42	36	76	176	161	55	313	153
TrH2_TrispH2_000557	49	13	10	21	25	28	10	67	33
TrH2_TrispH2_000559	1371	241	131	390	1395	888	245	1694	710
TrH2_TrispH2_000560	590	166	95	214	552	417	134	883	445
TrH2_TrispH2_000562	51	17	4	15	56	34	14	93	39
TrH2_TrispH2_000564	225	58	28	75	180	151	56	326	147
TrH2_orphan_7	2	0	0	0	1	3	0	2	1
TrH2_TrispH2_000566	71	17	7	31	60	63	21	120	46
TrH2_orphan_8	3	1	0	0	5	2	0	2	1
TrH2_TrispH2_000568	21	5	3	7	20	22	7	35	18
TrH2_TrispH2_000574	83	42	9	40	94	87	28	161	60
TrH2_TrispH2_000575	52	9	7	21	34	41	16	71	40
TrH2_TrispH2_000577	720	160	143	340	619	578	172	1129	523
TrH2_TrispH2_000579	80	14	14	38	71	46	28	113	73
TrH2_TrispH2_000581	27	9	7	17	40	18	5	38	25
