lipophil	trans	unknown_1	fibre	gland	epithelia_gland_like	epithelia	peptidergic
HoiH23_PlH23_000001	522	292	110	234	1005	383	1701	614
HoiH23_orphan_1	1	0	1	1	3	0	7	2
HoiH23_PlH23_000005	4	13	2	4	17	9	38	17
HoiH23_PlH23_000006	3	4	1	3	16	5	31	10
HoiH23_orphan_2	15	7	2	7	36	9	35	18
HoiH23_PlH23_000008	81	33	4	32	139	43	251	93
HoiH23_PlH23_000011	99	61	14	52	226	63	294	87
HoiH23_orphan_3	11	5	1	3	17	3	33	12
HoiH23_PlH23_000013	21	11	4	12	46	14	96	25
HoiH23_PlH23_000015	51	32	5	16	93	21	123	58
HoiH23_PlH23_000016	65	27	15	22	132	56	262	73
HoiH23_PlH23_000018	111	54	18	53	241	78	351	141
HoiH23_orphan_4	1	1	0	1	3	0	1	1
HoiH23_PlH23_000020	199	130	29	87	389	120	609	215
HoiH23_PlH23_000023	246	146	36	96	500	186	815	284
HoiH23_PlH23_000025	74	38	13	23	143	40	258	101
HoiH23_PlH23_000029	202	126	32	95	393	145	679	213
HoiH23_PlH23_000030	81	35	18	26	133	46	225	92
HoiH23_PlH23_000033	156	102	35	64	371	140	639	240
HoiH23_PlH23_000035	2088	1423	259	1133	3819	785	5088	1365
HoiH23_PlH23_000037	350	198	66	135	628	239	1184	404
HoiH23_PlH23_000039	1	2	0	1	4	0	7	5
HoiH23_PlH23_000041	255	155	39	121	514	157	818	283
HoiH23_orphan_5	628	369	116	290	1170	469	2151	723
HoiH23_PlH23_000046	154	90	43	70	310	120	565	194
HoiH23_PlH23_000049	167	97	29	66	306	93	521	190
HoiH23_orphan_6	4	2	1	1	13	4	17	3
HoiH23_PlH23_000051	513	297	102	182	1003	393	1756	617
HoiH23_PlH23_000053	887	487	158	302	1726	608	2872	931
HoiH23_PlH23_000056	198	104	26	67	408	127	574	194
HoiH23_PlH23_000058	284	130	40	125	568	198	894	327
HoiH23_PlH23_000060	213	116	34	94	491	165	686	257
HoiH23_PlH23_000062	153	120	16	78	283	84	422	136
HoiH23_PlH23_000063	374	216	49	154	694	232	1183	393
HoiH23_orphan_7	69	25	6	32	126	35	154	45
HoiH23_PlH23_000065	1207	639	182	452	2315	835	3789	1295
HoiH23_PlH23_000066	439	281	73	198	876	344	1416	528
HoiH23_PlH23_000067	132	108	17	81	314	101	505	188
HoiH23_orphan_8	2	6	1	0	10	2	12	3
HoiH23_PlH23_000070	47	18	10	19	78	38	184	61
HoiH23_PlH23_000072	142	76	25	51	255	93	463	163
HoiH23_PlH23_000074	1278	656	192	468	2334	889	4074	1314
HoiH23_PlH23_000076	957	529	163	373	1783	674	3124	1050
HoiH23_orphan_9	16	14	3	4	40	12	54	19
HoiH23_PlH23_000079	235	137	37	113	515	167	785	278
HoiH23_PlH23_000081	188	118	39	66	403	146	700	230
HoiH23_PlH23_000083	135	97	16	54	271	110	451	168
HoiH23_PlH23_000085	175	105	27	86	345	109	591	184
HoiH23_PlH23_000086	531	333	71	281	1050	379	1644	606
HoiH23_PlH23_000088	137	94	21	58	240	83	441	173
HoiH23_PlH23_000090	380	220	68	154	754	287	1237	413
HoiH23_PlH23_000093	298	188	58	134	579	231	1043	322
HoiH23_PlH23_000094	503	263	60	177	933	340	1587	514
HoiH23_PlH23_000096	345	185	49	146	687	242	1034	361
HoiH23_PlH23_000098	241	134	45	95	529	173	854	278
HoiH23_orphan_10	17	5	0	6	25	4	26	7
HoiH23_PlH23_000100	112	64	15	48	181	93	369	115
HoiH23_orphan_11	2	4	0	2	15	6	16	8
HoiH23_PlH23_000102	731	393	117	257	1411	510	2203	734
HoiH23_PlH23_000104	38	25	6	12	86	26	109	42
HoiH23_PlH23_000105	261	144	32	113	551	178	809	258
HoiH23_PlH23_000107	591	343	89	227	1070	382	1956	684
HoiH23_PlH23_000109	2176	1168	329	958	4160	1493	6769	2272
HoiH23_PlH23_000111	258	148	42	117	510	184	805	268
HoiH23_PlH23_000112	297	171	36	110	620	237	1114	368
HoiH23_PlH23_000114	133	71	17	48	226	66	353	133
HoiH23_orphan_12	2	3	1	0	4	0	3	0
HoiH23_orphan_13	22	11	3	6	32	15	48	20
HoiH23_PlH23_000120	1147	590	163	446	2216	846	3881	1274
HoiH23_PlH23_000121	1815	927	360	615	3305	1388	6460	2114
HoiH23_PlH23_000123	952	480	147	356	1768	651	3013	1000
HoiH23_orphan_14	3	3	0	1	21	0	17	1
HoiH23_PlH23_000127	252	132	34	94	473	180	831	261
HoiH23_PlH23_000128	23	8	3	9	41	18	58	23
HoiH23_PlH23_000130	71	48	6	36	142	49	209	53
