orthogroup	genes_input	genes_output	species_input	species_output	occupancy_output	kept_orthogroup
OG_1	99	73	74	73	0.901234567901235	OG0
OG_10	113	73	75	73	0.901234567901235	OG0
OG_100	82	67	71	67	0.827160493827161	OG0
OG_1000	98	40	75	40	0.493827160493827	OG0
OG_1003	82	72	73	72	0.888888888888889	OG0
OG_1004	91	57	72	57	0.703703703703704	OG1
OG_1005	128	58	75	58	0.716049382716049	OG0
OG_1007	98	75	75	75	0.925925925925926	OG0
OG_1009	82	66	69	66	0.814814814814815	OG0
OG_101	95	45	76	45	0.555555555555556	OG2
OG_1010	88	70	72	70	0.864197530864197	OG0
OG_1011	71	61	61	61	0.753086419753086	OG1
OG_1012	79	71	74	71	0.876543209876543	OG0
OG_1015	87	69	73	69	0.851851851851852	OG0
OG_1016	73	53	67	53	0.654320987654321	OG1
OG_1017	154	78	79	78	0.962962962962963	OG0
OG_1018	82	71	72	71	0.876543209876543	OG0
OG_1019	94	70	72	70	0.864197530864197	OG0
OG_1020	90	42	77	42	0.518518518518518	OG1
OG_1021	134	51	79	51	0.62962962962963	OG1
OG_1022	100	76	78	76	0.938271604938272	OG0
OG_1024	102	71	77	71	0.876543209876543	OG0
OG_1025	134	60	79	60	0.740740740740741	OG2
OG_1027	86	74	75	74	0.91358024691358	OG0
OG_1028	130	48	74	48	0.592592592592593	OG1
OG_1029	87	58	74	58	0.716049382716049	OG0
OG_1031	109	66	76	66	0.814814814814815	OG2
OG_1033	100	73	78	73	0.901234567901235	OG0
OG_1034	122	76	79	76	0.938271604938272	OG1
OG_1035	86	72	74	72	0.888888888888889	OG0
OG_1036	101	51	70	51	0.62962962962963	OG1
OG_1038	109	75	77	75	0.925925925925926	OG1
OG_104	95	72	72	72	0.888888888888889	OG0
OG_1040	90	75	76	75	0.925925925925926	OG0
OG_1041	102	60	75	60	0.740740740740741	OG0
OG_1043	142	77	77	77	0.950617283950617	OG0
OG_1045	84	65	65	65	0.802469135802469	OG0
OG_1047	103	72	76	72	0.888888888888889	OG0
OG_1048	143	74	77	74	0.91358024691358	OG0
OG_1049	89	69	70	69	0.851851851851852	OG0
OG_1050	99	78	78	78	0.962962962962963	OG0
OG_1052	108	39	76	39	0.481481481481481	OG2
OG_1053	133	53	81	53	0.654320987654321	OG0
OG_1059	82	65	67	65	0.802469135802469	OG0
OG_106	127	78	79	78	0.962962962962963	OG0
