metacell	num_cells	tot_umis	cell_size_mean	cell_size_Q1	cell_size_Q2	cell_size_Q3	log2_fc_mean	log2_fc_Q1	log2_fc_Q2	log2_fc_Q3	log2_fc_Qp95
1	53	108126	2040.11320754717	1434	1998	2486	0.381894641342135	0.0552029632887063	0.10164699793453	0.223681137226156	0.693082531838969
2	70	105171	1502.44285714286	1098.75	1432.5	1726.5	0.321823637889589	0.0788113645010165	0.134016385681294	0.263859047962261	0.669245796121464
3	41	41659	1016.07317073171	793	998	1189	0.390921826335872	0.122803651442817	0.223793661716304	0.412382399925546	0.859708457113486
4	106	112968	1065.7358490566	815.5	990.5	1247.75	0.339046390123358	0.0670667269535707	0.117240728379771	0.22486814905926	0.588736235646006
5	86	259451	3016.87209302326	2370.75	2874.5	3280.25	0.262498345501446	0.0381887412285611	0.0841573384822328	0.195648327864166	0.674569627618977
6	98	325818	3324.67346938776	2487.75	3178	3857	0.232203022457485	0.0306639656542468	0.0885353439045042	0.20691816328619	0.661903735038088
7	49	155613	3175.77551020408	2346	3305	3959	0.280231613366666	0.063309032380191	0.124802151146035	0.260394283507757	0.684971583008252
8	90	314629	3495.87777777778	2773.25	3309.5	4059.25	0.298189420152264	0.0315584765166638	0.0762715502476373	0.186153787385167	0.64423616188909
9	74	303177	4096.98648648649	3451.25	4049.5	4691.5	0.328870911481345	0.032764119300938	0.0748572873094538	0.182101869607776	0.629962276952771
10	50	175790	3515.8	2269.25	3217.5	4520.75	0.233270634814595	0.0561742280978994	0.113955981380955	0.240647808206307	0.668635553138416
11	51	231578	4540.74509803922	3156.5	4611	5598.5	0.275066695106479	0.042834541782361	0.102737703054779	0.231032050657799	0.650692348612343
12	68	411650	6053.67647058824	4540	6160.5	7292	0.297135105986511	0.0252288400035735	0.0721676933876806	0.191796400028738	0.684418353333353
13	147	574644	3909.14285714286	2922.5	3653	4564	0.227415332422979	0.0274226817976639	0.0686112373414271	0.162603869921257	0.588407836047536
14	70	407521	5821.72857142857	4699.25	5718.5	6800.25	0.297297296333273	0.0248616786232715	0.0728495353525221	0.170037987190027	0.590437305133269
15	87	418559	4811.02298850575	3950	4729	5821	0.326761759548429	0.0237896961385103	0.0706390936084957	0.160313931616492	0.550590445681161
16	89	360632	4052.04494382022	3076	4204	4902	0.28103383199979	0.0280178820957284	0.0813465721467689	0.18431765227117	0.592518915798558
17	86	416987	4848.68604651163	4081.75	4881	5561.75	0.287020388834879	0.0289566545431824	0.0764879890584113	0.191433497469639	0.658614508469781
18	77	365837	4751.12987012987	3482	4774	6025	0.317825957787026	0.0271999525613255	0.0808147138272385	0.228210427862315	0.774298040463619
19	82	269883	3291.25609756098	2154	2876.5	3941.75	0.245340088650254	0.0367383715737021	0.0767156656006225	0.187348485591636	0.659801762523587
20	122	481990	3950.73770491803	2877	3466.5	4833.5	0.293888603048889	0.0206577621425611	0.0574101374634462	0.154783598771859	0.613783070254898
21	31	180070	5808.70967741936	3961.5	5341	7136.5	0.304553780680567	0.0550939797841982	0.102094765054925	0.215452861677896	0.633386908360212
22	80	330008	4125.1	3340.25	3879.5	4859	0.35368237738288	0.0301173893216165	0.0639657400862048	0.153524917637681	0.534044770860123
23	120	492095	4100.79166666667	3393.25	3962	4834.5	0.320303869049914	0.0244166361744875	0.0628075305099128	0.157406743429493	0.645105885470782
24	20	73124	3656.2	2601.5	3863.5	4789.25	0.332262222948327	0.0741340818280347	0.138968885569127	0.298268011653733	0.757579192712537
25	56	192891	3444.48214285714	2680.25	3174	3821.75	0.386816387457654	0.0461687042041637	0.0756954266121616	0.154561243861949	0.489095437708801
26	75	264241	3523.21333333333	2793.5	3607	4219	0.37172178089464	0.0375273190765924	0.0744384682071034	0.168805729050402	0.583980795976123
27	60	58110	968.5	764	935	1089	0.544683305532562	0.112749587501778	0.192406975732426	0.365978195788212	0.820975062588934
28	104	67006	644.288461538462	467.25	628.5	797.25	0.517386400875308	0.113476094404671	0.205691876656327	0.393372191396841	0.860515762263683
29	33	24803	751.606060606061	475	663	976	0.66962303652964	0.179205859075434	0.294754400386844	0.468485213654063	0.873784424504181
30	77	29581	384.168831168831	254	364	467	0.587248571834539	0.176058899916428	0.304954409860329	0.48609800313056	0.958618999542245
31	49	27425	559.69387755102	411	537	664	0.635354063949236	0.192881079001404	0.327157217478351	0.556959023137976	1.08662855086281
32	25	32885	1315.4	1209	1344	1462	0.583992003769162	0.158828439479572	0.279445557113186	0.483062600356482	0.993893465856227
33	84	86710	1032.2619047619	794.75	971.5	1232.75	0.491942545185909	0.099780057514304	0.179186787824525	0.336931056026306	0.796855180879222
34	74	115763	1564.36486486486	1191.75	1490.5	1757	0.463325183214642	0.0787679897976068	0.131739497418291	0.2549690711234	0.65984532012557
35	50	65041	1300.82	985.25	1241	1579.5	0.472894781601103	0.110099671891803	0.200653128466727	0.370989499214854	0.794750571393408
36	16	13740	858.75	721.25	862	1019.5	0.784106738256691	0.338828268073408	0.502505910496029	0.732347044894668	1.33592660643688
37	54	34358	636.259259259259	394.5	619	822	0.539290432598613	0.171147863164454	0.267706646736895	0.502029523177001	1.00800044332731
38	41	48724	1188.39024390244	981	1115	1383	0.512293662648421	0.0951747761141924	0.1904205120085	0.301447045978297	0.638177907150477
39	76	121523	1598.98684210526	1279	1566	1914.75	0.474967845005673	0.0552333669965327	0.0901615757984585	0.197619092942302	0.610502629752443
40	42	22682	540.047619047619	293.25	495	696	0.541436701494522	0.170336068254727	0.290808613956488	0.430402618506037	0.80309919960322
41	37	97424	2633.08108108108	2076	2587	2947	0.380958604599994	0.0672011168108186	0.124973900355871	0.266936198079606	0.763336380094994
42	63	95394	1514.19047619048	901.5	1369	1920	0.456409247938516	0.0943307486691135	0.164458015955645	0.341222611426645	0.962447246215683
43	53	47306	892.566037735849	538	820	1206	0.561769618118881	0.123033749304571	0.213844255599892	0.450538028682653	1.23552445452672
44	111	241844	2178.77477477477	1516.5	1961	2644.5	0.408301775607038	0.0408932653789648	0.0818987126277609	0.225228584333562	0.889468268264025
45	76	106929	1406.96052631579	1073.5	1383.5	1724.25	0.343215166410763	0.0652632605553672	0.109110997496788	0.224067838536577	0.604407209057155
46	93	213674	2297.56989247312	1713	2342	2841	0.258945777557467	0.0462265412504019	0.0913476710006939	0.189964887179583	0.584662154674708
47	81	152377	1881.1975308642	1410	1830	2187	0.297502363562047	0.0640711358064864	0.103718129187986	0.213711379545101	0.637366207186156
48	50	103995	2079.9	1646.25	1926.5	2381.75	0.349583356272474	0.0827672110052591	0.141568137352052	0.265882440254444	0.630918712048686
49	124	306838	2474.5	1770.25	2159.5	3027.75	0.365043235602088	0.0373611320012084	0.0953728093621023	0.190392253343353	0.517001181273029
50	58	118725	2046.98275862069	1627	1904.5	2349	0.404099257683712	0.0690112836419875	0.117014353388215	0.238560029910293	0.602476282146452
51	58	147845	2549.05172413793	1994.25	2474	3004	0.40839563133827	0.0553605233684207	0.0923969637016004	0.190706385149821	0.608386549832675
52	86	289158	3362.3023255814	2699.25	3298	3889.5	0.30707644857512	0.0343116407217799	0.0706392774589926	0.166279866156026	0.615164960472029
53	63	128251	2035.73015873016	1811.5	2040	2338.5	0.370234837657197	0.0520028340300246	0.0891338309768641	0.194039280645701	0.629038486676594
54	75	207165	2762.2	2210	2610	3125	0.388182993935092	0.047368194129597	0.0750822507498467	0.158795561772742	0.590015283884573
55	30	68912	2297.06666666667	2033.25	2355	2644	0.446932014053171	0.0728668184779531	0.139803957679175	0.262340677433626	0.655890461609179
56	42	36900	878.571428571429	600	826	1007.5	0.635054134806602	0.141852272879385	0.250238074795941	0.506149878244773	1.320979438036
57	106	81639	770.179245283019	466.25	718.5	974.25	0.58244522513368	0.0838510737248349	0.14468164335398	0.31159483767294	0.924434188978522
58	100	47513	475.13	330.5	427	635.5	0.62120153497472	0.118230675412613	0.208154678382743	0.414478292678358	1.09466181145857
59	74	59048	797.945945945946	594.5	817.5	1010.25	0.506456699546513	0.109477845893837	0.207065080206192	0.408692833180707	1.06343771655056
60	52	58970	1134.03846153846	867.75	1103	1361	0.468826585648141	0.110384748793164	0.199696158678254	0.38159477730373	0.971093887678865
61	50	77651	1553.02	1077.25	1376.5	1852.75	0.457078365134892	0.0897583321972689	0.167878508009689	0.338573946691491	0.935141042526215
