Hhon	H13_2_ACME_10x	H13_2_ACME_10x_S1_L001_R1_001.fastq.gz	data_cdna/H13_2_ACME_10x
Hhon	H13_2_ACME_10x	H13_2_ACME_10x_S1_L001_R2_001.fastq.gz	data_cdna/H13_2_ACME_10x
Hhon	H13_4_ACME_10x	H13_4_ACME_10x_S1_L001_R1_001.fastq.gz	data_cdna/H13_4_ACME_10x
Hhon	H13_4_ACME_10x	H13_4_ACME_10x_S1_L001_R2_001.fastq.gz	data_cdna/H13_4_ACME_10x
Hhon	H13_5_ACMEMeOH_10x	H13_5_ACMEMeOH_10x_S1_L001_R1_001.fastq.gz	data_cdna/H13_5_ACMEMeOH_10x
Hhon	H13_5_ACMEMeOH_10x	H13_5_ACMEMeOH_10x_S1_L001_R2_001.fastq.gz	data_cdna/H13_5_ACMEMeOH_10x
Hhon	H1H13_1_ACME_CT_10x	H1H13_1_ACME_CT_10x_S1_L001_R1_001.fastq.gz	data_cdna/H1H13_1_ACME_CT_10x
Hhon	H1H13_1_ACME_CT_10x	H1H13_1_ACME_CT_10x_S1_L001_R2_001.fastq.gz	data_cdna/H1H13_1_ACME_CT_10x
Hhon	Plac01_H1_H13_10XscRNAseq	Plac01_H1_H13_10XscRNAseq_S1_R1_001.fastq.gz	data_cdna/Plac01_H1_H13_10XscRNAseq
Hhon	Plac01_H1_H13_10XscRNAseq	Plac01_H1_H13_10XscRNAseq_S1_R2_001.fastq.gz	data_cdna/Plac01_H1_H13_10XscRNAseq
HoiH23	H23_1_ACME_10x	H23_1_ACME_10x_S1_L001_R1_001.fastq.gz	data_cdna/H23_1_ACME_10x
HoiH23	H23_1_ACME_10x	H23_1_ACME_10x_S1_L001_R2_001.fastq.gz	data_cdna/H23_1_ACME_10x
HoiH23	H23_2_ACME_10x	H23_2_ACME_10x_S1_L001_R1_001.fastq.gz	data_cdna/H23_2_ACME_10x
HoiH23	H23_2_ACME_10x	H23_2_ACME_10x_S1_L001_R2_001.fastq.gz	data_cdna/H23_2_ACME_10x
HoiH23	H23_3_ACME_10x	H23_3_ACME_10x_S1_L001_R1_001.fastq.gz	data_cdna/H23_3_ACME_10x
HoiH23	H23_3_ACME_10x	H23_3_ACME_10x_S1_L001_R2_001.fastq.gz	data_cdna/H23_3_ACME_10x
HoiH23	H2H23_4_ACME_10x	H2H23_4_ACME_10x_S1_L001_R1_001.fastq.gz	data_cdna/H2H23_4_ACME_10x
HoiH23	H2H23_4_ACME_10x	H2H23_4_ACME_10x_S1_L001_R2_001.fastq.gz	data_cdna/H2H23_4_ACME_10x
HoiH23	H1H23_5_ACME_10x	H1H23_5_ACME_10x_S1_R1_001.fastq.gz	data_cdna/H1H23_5_ACME_10x
HoiH23	H1H23_5_ACME_10x	H1H23_5_ACME_10x_S1_R2_001.fastq.gz	data_cdna/H1H23_5_ACME_10x
HoiH23	Plac02_H2_H23_10XscRNAseq	Plac02_H2_H23_10XscRNAseq_S2_R1_001.fastq.gz	data_cdna/Plac02_H2_H23_10XscRNAseq
HoiH23	Plac02_H2_H23_10XscRNAseq	Plac02_H2_H23_10XscRNAseq_S2_R2_001.fastq.gz	data_cdna/Plac02_H2_H23_10XscRNAseq
Tadh	H1_06_ACME_10x	H1_06_ACME_10x_S1_L001_R1_001.fastq.gz	data_cdna/H1_06_ACME_10x
Tadh	H1_06_ACME_10x	H1_06_ACME_10x_S1_L001_R2_001.fastq.gz	data_cdna/H1_06_ACME_10x
Tadh	H1H13_1_ACME_CT_10x	H1H13_1_ACME_CT_10x_S1_L001_I_001.fastq.gz	data_cdna/H1H13_1_ACME_CT_10x
Tadh	H1H13_1_ACME_CT_10x	H1H13_1_ACME_CT_10x_S1_L001_R1_001.fastq.gz	data_cdna/H1H13_1_ACME_CT_10x
Tadh	H1H13_1_ACME_CT_10x	H1H13_1_ACME_CT_10x_S1_L001_R2_001.fastq.gz	data_cdna/H1H13_1_ACME_CT_10x
Tadh	H1H23_5_ACME_10x	H1H23_5_ACME_10x_S1_R1_001.fastq.gz	data_cdna/H1H23_5_ACME_10x
Tadh	H1H23_5_ACME_10x	H1H23_5_ACME_10x_S1_R2_001.fastq.gz	data_cdna/H1H23_5_ACME_10x
Tadh	Plac01_H1_H13_10XscRNAseq	Plac01_H1_H13_10XscRNAseq_S1_R1_001.fastq.gz	data_cdna/Plac01_H1_H13_10XscRNAseq
Tadh	Plac01_H1_H13_10XscRNAseq	Plac01_H1_H13_10XscRNAseq_S1_R2_001.fastq.gz	data_cdna/Plac01_H1_H13_10XscRNAseq
TrH2	H2_1_ACME_10x	H2_1_ACME_10x_S1_L001_R1_001.fastq.gz	data_cdna/H2_1_ACME_10x
TrH2	H2_1_ACME_10x	H2_1_ACME_10x_S1_L001_R2_001.fastq.gz	data_cdna/H2_1_ACME_10x
