gene	orthogroup	orthogroup_support	reference_ortholog	reference_support	species	is_largest_og	is_duplicated_in_og	dist_to_root	prot_length	closest_neighbours	closest_neighbours_freq	is_outlier_to_closest
Lampan_Lpan_2750_01	OG0	1	NA	NA	Lampan	TRUE	FALSE	1.7673751	318	Coeast	0.0433490215506564	FALSE
Pocdam_XM_027202858.1	OG0	1	NA	NA	Pocdam	TRUE	FALSE	1.4333802	367	Spis	0.930586117223445	FALSE
Exapal_XM_028659457.1	OG0	1	NA	NA	Exapal	TRUE	FALSE	1.3357056	387	Nvec	0.809667067789811	FALSE
Hvul_g30526_1	OG0	1	NA	NA	Hvul	TRUE	FALSE	1.6751405	303	Chem	0.740674955595027	FALSE
Nemnom_g6500.t1	OG0	1	NA	NA	Nemnom	TRUE	FALSE	1.8648335	347	Rhoesc	0.967415502934629	FALSE
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA141526	OG0	1	NA	NA	Ctel	TRUE	TRUE	1.7816590215	49	Rhoesc	0.000786936848317922	TRUE
Sanmal_Sma_027068-T1	OG0	1	NA	NA	Sanmal	TRUE	FALSE	1.0729165	342	Morvir	0.013417361252287	FALSE
Chem_TCONS_00052490	OG0	1	NA	NA	Chem	TRUE	FALSE	1.3319465	354	Hvul	0.648217843701572	FALSE
Rhoesc_Res_001800-T1	OG0	1	NA	NA	Rhoesc	TRUE	FALSE	1.5323130215	341	Ctel	0	TRUE
Hhon_g07472.t1	OG0	1	NA	NA	Hhon	TRUE	FALSE	1.51214522	381	HoiH04	0.933318900194847	FALSE
Dgig_XM_028542834.1	OG0	1	NA	NA	Dgig	TRUE	FALSE	1.8310335	330	Xesp	0.893244041756943	FALSE
HoiH23_PlH23_002955-RA	OG0	1	NA	NA	HoiH23	TRUE	FALSE	1.5409468	398	HoiH06	0.810816368496813	FALSE
Plespi_Pspi_scaffold18641_01	OG0	1	NA	NA	Plespi	TRUE	FALSE	1.7365311	452	Spolac	0.106037388905915	FALSE
Cgig_XM_011447678.2	OG0	1	NA	NA	Cgig	TRUE	FALSE	1.0749801	428	Acagra	0.698916408668731	FALSE
Gracom_Gcom_scaffold18167_01	OG0	1	NA	NA	Gracom	TRUE	FALSE	1.7631508	595	Scil	0.448755991782698	FALSE
Tcas_TC009615_001	OG0	1	NA	NA	Tcas	TRUE	FALSE	1.722888	307	Dpul	0.442573099415205	FALSE
Cscu_XM_023388329.1	OG0	1	NA	NA	Cscu	TRUE	FALSE	1.225297	377	Acagra	0.131670281995662	FALSE
Adig_XM_015905672.1	OG0	1	NA	NA	Adig	TRUE	FALSE	1.6503203	398	Amil	0.86253807106599	FALSE
Nvec_NVE19622	OG0	1	NA	NA	Nvec	TRUE	TRUE	1.1870756	135	Exapal	0.758012516593969	FALSE
Clacor_Ccor_C534919_01	OG0	1	NA	NA	Clacor	TRUE	FALSE	1.6734068	297	Scil	0.1515625	FALSE
Amil_Amillepora16488-RA	OG0	1	NA	NA	Amil	TRUE	FALSE	1.6647902	334	Adig	0.848497074843655	FALSE
Plajan_Pjan_scaffold23489_01	OG0	1	NA	NA	Plajan	TRUE	FALSE	1.5444508	445	Clacor	0.0129441624365482	FALSE
TrH2_TrispH2_002375-RA	OG0	1	NA	NA	TrH2	TRUE	FALSE	1.40300811	418	Tadh	0.951310088714669	FALSE
Leuniv_Lniv_scaffold19410_01	OG0	1	NA	NA	Leuniv	TRUE	FALSE	2.0018378	159	Lcom	0.240418947869555	FALSE
Morvir_scaffold370.g13.t1	OG0	1	NA	NA	Morvir	TRUE	FALSE	1.2221315	344	Sanmal	0.284405496912966	FALSE
Acagra_model.g17985.t1	OG0	1	NA	NA	Acagra	TRUE	TRUE	0.9355023411	471	Cgig	0.684659654693392	FALSE
HoiH04_mRNA7561	OG0	1	NA	NA	HoiH04	TRUE	FALSE	1.5475843	380	Hhon	0.926658163265306	FALSE
Opea_EP00118_Oscarella_pearsei_P002338	OG0	1	NA	NA	Opea	TRUE	FALSE	1.5309564	406	Ocar	0.626095820591233	FALSE
Gfas_gfas1.m1.5691.m1	OG0	1	NA	NA	Gfas	TRUE	FALSE	1.5349334	375	Fspp	0.306086617245416	FALSE
Xesp_012431-T1	OG0	1	NA	NA	Xesp	TRUE	FALSE	1.3082675	303	Dgig	0.95399216009903	FALSE
HoiH06_mRNA5524	OG0	1	NA	NA	HoiH06	TRUE	FALSE	1.5368694	377	HoiH23	0.936170212765957	FALSE
Lcom_lcpid87354	OG0	1	NA	NA	Lcom	TRUE	FALSE	1.7755018	582	Scil	0.231820008035356	FALSE
Aaur_scaffold181.g5.t2	OG0	1	NA	NA	Aaur	TRUE	FALSE	1.5523375	320	Rhoesc	0.629385386441572	FALSE
Tetwil_g25490.t1	OG0	1	NA	NA	Tetwil	TRUE	FALSE	1.6638898	578	Halamb	0.03420523138833	FALSE
Tadh_TriadT57035	OG0	1	NA	NA	Tadh	TRUE	FALSE	1.4003140411	440	TrH2	0.967782426778243	FALSE
