gene	orthogroup	orthogroup_support	reference_ortholog	reference_support	species	is_largest_og	is_duplicated_in_og	dist_to_root	prot_length	closest_neighbours	closest_neighbours_freq	is_outlier_to_closest
Scil_scict005479.1	OG0	1	NA	NA	Scil	TRUE	TRUE	1.6840818	289	Lcom	0.171301446051168	FALSE
Sanmal_Sma_019026-T1	OG0	1	NA	NA	Sanmal	TRUE	FALSE	1.18101742	342	Aaur	0.413905265297825	FALSE
Xesp_004997-T1	OG0	1	NA	NA	Xesp	TRUE	FALSE	1.3563937	2002	Dgig	0.95399216009903	FALSE
Hvul_g29842_1	OG0	1	NA	NA	Hvul	TRUE	FALSE	1.4254417	311	Dgig	0.00599467140319716	TRUE
Fspp_ffun1.m4.9027.m1	OG0	1	NA	NA	Fspp	TRUE	FALSE	1.0127387	321	Gfas	0.0556835637480799	FALSE
Dgig_XM_028540816.1	OG0	1	NA	NA	Dgig	TRUE	FALSE	1.1392517	354	Xesp	0.893244041756943	FALSE
Skow_XM_006813450.1	OG0	1	NA	NA	Skow	TRUE	TRUE	0.820001	258	Bralan	0.320788177339902	FALSE
Plajan_Pjan_scaffold21656_01	OG0	1	NA	NA	Plajan	TRUE	FALSE	1.3165885	244	Fspp	0.0083756345177665	TRUE
Aaur_scaffold279.g6.t1	OG0	1	NA	NA	Aaur	TRUE	FALSE	1.28629342	284	Nemnom	0.203112635188605	FALSE
Adig_XM_015913707.1	OG0	1	NA	NA	Adig	TRUE	FALSE	1.164358	358	Amil	0.86253807106599	FALSE
Amil_Amillepora24956-RA	OG0	1	NA	NA	Amil	TRUE	FALSE	1.2088074	352	Adig	0.848497074843655	FALSE
Skow_XM_006813708.1	OG0	1	NA	NA	Skow	TRUE	TRUE	0.820001	108	Bralan	0.320788177339902	FALSE
Nvec_v1g243956	OG0	1	NA	NA	Nvec	TRUE	TRUE	1.2608280857	346	Exapal	0.758012516593969	FALSE
Chem_TCONS_00018973	OG0	1	NA	NA	Chem	TRUE	FALSE	1.61907884	350	Morvir	0.107593535532433	FALSE
Morvir_scaffold21.g39.t3	OG0	1	NA	NA	Morvir	TRUE	FALSE	1.17364284	505	Sanmal	0.284405496912966	FALSE
Bralan_BLAG01001669_1	OG0	1	NA	NA	Bralan	TRUE	FALSE	0.8712925	354	Fspp	0.00784388750717429	TRUE
Spis_XP_022800510_1	OG0	1	NA	NA	Spis	TRUE	FALSE	1.085438	365	Pocdam	0.88306299509619	FALSE
Rhoesc_Res_006264-T1	OG0	1	NA	NA	Rhoesc	TRUE	TRUE	3.0669835	232	Sanmal	0.0228391415632999	FALSE
Pocdam_XM_027185583.1	OG0	1	NA	NA	Pocdam	TRUE	FALSE	1.081527	375	Spis	0.930586117223445	FALSE
Rhoesc_Res_006265-T1	OG0	1	NA	NA	Rhoesc	TRUE	TRUE	1.30574442	348	Nemnom	0.929907462098838	FALSE
Exapal_XM_021050117.2	OG0	1	NA	NA	Exapal	TRUE	FALSE	1.2398447	350	Nvec	0.809667067789811	FALSE
Gfas_gfas1.m1.17117.m1	OG0	1	NA	NA	Gfas	TRUE	FALSE	1.0698456	325	Adig	0.175380413577838	FALSE
Nemnom_g19535.t1	OG0	1	NA	NA	Nemnom	TRUE	FALSE	1.30206542	351	Rhoesc	0.967415502934629	FALSE
Hsap_ENST00000537468	OG0	1	NA	NA	Hsap	TRUE	FALSE	1.1451197	351	Bralan	0.476932176656151	FALSE
Nvec_NVE23264	OG0	1	NA	NA	Nvec	TRUE	TRUE	1.7165497	111	Exapal	0.758012516593969	FALSE
Cgig_XM_011428068.3	OG0	1	NA	NA	Cgig	TRUE	FALSE	1.433104	356	Cscu	0.021671826625387	FALSE
TrH2_TrispH2_005917-RA	OG0	1	NA	NA	TrH2	TRUE	FALSE	1.124000118	349	Tadh	0.951310088714669	FALSE
Hhon_g02690.t1	OG0	1	NA	NA	Hhon	TRUE	FALSE	1.09517323	351	HoiH04	0.933318900194847	FALSE
Lcom_lcpid85183	OG0	1	NA	NA	Lcom	TRUE	TRUE	1.4936453	469	Scil	0.231820008035356	FALSE
Gracom_Gcom_scaffold16902_01	OG0	1	NA	NA	Gracom	TRUE	FALSE	1.8433518	391	Leuniv	0.368180780643689	FALSE
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA182819	OG0	1	NA	NA	Ctel	TRUE	FALSE	1.621764	382	Cgig	0.263623844186504	FALSE
HoiH23_PlH23_010814-RA	OG0	1	NA	NA	HoiH23	TRUE	FALSE	1.1331152	353	HoiH06	0.810816368496813	FALSE
HoiH04_mRNA14357	OG0	1	NA	NA	HoiH04	TRUE	FALSE	1.092148	351	Hhon	0.926658163265306	FALSE
Lcom_lcpid82120	OG0	1	NA	NA	Lcom	TRUE	TRUE	1.4787538	449	Scil	0.231820008035356	FALSE
Scil_scict015692.1	OG0	1	NA	NA	Scil	TRUE	TRUE	1.8272028	131	Leuniv	0.348998887652948	FALSE
Cscu_XM_023354374.1	OG0	1	NA	NA	Cscu	TRUE	FALSE	1.257451	339	Skow	0.0950108459869848	FALSE
HoiH06_mRNA5392	OG0	1	NA	NA	HoiH06	TRUE	FALSE	1.1892808	350	HoiH23	0.936170212765957	FALSE
Leuniv_Lniv_scaffold7768_01	OG0	1	NA	NA	Leuniv	TRUE	FALSE	1.5721098	476	Gracom	0.34610806950726	FALSE
Tadh_TriadT59037	OG0	1	NA	NA	Tadh	TRUE	FALSE	1.2119441	272	TrH2	0.967782426778243	FALSE
