module	ct_top
brown	epithelia_dorsal
darkorange	epithelia_dorsal_like
darkseagreen4	epithelia_dorsal_like
maroon	epithelia_gland_like
orangered4	epithelia_unknown_1
violet	epithelia_unknown_1
ivory	fibre
darkslateblue	gland_1
palevioletred3	lipophil
plum2	lipophil
turquoise	lipophil
black	peptidergic_alpha
brown4	peptidergic_beta
skyblue	peptidergic_delta
lightcyan	peptidergic_epsilon
darkorange2	peptidergic_eta
salmon4	peptidergic_eta
yellowgreen	peptidergic_eta
darkmagenta	peptidergic_gamma
navajowhite2	peptidergic_gamma_like
red	peptidergic_iota
darkgrey	peptidergic_iota_like
mediumpurple3	peptidergic_iota_like
grey60	peptidergic_kappa
midnightblue	peptidergic_lambda
lightgreen	peptidergic_mu
saddlebrown	peptidergic_mu_like
magenta	peptidergic_nu
cyan	peptidergic_omicron
lightpink4	peptidergic_theta
royalblue	peptidergic_theta
white	peptidergic_zeta
steelblue	trans_epithelia_dorsal_ventral
pink	unknown_1
darkturquoise	unknown_2.1
lightcyan1	unknown_2.2
lightyellow	unknown_2.2
purple	unknown_2.2
salmon	unknown_2.2
skyblue3	unknown_2.2
green	unknown_2.3
darkgreen	unknown_2.4
