module	ct_top
red	epithelia_dorsal
salmon	epithelia_dorsal
yellow	epithelia_dorsal
black	epithelia_gland_like
skyblue	epithelia_gland_like
darkolivegreen	epithelia_unknown
lightcyan1	epithelia_unknown
skyblue3	epithelia_unknown
yellowgreen	epithelia_unknown
cyan	epithelia_ventral
blue	fibre
greenyellow	gland_1
thistle2	gland_1_like
turquoise	lipophil_1
navajowhite2	lipophil_2
royalblue	lipophil_2
darkturquoise	peptidergic_alpha
honeydew1	peptidergic_alpha
lightpink4	peptidergic_alpha
ivory	peptidergic_beta
lavenderblush3	peptidergic_beta
floralwhite	peptidergic_delta
white	peptidergic_delta
violet	peptidergic_epsilon
lightgreen	peptidergic_epsilon_like
bisque4	peptidergic_eta
darkmagenta	peptidergic_eta
darkslateblue	peptidergic_eta
orangered4	peptidergic_eta
thistle1	peptidergic_eta
darkorange	peptidergic_gamma
plum2	peptidergic_gamma_like
magenta	peptidergic_iota
lightsteelblue1	peptidergic_iota_like
midnightblue	peptidergic_kappa
lightcyan	peptidergic_lambda
saddlebrown	peptidergic_lambda
orange	peptidergic_mu
palevioletred3	peptidergic_mu
brown4	peptidergic_mu_like
plum1	peptidergic_mu_like
salmon4	peptidergic_mu_like
darkgrey	peptidergic_omicron
mediumpurple3	peptidergic_other_1
darkred	peptidergic_other_2
lightyellow	peptidergic_progenitors
maroon	peptidergic_theta
purple	peptidergic_theta
steelblue	peptidergic_theta_like
paleturquoise	peptidergic_zeta
darkgreen	unknown_1
