module	ct_top
brown	epithelia
cyan	epithelia
darkolivegreen	epithelia
lightcyan1	epithelia
red	epithelia
salmon	epithelia
skyblue3	epithelia
yellowgreen	epithelia
black	epithelia_gland_like
green	epithelia_gland_like
pink	epithelia_gland_like
skyblue	epithelia_gland_like
blue	fibre
greenyellow	gland
thistle2	gland
navajowhite2	lipophil
royalblue	lipophil
turquoise	lipophil
bisque4	peptidergic
brown4	peptidergic
darkgrey	peptidergic
darkmagenta	peptidergic
darkorange	peptidergic
darkred	peptidergic
darkslateblue	peptidergic
darkturquoise	peptidergic
floralwhite	peptidergic
grey	peptidergic
grey60	peptidergic
honeydew1	peptidergic
ivory	peptidergic
lavenderblush3	peptidergic
lightcyan	peptidergic
lightgreen	peptidergic
lightpink4	peptidergic
lightsteelblue1	peptidergic
lightyellow	peptidergic
magenta	peptidergic
maroon	peptidergic
mediumpurple3	peptidergic
midnightblue	peptidergic
orange	peptidergic
orangered4	peptidergic
paleturquoise	peptidergic
palevioletred3	peptidergic
plum1	peptidergic
plum2	peptidergic
purple	peptidergic
saddlebrown	peptidergic
salmon4	peptidergic
sienna3	peptidergic
steelblue	peptidergic
tan	peptidergic
thistle1	peptidergic
violet	peptidergic
white	peptidergic
darkgreen	unknown_1
darkorange2	unknown_1
