module	ct_top
bisque4	epithelia
darkgreen	epithelia
darkmagenta	epithelia
darkorange	epithelia
saddlebrown	epithelia
salmon4	epithelia
skyblue3	epithelia
yellow	epithelia
black	epithelia_gland_like
darkolivegreen	epithelia_gland_like
darkturquoise	epithelia_gland_like
lightcyan	epithelia_gland_like
red	epithelia_gland_like
turquoise	fibre
sienna3	gland
brown	lipophil
darkorange2	lipophil
ivory	lipophil
palevioletred3	lipophil
brown4	peptidergic
cyan	peptidergic
darkred	peptidergic
green	peptidergic
lightcyan1	peptidergic
lightgreen	peptidergic
lightsteelblue1	peptidergic
magenta	peptidergic
mediumpurple3	peptidergic
midnightblue	peptidergic
navajowhite2	peptidergic
orange	peptidergic
orangered4	peptidergic
paleturquoise	peptidergic
pink	peptidergic
plum1	peptidergic
plum2	peptidergic
purple	peptidergic
royalblue	peptidergic
skyblue	peptidergic
steelblue	peptidergic
tan	peptidergic
thistle1	peptidergic
violet	peptidergic
yellowgreen	peptidergic
darkgrey	unknown_2
darkslateblue	unknown_2
floralwhite	unknown_2
greenyellow	unknown_2
salmon	unknown_2
thistle2	unknown_2
white	unknown_2
