module	ct_top
salmon4	epithelia_dorsal
yellow	epithelia_dorsal
black	epithelia_gland_like
darkolivegreen	epithelia_gland_like
darkturquoise	epithelia_gland_like
red	epithelia_gland_like
grey60	epithelia_unknown_1
darkgreen	epithelia_unknown_2
lightcyan	epithelia_unknown_2
darkmagenta	epithelia_unknown_3
darkorange	epithelia_unknown_3
skyblue3	epithelia_unknown_3
bisque4	epithelia_ventral
turquoise	fibre
sienna3	gland_1
brown	lipophil
ivory	lipophil
palevioletred3	lipophil
green	peptidergic_alpha
lightcyan1	peptidergic_beta
plum1	peptidergic_delta
purple	peptidergic_epsilon
orange	peptidergic_eta
royalblue	peptidergic_eta
paleturquoise	peptidergic_gamma
brown4	peptidergic_gamma_like
lightsteelblue1	peptidergic_iota
mediumpurple3	peptidergic_iota
tan	peptidergic_kappa
darkred	peptidergic_lambda
skyblue	peptidergic_lambda
plum2	peptidergic_mu
violet	peptidergic_mu
magenta	peptidergic_mu_like
orangered4	peptidergic_mu_like
lightgreen	peptidergic_nu
midnightblue	peptidergic_omicron
salmon	peptidergic_progenitors
navajowhite2	peptidergic_theta
yellowgreen	peptidergic_theta
pink	peptidergic_zeta
greenyellow	unknown_2.1
darkgrey	unknown_2.2
darkslateblue	unknown_2.2
floralwhite	unknown_2.2
thistle2	unknown_2.2
white	unknown_2.2
