module	ct_top
brown	epithelia
lightsteelblue1	epithelia
orangered4	epithelia
tan	epithelia
violet	epithelia
maroon	epithelia_gland_like
yellow	epithelia_gland_like
blue	fibre
honeydew1	fibre
ivory	fibre
paleturquoise	fibre
thistle1	fibre
darkslateblue	gland
darkseagreen4	lipophil
palevioletred3	lipophil
plum2	lipophil
turquoise	lipophil
black	peptidergic
brown4	peptidergic
cyan	peptidergic
darkgrey	peptidergic
darkmagenta	peptidergic
darkolivegreen	peptidergic
darkorange2	peptidergic
floralwhite	peptidergic
grey60	peptidergic
lightcyan	peptidergic
lightgreen	peptidergic
lightpink4	peptidergic
magenta	peptidergic
mediumpurple3	peptidergic
midnightblue	peptidergic
navajowhite2	peptidergic
red	peptidergic
royalblue	peptidergic
saddlebrown	peptidergic
salmon4	peptidergic
skyblue	peptidergic
white	peptidergic
yellowgreen	peptidergic
steelblue	trans
pink	unknown_1
bisque4	unknown_2
darkgreen	unknown_2
darkturquoise	unknown_2
green	unknown_2
grey	unknown_2
orange	unknown_2
plum1	unknown_2
purple	unknown_2
salmon	unknown_2
skyblue3	unknown_2
