annot	freq_in_fg	freq_in_bg	total_annot_in_fg	total_annot_in_bg	pval	pval_adj
7tm_1	7	679	17	15756	3.56555389317576e-06	3.92210928249333e-05
Sec2p	1	1	17	15756	0.00107895404925062	0.00593424727087843
TAFH	1	2	17	15756	0.00215681236604992	0.00790831200884971
FAM124	1	3	17	15756	0.00323357599368546	0.008892333982635
zf-MYND	1	9	17	15756	0.0096712275945815	0.0212767007080793
SET	1	15	17	15756	0.016069732264777	0.0294611758187579
Arrestin_C	1	33	17	15756	0.0350325913195689	0.0453667022669952
Arrestin_N	1	33	17	15756	0.0350325913195689	0.0453667022669952
zf-C2H2	1	35	17	15756	0.0371182109457233	0.0453667022669952
EF-hand_7	1	59	17	15756	0.0618169888018884	0.0618169888018884
I-set	1	57	17	15756	0.059781755404247	0.0618169888018884
