module	mc_top	ct_top
bisque4	231	peptidergic
black	100	epithelia_gland_like
blue	30	fibre
brown	125	epithelia
brown4	250	peptidergic
cyan	162	epithelia
darkgreen	24	unknown_1
darkgrey	253	peptidergic
darkmagenta	233	peptidergic
darkolivegreen	182	epithelia
darkorange	223	peptidergic
darkorange2	24	unknown_1
darkred	255	peptidergic
darkslateblue	232	peptidergic
darkturquoise	215	peptidergic
floralwhite	226	peptidergic
green	117	epithelia
greenyellow	56	gland
grey	215	peptidergic
grey60	242	peptidergic
honeydew1	216	peptidergic
ivory	220	peptidergic
lavenderblush3	219	peptidergic
lightcyan	247	peptidergic
lightcyan1	176	epithelia
lightgreen	228	peptidergic
lightpink4	215	peptidergic
lightsteelblue1	244	peptidergic
lightyellow	211	peptidergic
magenta	242	peptidergic
maroon	236	peptidergic
mediumpurple3	254	peptidergic
midnightblue	245	peptidergic
navajowhite2	17	lipophil
orange	249	peptidergic
orangered4	234	peptidergic
paleturquoise	229	peptidergic
palevioletred3	250	peptidergic
pink	146	epithelia
plum1	251	peptidergic
plum2	224	peptidergic
purple	235	peptidergic
red	194	epithelia
royalblue	17	lipophil
saddlebrown	246	peptidergic
salmon	193	epithelia
salmon4	252	peptidergic
sienna3	217	peptidergic
skyblue	147	epithelia
skyblue3	181	epithelia
steelblue	237	peptidergic
tan	134	epithelia
thistle1	230	peptidergic
thistle2	87	gland
turquoise	9	lipophil
violet	227	peptidergic
white	225	peptidergic
yellow	195	epithelia
yellowgreen	184	epithelia
