module	mc_top	ct_top
bisque4	132	epithelia_ventral
black	81	epithelia_gland_like
blue	129	epithelia_ventral
brown	3	lipophil
brown4	169	peptidergic_gamma_like
cyan	177	peptidergic_iota
darkgreen	97	epithelia_unknown_2
darkgrey	27	unknown_2.2
darkmagenta	102	epithelia_unknown_3
darkolivegreen	85	epithelia_gland_like
darkorange	103	epithelia_unknown_3
darkorange2	7	lipophil
darkred	182	peptidergic_lambda
darkslateblue	28	unknown_2.2
darkturquoise	88	epithelia_gland_like
floralwhite	28	unknown_2.2
green	165	peptidergic_alpha
greenyellow	26	unknown_2.1
grey	28	unknown_2.2
grey60	91	epithelia_unknown_1
ivory	19	lipophil
lightcyan	81	epithelia_gland_like
lightcyan1	167	peptidergic_beta
lightgreen	188	peptidergic_nu
lightsteelblue1	179	peptidergic_iota
lightyellow	85	epithelia_gland_like
magenta	185	peptidergic_mu_like
mediumpurple3	177	peptidergic_iota
midnightblue	189	peptidergic_omicron
navajowhite2	176	peptidergic_theta
orange	175	peptidergic_eta
orangered4	187	peptidergic_mu_like
paleturquoise	168	peptidergic_gamma
palevioletred3	19	lipophil
pink	173	peptidergic_zeta
plum1	170	peptidergic_delta
plum2	183	peptidergic_mu
purple	171	peptidergic_epsilon
red	108	epithelia_ventral
royalblue	174	peptidergic_eta
saddlebrown	125	epithelia_ventral
salmon	164	peptidergic_progenitors
salmon4	152	epithelia_dorsal
sienna3	53	gland_1
skyblue	181	peptidergic_lambda
skyblue3	106	epithelia_unknown_3
steelblue	164	peptidergic_progenitors
tan	180	peptidergic_kappa
thistle1	182	peptidergic_lambda
thistle2	27	unknown_2.2
turquoise	31	fibre
violet	183	peptidergic_mu
white	28	unknown_2.2
yellow	143	epithelia_dorsal
yellowgreen	176	peptidergic_theta
