module	mc_top	ct_top
bisque4	25	lipophil_2
black	143	epithelia_ventral
blue	43	fibre_1
brown	117	epithelia_gland_like
brown4	234	peptidergic_nu
cyan	85	gland_1
darkgreen	133	epithelia_ventral
darkgrey	215	peptidergic_epsilon
darkmagenta	232	peptidergic_mu
darkolivegreen	113	epithelia_gland_like
darkorange	230	peptidergic_lambda
darkorange2	232	peptidergic_mu
darkred	224	peptidergic_theta
darkslateblue	135	epithelia_ventral
darkturquoise	201	epithelia_dorsal
floralwhite	212	peptidergic_beta
green	113	epithelia_gland_like
greenyellow	228	peptidergic_kappa
grey	113	epithelia_gland_like
grey60	102	gland_1
ivory	167	epithelia_unknown
lightcyan	151	epithelia_ventral
lightcyan1	214	peptidergic_gamma_like
lightgreen	208	peptidergic_progenitors
lightsteelblue1	38	unknown_1
lightyellow	208	peptidergic_progenitors
magenta	116	epithelia_gland_like
mediumpurple3	218	peptidergic_zeta_like
midnightblue	231	peptidergic_lambda
navajowhite2	163	epithelia_unknown
orange	213	peptidergic_gamma
orangered4	222	peptidergic_eta
paleturquoise	220	peptidergic_zeta_like
palevioletred3	163	epithelia_unknown
pink	209	peptidergic_alpha
plum1	216	peptidergic_zeta
plum2	222	peptidergic_eta
purple	234	peptidergic_nu
red	227	peptidergic_iota
royalblue	229	peptidergic_kappa
saddlebrown	161	epithelia_unknown
salmon	77	gland_1
salmon4	233	peptidergic_mu_like
sienna3	72	gland_1
skyblue	221	peptidergic_zeta_like
skyblue3	48	fibre_2
steelblue	37	unknown_1
tan	26	lipophil_2
thistle1	218	peptidergic_zeta_like
thistle2	211	peptidergic_beta
turquoise	11	lipophil_1
violet	159	epithelia_ventral
white	223	peptidergic_eta
yellow	191	epithelia_dorsal
yellowgreen	233	peptidergic_mu_like
