#OG_name	nb_species	nb_reduced_prot	nb_all_prot	clustering_coefficient
OG_1	74	76	99	1.0
OG_2	43	43	88	1.0
OG_3	79	94	110	1.0
OG_4	74	85	97	0.9109
OG_5	78	99	108	1.0
OG_6	53	56	64	0.9799
OG_7	73	87	106	1.0
OG_8	72	83	90	1.0
OG_9	46	99	108	1.0
OG_10	75	90	113	1.0
OG_11	16	32	33	1.0
OG_12	77	92	100	1.0
OG_13	67	70	88	1.0
OG_14	71	2468	4774	0.0749
OG_15	77	90	108	1.0
OG_16	76	92	97	0.9599
OG_17	77	93	109	1.0
OG_18	66	81	99	1.0
OG_19	68	86	93	0.9551
OG_20	42	171	218	0.3283
OG_21	59	76	89	1.0
OG_22	51	71	75	1.0
OG_23	76	88	98	1.0
OG_24	7	72	177	0.2966
OG_25	63	77	92	1.0
OG_26	74	925	1152	0.0807
OG_27	76	86	91	0.977
OG_28	74	85	101	1.0
OG_29	58	73	79	0.8493
OG_30	50	51	58	1.0
OG_31	5	40	67	0.2295
OG_32	56	67	71	1.0
OG_33	74	86	100	1.0
OG_34	55	62	71	1.0
OG_35	10	23	24	1.0
OG_36	53	54	54	1.0
OG_37	71	114	128	1.0
OG_38	69	72	78	1.0
OG_39	41	48	54	0.984
OG_40	73	96	109	0.9596
OG_41	72	82	96	1.0
OG_42	66	91	110	1.0
OG_43	76	80	90	1.0
OG_44	76	87	106	1.0
OG_45	20	20	21	1.0
OG_46	50	52	58	1.0
OG_47	79	128	136	0.6854
OG_48	46	1049	1611	0.1443
OG_49	76	92	106	0.9577
OG_50	80	116	158	0.9829
OG_51	78	87	114	1.0
OG_52	77	81	102	1.0
OG_53	62	64	79	1.0
OG_54	69	81	118	1.0
OG_55	15	22	28	0.8355
OG_56	79	104	125	0.9823
OG_57	68	72	77	1.0
OG_58	15	38	46	0.4253
OG_59	15	64	90	0.5268
OG_60	62	65	68	1.0
OG_61	73	84	99	0.9796
OG_62	44	49	50	1.0
OG_63	7	31	37	0.643
OG_64	69	84	92	1.0
OG_65	69	99	119	0.9827
OG_66	76	81	89	1.0
OG_67	57	66	76	1.0
OG_68	69	74	79	1.0
OG_69	76	89	104	1.0
OG_70	55	120	132	1.0
OG_71	28	32	46	0.9133
OG_72	78	88	98	1.0
OG_73	28	29	29	1.0
OG_74	22	394	484	0.1011
OG_75	69	89	95	1.0
OG_76	72	77	88	0.9788
OG_77	70	72	81	1.0
OG_78	78	88	100	1.0
OG_79	4	5	6	1.0
OG_80	75	89	100	1.0
OG_81	44	51	55	0.9788
OG_82	52	57	63	1.0
OG_83	73	84	100	0.9765
OG_84	70	80	92	1.0
OG_85	76	91	103	1.0
OG_86	75	85	93	1.0
OG_87	74	76	84	1.0
OG_88	63	71	74	1.0
OG_89	16	19	19	1.0
OG_90	73	80	91	0.9769
OG_91	78	99	105	0.8841
OG_92	81	98	111	1.0
OG_93	17	54	82	0.775
OG_94	71	81	93	1.0
OG_95	38	40	41	1.0
OG_96	76	83	93	1.0
OG_97	71	74	82	1.0
OG_98	43	53	1095	1.0
OG_99	72	115	130	1.0
OG_100	71	76	82	1.0
OG_101	76	86	96	1.0
OG_102	6	54	67	0.4507
OG_103	56	84	189	0.7111
OG_104	72	80	96	1.0
OG_105	55	57	68	1.0
OG_106	79	100	127	0.982
OG_107	61	69	70	1.0
OG_108	66	172	186	0.9889
OG_109	35	80	97	0.6801
OG_110	78	83	93	1.0
OG_111	8	18	20	1.0
OG_112	79	104	128	0.9968
OG_113	11	61	94	0.4716
OG_114	66	71	71	1.0
OG_115	78	105	135	1.0
OG_116	39	64	71	1.0
OG_117	76	103	124	1.0
OG_118	5	8	9	1.0
OG_119	53	58	73	0.902
OG_120	37	46	52	1.0
OG_121	71	82	102	1.0
OG_122	79	2333	2575	0.0737
OG_123	72	76	85	1.0
OG_124	56	62	65	1.0
OG_125	57	60	65	1.0
OG_126	45	90	144	0.9928
OG_127	73	89	97	1.0
OG_128	71	79	95	1.0
OG_129	46	639	886	0.2289
OG_130	77	90	127	1.0
OG_131	69	75	77	1.0
OG_132	65	74	80	1.0
OG_133	66	87	109	0.9791
OG_134	80	95	113	1.0
OG_135	67	78	93	1.0
OG_136	57	63	70	0.9503
OG_137	79	102	109	0.981
OG_138	79	92	107	1.0
OG_139	73	139	147	1.0
OG_140	63	72	89	1.0
OG_141	74	82	93	0.9759
OG_142	79	117	163	1.0
OG_143	65	68	79	1.0
OG_144	71	77	80	0.9747
OG_145	70	75	85	1.0
OG_146	58	67	69	0.9873
OG_147	79	91	114	0.9797
OG_148	71	76	85	0.9253
OG_149	25	95	112	0.4927
OG_150	77	113	135	0.9959
OG_151	10	42	47	0.3891
OG_152	56	58	75	1.0
OG_153	78	96	111	1.0
OG_154	69	91	98	1.0
OG_155	80	101	131	1.0
OG_156	74	79	91	1.0
OG_157	79	96	142	1.0
OG_158	78	90	98	1.0
OG_159	60	70	77	1.0
OG_160	67	74	80	1.0
OG_161	8	8	15	1.0
OG_162	72	76	82	1.0
OG_163	75	88	104	1.0
OG_164	77	93	104	1.0
OG_165	78	106	141	0.8557
OG_166	21	22	24	1.0
OG_167	55	69	79	1.0
OG_168	21	21	28	1.0
OG_169	76	93	122	1.0
OG_170	40	43	45	1.0
OG_171	60	64	77	1.0
OG_172	77	99	122	1.0
OG_173	71	78	80	1.0
OG_174	78	96	119	0.9559
OG_175	80	90	101	0.9795
OG_176	48	54	61	1.0
OG_177	76	87	102	1.0
OG_178	68	127	142	1.0
OG_179	57	109	120	1.0
OG_180	58	59	59	1.0
OG_181	67	69	74	1.0
OG_182	73	76	94	1.0
OG_183	75	76	85	1.0
OG_184	75	82	90	1.0
OG_185	68	71	74	1.0
OG_186	78	95	117	0.9617
OG_187	38	45	48	1.0
OG_188	33	33	39	1.0
OG_189	7	7	8	0.9048
OG_190	24	330	425	0.1452
OG_191	51	54	54	0.9308
OG_192	68	73	87	1.0
OG_193	51	53	54	0.9826
OG_194	61	64	78	1.0
OG_195	71	75	82	1.0
OG_196	80	92	113	1.0
OG_197	75	96	113	0.9592
OG_198	59	69	83	1.0
OG_199	55	57	60	1.0
OG_200	75	98	113	1.0
OG_201	34	34	34	1.0
OG_202	57	73	83	1.0
OG_203	78	94	111	1.0
OG_204	67	86	105	1.0
OG_205	72	84	104	1.0
OG_206	67	83	114	0.8307
OG_207	57	63	66	1.0
OG_208	70	79	96	1.0
OG_209	72	74	81	1.0
OG_210	73	88	99	1.0
OG_211	54	57	63	0.8997
OG_212	74	80	93	0.9778
OG_213	52	54	72	1.0
OG_214	77	84	125	1.0
OG_215	64	70	81	1.0
OG_216	57	77	78	1.0
OG_217	66	72	82	1.0
OG_218	76	101	110	1.0
OG_219	66	80	93	1.0
OG_220	75	85	95	1.0
OG_221	77	88	102	1.0
OG_222	6	34	39	0.2977
OG_223	12	12	12	1.0
OG_224	75	116	135	1.0
OG_225	52	85	104	1.0
OG_226	76	83	126	1.0
OG_227	33	37	42	1.0
OG_228	58	63	66	1.0
OG_229	77	94	118	1.0
OG_230	65	74	77	0.9811
OG_231	71	72	83	1.0
OG_232	70	76	78	1.0
OG_233	73	93	110	0.9935
OG_234	77	84	90	1.0
OG_235	71	140	164	1.0
OG_236	75	155	188	0.562
OG_237	75	87	93	1.0
OG_238	74	79	85	1.0
OG_239	69	75	82	1.0
OG_240	74	78	102	0.9747
OG_241	70	94	116	0.9961
OG_242	78	86	96	0.9743
OG_243	13	28	43	0.6032
OG_244	73	80	93	1.0
OG_245	75	100	113	0.9267
OG_246	77	88	111	1.0
OG_247	78	91	101	1.0
OG_248	71	82	94	1.0
OG_249	73	77	91	1.0
OG_250	2	6	7	1.0
OG_251	69	75	87	1.0
OG_252	28	30	32	1.0
OG_253	61	76	83	1.0
OG_254	32	61	62	1.0
OG_255	76	81	90	1.0
OG_256	77	82	129	0.9807
OG_257	80	100	119	0.9804
OG_258	76	85	100	1.0
OG_259	57	83	91	0.645
OG_260	75	83	94	1.0
OG_261	76	85	102	1.0
OG_262	39	45	49	1.0
OG_263	4	4	4	1.0
OG_264	77	87	99	0.9548
OG_265	68	74	84	1.0
OG_266	64	72	93	1.0
OG_267	58	97	105	0.9042
OG_268	30	32	40	1.0
OG_269	61	68	78	1.0
OG_270	76	87	103	0.9773
OG_271	65	76	85	0.9509
OG_272	80	89	108	1.0
OG_273	77	96	152	1.0
OG_274	67	88	111	0.9788
OG_275	75	93	106	0.9787
OG_276	76	129	160	0.9916
OG_277	76	82	90	1.0
OG_278	76	85	87	1.0
OG_279	70	81	92	1.0
OG_280	73	81	100	1.0
OG_281	77	83	96	1.0
OG_282	39	42	42	1.0
OG_283	81	205	292	0.842
OG_284	3	10	12	0.8444
OG_285	79	120	147	0.9678
OG_286	65	71	79	1.0
OG_287	58	64	81	1.0
OG_288	69	75	80	0.9748
OG_289	66	76	89	1.0
OG_290	69	75	86	0.9488
OG_291	69	73	79	1.0
OG_292	57	60	69	0.9678
OG_293	74	82	93	1.0
OG_294	60	70	78	1.0
OG_295	76	91	102	1.0
OG_296	70	71	88	1.0
OG_297	79	89	96	1.0
OG_298	71	78	86	1.0
OG_299	66	67	72	0.9729
OG_300	65	78	92	1.0
OG_301	70	77	93	1.0
OG_302	67	70	79	1.0
OG_303	2	10	13	0.4667
OG_304	79	95	113	0.9187
OG_305	73	83	91	0.9994
OG_306	80	120	141	0.894
OG_307	79	97	116	1.0
OG_308	15	35	40	1.0
OG_309	74	82	90	1.0
OG_310	8	84	106	0.2883
OG_311	67	71	73	1.0
OG_312	77	92	115	1.0
OG_313	42	53	62	1.0
OG_314	44	53	53	0.8128
OG_315	42	56	61	1.0
OG_316	76	84	103	1.0
OG_317	57	60	60	1.0
OG_318	69	76	82	1.0
OG_319	78	96	110	1.0
OG_320	75	82	119	1.0
OG_321	59	64	77	1.0
OG_322	25	26	29	1.0
OG_323	23	76	78	0.9754
OG_324	73	75	88	1.0
OG_325	80	106	120	1.0
OG_326	78	98	112	0.9609
OG_327	75	85	101	1.0
OG_328	73	75	81	1.0
OG_329	74	87	102	1.0
OG_330	79	103	161	1.0
OG_331	75	85	98	1.0
OG_332	73	84	98	1.0
OG_333	79	108	138	1.0
OG_334	75	93	104	0.979
OG_335	71	77	85	1.0
OG_336	76	84	101	0.9768
OG_337	69	80	93	1.0
OG_338	37	39	43	1.0
OG_339	40	44	44	1.0
OG_340	52	78	85	0.9024
OG_341	72	78	80	1.0
OG_342	69	391	441	0.6728
OG_343	77	90	107	1.0
OG_344	78	92	113	1.0
OG_345	74	102	179	0.9845
OG_346	50	53	73	0.9898
OG_347	74	79	81	1.0
OG_348	52	56	62	1.0
OG_349	71	79	86	1.0
OG_350	78	93	136	0.9998
OG_351	75	86	96	1.0
OG_352	80	134	158	1.0
OG_353	52	108	126	0.7743
OG_354	79	94	122	1.0
OG_355	68	71	81	0.9734
OG_356	75	93	112	1.0
OG_357	58	61	66	1.0
OG_358	23	32	33	1.0
OG_359	55	71	74	1.0
OG_360	75	79	105	0.9805
OG_361	64	88	122	0.9245
OG_362	77	96	107	1.0
OG_363	45	47	49	1.0
OG_364	67	80	88	1.0
OG_365	67	72	81	1.0
OG_366	74	91	96	1.0
OG_367	74	93	111	1.0
OG_368	78	93	125	1.0
OG_369	8	10	12	0.7556
OG_370	58	91	109	0.8803
OG_371	76	96	109	0.9807
OG_372	72	79	84	0.975
OG_373	79	110	122	0.9636
OG_374	78	113	128	0.9703
OG_375	81	85	109	1.0
OG_376	71	82	94	1.0
OG_377	60	65	66	1.0
OG_378	58	83	92	0.963
OG_379	74	77	86	1.0
OG_380	65	68	69	1.0
OG_381	72	82	88	0.9804
OG_382	75	83	87	1.0
OG_383	54	89	96	1.0
OG_384	38	49	64	1.0
OG_385	59	72	75	0.973
OG_386	70	77	91	1.0
OG_387	62	68	75	0.9776
OG_388	79	108	121	1.0
OG_389	77	86	118	0.9546
OG_390	65	81	93	0.8429
OG_391	73	101	112	1.0
OG_392	52	57	59	0.8772
OG_393	60	65	71	0.9899
OG_394	73	97	106	1.0
OG_395	56	57	59	1.0
OG_396	27	50	56	1.0
OG_397	76	146	162	0.6302
OG_398	62	77	88	1.0
OG_399	76	99	126	1.0
OG_400	76	90	100	0.9566
OG_401	78	87	157	1.0
OG_402	60	61	65	1.0
OG_403	58	59	61	1.0
OG_404	55	62	72	1.0
OG_405	44	44	45	1.0
OG_406	75	81	96	1.0
OG_407	67	69	77	1.0
OG_408	73	87	98	1.0
OG_409	17	17	22	0.9118
OG_410	75	130	139	1.0
OG_411	54	58	70	1.0
OG_412	64	73	86	1.0
OG_413	77	84	99	0.9768
OG_414	75	104	126	0.9851
OG_415	66	67	76	1.0
OG_416	74	82	100	1.0
OG_417	73	75	84	1.0
OG_418	41	42	43	1.0
OG_419	58	64	67	0.9469
OG_420	75	86	123	1.0
OG_421	48	56	58	1.0
OG_422	79	86	107	1.0
OG_423	55	71	73	1.0
OG_424	79	89	104	1.0
OG_425	81	109	189	1.0
OG_426	75	87	99	1.0
OG_427	75	77	89	1.0
OG_428	77	88	103	1.0
OG_429	72	83	86	1.0
OG_430	76	84	98	1.0
OG_431	76	87	97	0.9551
OG_432	72	75	83	1.0
OG_433	72	118	148	1.0
OG_434	70	85	99	1.0
OG_435	76	93	107	0.8041
OG_436	74	83	96	1.0
OG_437	43	62	67	1.0
OG_438	69	71	82	1.0
OG_439	68	83	101	1.0
OG_440	60	73	99	1.0
OG_441	76	107	124	1.0
OG_442	78	96	119	1.0
OG_443	65	91	108	1.0
OG_444	61	64	66	1.0
OG_445	75	81	91	1.0
OG_446	69	75	79	1.0
OG_447	71	99	112	1.0
OG_448	70	78	82	1.0
OG_449	67	69	73	1.0
OG_450	55	68	73	0.7985
OG_451	61	63	66	1.0
OG_452	58	90	93	1.0
OG_453	69	91	105	0.9922
OG_454	2	11	11	0.2364
OG_455	57	60	64	1.0
OG_456	79	94	115	1.0
OG_457	75	95	118	0.92
OG_458	78	104	120	1.0
OG_459	70	87	100	1.0
OG_460	76	79	96	0.9773
OG_461	59	74	82	1.0
OG_462	77	151	168	0.563
OG_463	36	85	93	1.0
OG_464	76	89	112	1.0
OG_465	49	51	56	1.0
OG_466	55	65	78	1.0
OG_467	54	55	60	1.0
OG_468	57	65	74	1.0
OG_469	74	80	91	1.0
OG_470	79	110	122	0.982
OG_471	70	84	97	1.0
OG_472	65	75	85	0.9503
OG_473	72	83	102	1.0
OG_474	9	9	9	0.9444
OG_475	81	89	98	1.0
OG_476	66	79	96	0.9877
OG_477	79	102	122	0.8057
OG_478	54	55	58	0.9657
OG_479	32	32	35	1.0
OG_480	77	85	130	0.9908
OG_481	56	67	82	1.0
OG_482	72	87	98	1.0
OG_483	39	46	60	1.0
OG_484	57	71	82	0.9581
OG_485	66	69	77	1.0
OG_486	66	78	93	0.975
OG_487	78	88	106	1.0
OG_488	74	79	82	0.9292
OG_489	74	80	93	0.9275
OG_490	77	95	122	1.0
OG_491	70	82	109	0.953
OG_492	63	81	93	0.9781
OG_493	74	92	111	1.0
OG_494	73	83	100	1.0
OG_495	77	87	100	1.0
OG_496	72	76	84	1.0
OG_497	77	90	104	0.9566
OG_498	76	82	105	1.0
OG_499	59	71	86	1.0
OG_500	71	81	88	1.0
OG_501	73	85	105	0.9779
OG_502	76	105	118	1.0
OG_503	17	21	30	1.0
OG_504	77	84	93	1.0
OG_505	73	76	86	1.0
OG_506	80	96	120	1.0
OG_507	79	102	123	1.0
OG_508	78	87	101	1.0
OG_509	69	81	90	0.9775
OG_510	75	87	92	1.0
OG_511	52	61	69	1.0
OG_512	74	81	93	1.0
OG_513	79	104	130	0.9987
OG_514	77	84	100	1.0
OG_515	55	59	64	1.0
OG_516	61	65	66	1.0
OG_517	80	129	160	0.9855
OG_518	63	109	132	1.0
OG_519	61	98	107	1.0
OG_520	70	79	88	1.0
OG_521	66	78	87	1.0
OG_522	74	83	114	1.0
OG_523	76	85	93	0.9773
OG_524	71	78	84	0.9747
OG_525	43	63	81	0.9232
OG_526	67	75	93	1.0
OG_527	37	47	56	1.0
OG_528	75	90	104	0.9788
OG_529	55	60	67	1.0
OG_530	55	60	70	1.0
OG_531	20	20	23	1.0
OG_532	73	80	85	1.0
OG_533	72	73	85	1.0
OG_534	70	72	82	1.0
OG_535	75	84	96	1.0
OG_536	74	86	102	1.0
OG_537	67	70	73	1.0
OG_538	81	112	143	0.9356
OG_539	76	100	120	1.0
OG_540	75	80	100	1.0
OG_541	77	87	109	1.0
OG_542	74	78	88	1.0
OG_543	54	64	72	1.0
OG_544	66	91	96	0.9385
OG_545	75	83	92	1.0
OG_546	64	68	70	1.0
OG_547	59	76	80	0.8993
OG_548	28	36	40	0.6841
OG_549	45	48	52	1.0
OG_550	79	90	121	1.0
OG_551	74	83	92	0.9812
OG_552	34	257	330	0.4547
OG_553	36	41	42	1.0
OG_554	71	81	84	0.9586
OG_555	75	90	106	1.0
OG_556	61	72	116	0.9726
OG_557	78	93	98	0.9208
OG_558	72	91	146	1.0
OG_559	72	100	144	0.6055
OG_560	74	85	97	1.0
OG_561	72	85	97	1.0
OG_562	73	80	88	1.0
OG_563	75	86	93	1.0
OG_564	78	84	95	1.0
OG_565	51	81	85	0.9969
OG_566	65	70	111	1.0
OG_567	65	73	82	0.9874
OG_568	75	93	108	1.0
OG_569	46	70	73	1.0
OG_570	73	87	100	1.0
OG_571	70	84	98	0.9839
OG_572	80	87	97	1.0
OG_573	58	66	89	1.0
OG_574	64	70	77	0.9718
OG_575	73	117	150	1.0
OG_576	9	10	12	0.6889
OG_577	75	81	95	1.0
OG_578	76	90	115	1.0
OG_579	77	81	89	1.0
OG_580	55	64	67	0.8601
OG_581	77	81	95	1.0
OG_582	64	70	75	1.0
OG_583	60	80	86	1.0
OG_584	75	85	111	0.9563
OG_585	77	106	138	0.9872
OG_586	45	46	48	1.0
OG_587	70	95	103	1.0
OG_588	50	67	69	1.0
OG_589	68	76	87	1.0
OG_590	72	86	97	1.0
OG_591	48	51	56	1.0
OG_592	76	96	107	1.0
OG_593	37	44	45	0.9556
OG_594	74	92	110	0.9785
OG_595	46	137	144	1.0
OG_596	76	86	110	0.977
OG_597	45	52	59	0.9992
OG_598	79	114	122	1.0
OG_599	49	53	55	1.0
OG_600	4	6	8	1.0
OG_601	59	67	78	1.0
OG_602	76	99	108	1.0
