#OG_name	Aque.fasta	Spis.fasta	Mmus.fasta	Hvul.fasta	Nvec.fasta	Spolac.fasta	Dmel.fasta	Mlei.fasta	HoiH23.fasta	TrH2.fasta	Hhon.fasta	Tadh.fasta
OG_1	2	2	1	1	1	1	0	0	1	1	0	1
OG_2	0	0	1	1	1	0	0	0	1	1	1	1
OG_3	0	0	0	0	0	0	0	0	1	1	1	1
OG_4	46	45	3	10	24	15	0	1	4	3	4	3
OG_5	1	1	1	1	2	2	1	1	1	1	0	1
OG_6	0	2	1	4	4	0	1	0	1	1	0	1
OG_7	2	1	1	3	2	3	1	1	1	1	0	1
OG_8	1	1	1	1	2	1	1	1	0	1	0	1
OG_9	2	1	1	1	1	1	1	1	1	1	1	1
OG_10	3	1	3	1	3	2	2	1	1	1	1	1
OG_11	1	1	1	1	2	3	1	2	1	1	0	1
OG_12	2	4	2	1	3	1	1	1	2	1	0	1
OG_13	6	1	1	1	1	4	0	1	2	1	1	1
OG_14	0	1	1	0	0	0	0	0	1	1	1	1
OG_15	6	1	14	2	6	1	3	8	3	4	7	3
OG_16	185	53	33	39	43	83	14	33	67	57	47	62
OG_17	1	1	2	1	1	2	1	1	1	1	1	1
OG_18	0	0	0	0	0	0	0	0	1	1	1	1
OG_19	1	1	2	1	1	1	1	1	1	1	1	1
OG_20	6	2	3	2	2	4	2	1	1	2	1	2
OG_21	1	1	1	3	1	2	1	0	1	1	1	1
OG_22	2	1	1	1	1	1	1	1	1	1	1	1
OG_23	12	0	0	0	2	0	0	0	0	0	0	0
OG_24	162	10	0	8	1	1	0	25	0	0	0	0
OG_25	1	1	2	1	2	1	1	1	1	1	1	1
OG_26	0	2	3	1	4	1	1	0	1	1	1	1
OG_27	1	1	2	1	2	1	0	1	1	1	1	1
OG_28	1	1	4	4	2	1	1	1	1	1	1	1
OG_29	2	1	2	2	1	1	1	1	1	1	1	1
OG_30	1	1	1	1	1	4	1	1	1	1	1	1
OG_31	183	146	9	81	28	205	3	2	79	73	103	77
OG_32	0	0	1	0	0	0	0	0	2	4	1	5
OG_33	0	0	0	0	2	1	0	0	1	0	1	2
OG_34	1	1	1	3	2	1	1	1	1	1	1	1
OG_35	2	1	1	1	1	2	1	2	1	1	2	1
OG_36	0	0	0	0	1	0	0	0	1	1	1	1
OG_37	2	1	2	1	1	2	1	1	1	1	1	1
OG_38	1	1	1	2	2	2	0	0	0	0	0	0
OG_39	1	1	1	0	0	1	6	0	1	1	1	1
OG_40	1	1	2	0	0	2	1	0	1	1	1	1
OG_41	1	1	1	2	1	2	1	0	1	1	1	1
OG_42	1	1	2	1	1	2	1	1	1	1	1	1
OG_43	1	1	0	1	1	1	0	1	1	1	1	1
OG_44	1	1	1	1	1	1	1	1	1	1	1	1
OG_45	1	1	4	2	1	2	0	1	1	1	1	1
OG_46	18	11	1	2	5	8	0	2	2	3	3	3
OG_47	1	1	1	1	2	2	0	1	1	1	1	1
OG_48	13	1	1	2	1	6	1	0	1	1	1	1
OG_49	48	118	0	63	20	7	0	2	1	1	1	1
OG_50	2	1	2	1	2	2	1	1	1	1	1	1
OG_51	3	1	1	2	1	0	2	1	1	1	1	1
OG_52	1	1	1	2	1	5	1	2	1	1	1	1
OG_53	4	2	1	1	1	4	1	2	1	2	2	2
OG_54	0	1	2	1	2	0	1	1	1	0	1	1
OG_55	20	18	0	1	3	6	0	0	0	0	0	0
OG_56	1	1	2	1	2	5	1	1	1	1	1	1
OG_57	2	1	2	1	2	1	1	1	1	1	1	1
OG_58	2	6	3	1	4	4	2	2	2	2	2	2
OG_59	1	1	1	1	1	2	0	1	1	1	1	1
OG_60	4	0	0	0	0	3	0	0	0	0	0	0
OG_61	1	1	1	1	1	1	1	1	1	1	0	1
OG_62	1	1	2	3	1	1	1	3	2	2	2	3
OG_63	0	1	0	1	1	2	0	1	2	1	1	2
OG_64	1	1	1	1	1	2	1	0	1	1	1	1
OG_65	1	1	1	1	1	2	0	0	1	1	1	1
OG_66	1	2	2	2	1	2	1	1	1	1	1	1
OG_67	4	0	0	0	0	2	0	0	0	0	0	0
OG_68	2	0	0	0	0	2	1	0	1	1	1	1
OG_69	5	1	1	1	1	1	0	1	1	1	1	1
OG_70	1	2	1	0	1	2	1	1	1	1	1	2
OG_71	1	1	1	2	1	1	1	1	1	1	1	1
OG_72	0	0	0	0	0	2	0	0	1	1	1	1
OG_73	27	6	0	0	0	0	0	0	0	0	0	0
OG_74	164	40	0	2	13	20	0	24	0	0	0	0
OG_75	1	1	1	0	1	0	0	0	1	1	1	1
OG_76	40	0	0	16	0	1	0	0	1	1	1	1
OG_77	1	3	1	2	1	2	1	1	1	2	1	2
OG_78	0	2	1	1	1	0	0	0	1	1	1	1
OG_79	1	2	4	1	1	3	1	1	1	1	1	2
OG_80	0	26	0	0	39	0	0	0	31	30	36	34
OG_81	175	47	3	328	30	15	0	10	0	0	0	0
OG_82	1	1	1	1	1	1	1	1	1	1	1	1
OG_83	9	6	0	0	1	0	0	0	0	0	0	0
OG_84	1	1	2	1	1	1	1	1	2	1	1	2
OG_85	6	1	1	3	1	10	0	0	0	0	0	0
OG_86	6	1	0	0	1	1	0	0	0	0	0	0
OG_87	1	1	1	3	1	3	1	1	1	1	1	1
OG_88	1	1	3	1	1	1	1	2	1	1	1	1
OG_89	1	1	1	2	1	3	0	2	1	1	1	1
OG_90	1	1	1	1	4	3	1	2	1	1	1	1
OG_91	2	1	2	1	1	3	1	0	2	1	1	1
OG_92	0	1	0	0	2	0	0	0	1	1	1	1
OG_93	1	1	1	3	1	4	1	0	1	1	1	1
OG_94	1	1	2	1	1	1	1	1	1	1	1	1
OG_95	0	3	1	1	2	0	0	0	1	1	1	1
OG_96	1	1	1	1	2	1	0	0	1	1	1	1
OG_97	1	1	1	0	1	0	1	1	1	1	1	1
OG_98	1	1	1	1	3	0	1	1	1	1	1	1
OG_99	1	2	2	2	1	3	1	1	1	1	1	1
OG_100	1	1	2	0	1	1	0	0	1	1	1	1
OG_101	2	3	2	1	4	3	2	2	1	2	2	2
OG_102	1	1	1	1	3	3	1	0	1	1	1	1
OG_103	1	1	1	1	0	0	1	0	1	0	1	0
OG_104	2	1	1	2	1	1	0	0	1	1	1	1
OG_105	0	1	1	1	2	1	0	0	1	1	1	1
OG_106	2	1	1	1	1	2	1	0	1	1	1	2
OG_107	1	1	0	0	1	1	0	0	0	0	0	0
OG_108	1	2	2	2	2	2	1	1	1	1	1	1
OG_109	1	4	4	2	9	0	2	1	3	3	2	3
OG_110	1	1	1	1	3	1	0	1	1	1	1	1
OG_111	1	1	1	1	2	1	1	0	1	1	1	1
OG_112	2	1	2	1	1	1	1	1	1	1	1	1
OG_113	0	2	1	2	1	0	0	1	1	1	1	1
OG_114	2	3	1	0	1	2	1	0	1	1	1	1
OG_115	1	1	1	3	1	4	2	1	1	1	1	1
OG_116	1	1	1	1	2	2	1	1	1	1	2	1
OG_117	1	1	1	1	1	1	1	1	1	1	1	1
OG_118	2	1	1	1	6	1	1	0	1	1	1	1
OG_119	3	1	0	2	1	1	0	0	2	2	3	2
OG_120	2	1	1	1	1	3	1	1	1	1	1	1
OG_121	1	2	4	1	1	2	0	0	1	1	1	1
OG_122	0	0	0	0	0	0	0	0	1	2	1	2
OG_123	2	1	4	2	3	1	1	7	1	1	0	2
OG_124	83	97	41	53	35	40	10	19	55	51	59	56
OG_125	0	1	1	1	1	0	0	1	1	1	1	1
OG_126	0	0	0	0	0	0	0	0	1	2	2	2
OG_127	0	1	0	0	3	0	0	0	1	1	1	1
OG_128	5	1	3	2	2	1	2	1	3	4	3	3
OG_129	0	1	1	0	2	2	1	0	1	1	1	1
OG_130	6	1	1	1	2	3	1	1	1	1	1	1
OG_131	1	1	3	1	2	2	1	1	1	1	1	1
OG_132	16	7	1	5	6	9	0	1	0	0	0	0
OG_133	1	1	1	0	1	5	1	1	1	1	1	1
OG_134	3	1	1	1	1	1	1	0	0	1	1	1
OG_135	1	2	2	0	1	1	0	1	1	1	1	1
OG_136	1	2	1	1	1	1	1	2	1	1	2	1
OG_137	1	2	3	2	4	2	2	2	2	1	2	2
OG_138	1	0	1	0	1	2	0	0	1	1	1	1
OG_139	1	1	2	1	1	1	1	1	1	2	1	1
OG_140	1	1	2	0	1	3	1	0	1	1	1	1
OG_141	1	1	1	1	1	0	1	1	1	1	2	1
OG_142	1	1	2	2	1	2	0	1	1	1	1	1
OG_143	4	0	1	0	0	2	1	0	1	1	1	1
OG_144	9	8	0	1	8	2	0	4	0	0	0	0
OG_145	35	1	3	1	6	3	0	2	7	13	8	7
OG_146	2	1	1	1	2	0	1	1	1	1	1	1
OG_147	4	1	1	2	4	3	1	1	1	1	1	1
OG_148	1	1	1	0	2	2	1	1	1	1	1	1
OG_149	4	3	0	4	5	0	0	0	0	0	0	0
OG_150	5	1	1	1	1	2	1	1	1	0	1	1
OG_151	2	1	1	1	1	2	1	2	1	1	1	1
OG_152	26	12	0	75	3	4	1	0	1	1	1	1
OG_153	0	0	0	0	0	0	0	0	1	1	1	1
OG_154	1	1	1	1	1	1	1	1	1	1	1	1
OG_155	69	25	5	31	4	8	4	0	4	6	5	6
OG_156	1	1	1	1	2	3	1	1	1	1	1	1
OG_157	1	0	1	1	1	2	3	0	1	1	1	1
OG_158	1	1	1	1	1	2	2	0	0	1	1	1
OG_159	0	1	1	1	1	0	1	1	1	1	1	1
OG_160	0	3	0	2	2	0	0	2	1	1	1	1
OG_161	2	1	2	2	1	1	1	0	1	1	1	1
OG_162	157	34	2	26	25	46	1	11	18	16	31	25
OG_163	1	1	1	1	1	0	1	0	0	1	1	1
OG_164	1	0	1	1	1	2	0	0	1	1	1	1
OG_165	1	2	1	1	4	1	1	2	1	1	2	1
OG_166	4	9	1	1	7	10	2	4	2	2	2	2
OG_167	2	1	1	1	1	2	1	1	2	2	2	2
OG_168	1	1	1	2	1	1	0	2	1	1	1	1
OG_169	1	1	1	1	1	1	0	0	1	1	1	1
OG_170	2	1	1	1	1	0	2	3	1	1	1	1
OG_171	1	1	5	1	1	3	1	1	1	1	1	1
OG_172	8	0	2	0	0	3	2	3	3	2	3	2
OG_173	0	0	0	0	0	0	0	0	1	1	1	1
OG_174	2	2	3	1	1	2	2	2	1	1	1	1
OG_175	2	1	1	2	1	3	2	1	1	1	1	1
OG_176	3	3	1	2	2	3	1	0	1	1	1	1
OG_177	1	2	3	2	2	1	7	0	1	1	1	1
OG_178	1	1	1	1	2	2	0	1	1	1	1	2
OG_179	0	0	0	0	0	0	1	0	1	1	1	2
OG_180	1	1	2	1	1	1	2	1	1	1	1	1
OG_181	2	2	1	2	1	2	0	1	1	1	1	1
OG_182	4	3	1	2	2	1	1	1	1	1	1	2
OG_183	6	3	0	2	2	8	0	0	1	1	1	1
OG_184	10	15	0	1	5	3	0	0	0	0	0	0
OG_185	1	1	1	1	1	1	0	1	1	1	1	1
OG_186	0	0	0	0	0	0	0	0	1	1	1	1
OG_187	1	0	0	0	0	0	0	0	1	1	1	1
OG_188	1	1	2	4	1	1	1	1	1	1	1	1
OG_189	1	1	2	2	1	2	1	0	1	1	1	1
OG_190	99	107	31	65	80	59	15	20	31	38	38	46
OG_191	1	0	0	0	0	1	1	0	1	1	1	1
OG_192	1	1	1	1	1	1	3	1	1	1	1	1
OG_193	1	2	4	1	2	0	1	2	2	1	2	1
OG_194	1	1	1	1	3	2	0	0	1	1	1	1
OG_195	1	1	4	1	1	3	1	1	1	1	1	1
OG_196	1	1	1	1	1	4	1	1	1	1	1	1
OG_197	1	1	1	1	2	1	1	0	1	1	1	1
OG_198	1	1	2	2	3	1	2	1	1	1	1	1
OG_199	1	1	1	1	1	4	1	1	1	1	1	1
OG_200	0	6	0	2	0	0	0	0	4	7	8	8
OG_201	1	1	1	1	1	1	1	1	1	1	1	1
OG_202	2	1	0	0	1	1	3	1	1	1	2	1
OG_203	5	1	0	2	3	2	1	1	1	1	1	1
OG_204	2	1	1	2	2	2	1	1	1	1	1	1
OG_205	11	0	0	0	0	1	0	0	0	0	0	0
