#OG_name	Aque.fasta	Spis.fasta	Mmus.fasta	Hvul.fasta	Nvec.fasta	Spolac.fasta	Dmel.fasta	Mlei.fasta	HoiH23.fasta	TrH2.fasta	Hhon.fasta	Tadh.fasta
OG_1	Aque_Aqu2.1.37739_001 Aque_Aqu2.1.41688_001	Spis_XP_022806833_1 Spis_XP_022788317_1	Mmus_ENSMUST00000137824	Hvul_g26089_1	Nvec_v1g215851	Spolac_c101229_g1_i2_m.24941c101229-g1NA			HoiH23_PlH23_008000-RA	TrH2_TrispH2_005795-RA		Tadh_TriadT64150
OG_2			Mmus_ENSMUST00000020878	Hvul_g30433_1	Nvec_v1g237969				HoiH23_PlH23_000244-RA	TrH2_TrispH2_001179-RA	Hhon_g10212.t1	Tadh_wf_g5251.t1
OG_3									HoiH23_PlH23_007085-RA	TrH2_TrispH2_005807-RA	Hhon_g05592.t1	Tadh_TriadT56687
OG_4	Aque_Aqu2.1.04645_001 Aque_Aqu2.1.14250_001 Aque_Aqu2.1.15521_001 Aque_Aqu2.1.03460_001 Aque_Aqu2.1.22774_001 Aque_Aqu2.1.18763_001 Aque_Aqu2.1.21122_001 Aque_Aqu2.1.03693_001 Aque_Aqu2.1.40529_001 Aque_Aqu2.1.24231_001 Aque_Aqu2.1.00825_001 Aque_Aqu2.1.15522_001 Aque_Aqu2.1.35007_001 Aque_Aqu2.1.35016_001 Aque_Aqu2.1.29656_001 Aque_Aqu2.1.23990_001 Aque_Aqu2.1.40194_001 Aque_Aqu2.1.37341_001 Aque_Aqu2.1.26311_001 Aque_Aqu2.1.12600_001 Aque_Aqu2.1.18753_001 Aque_Aqu2.1.18128_001 Aque_Aqu2.1.14394_001 Aque_Aqu2.1.16832_001 Aque_Aqu2.1.21583_001 Aque_Aqu2.1.14181_001 Aque_Aqu2.1.35006_001 Aque_Aqu2.1.15686_001 Aque_Aqu2.1.31703_001 Aque_Aqu2.1.36902_001 Aque_Aqu2.1.00815_001 Aque_Aqu2.1.11804_001 Aque_Aqu2.1.29745_001 Aque_Aqu2.1.31049_001 Aque_Aqu2.1.26789_001 Aque_Aqu2.1.07744_001 Aque_Aqu2.1.14395_001 Aque_Aqu2.1.35455_001 Aque_Aqu2.1.28163_001 Aque_Aqu2.1.23608_001 Aque_Aqu2.1.13032_001 Aque_Aqu2.1.27317_001 Aque_Aqu2.1.18393_001 Aque_Aqu2.1.19879_001 Aque_Aqu2.1.04036_001 Aque_Aqu2.1.39523_001	Spis_XP_022786011_1 Spis_XP_022804224_1 Spis_Spis22542_1 Spis_Spis10296_1 Spis_Spis17805_1 Spis_XP_022790213_1 Spis_Spis21201_1 Spis_XP_022779084_1 Spis_XP_022801290_1 Spis_Spis1130_1 Spis_Spis5754_1 Spis_Spis20675_1 Spis_XP_022802209_1 Spis_Spis21147_1 Spis_Spis25360_1 Spis_XP_022783762_1 Spis_XP_022781134_1 Spis_Spis12387_1 Spis_Spis19587_1 Spis_Spis8335_1 Spis_XP_022806743_1 Spis_XP_022786946_1 Spis_Spis25522_1 Spis_XP_022778663_1 Spis_Spis9040_1 Spis_Spis18743_1 Spis_XP_022809792_1 Spis_XP_022800753_1 Spis_XP_022780955_1 Spis_XP_022778455_1 Spis_XP_022781103_1 Spis_XP_022805690_1 Spis_XP_022803443_1 Spis_Spis14449_1 Spis_XP_022804839_1 Spis_XP_022810308_1 Spis_XP_022809094_1 Spis_Spis23566_1 Spis_Spis10293_1 Spis_XP_022805372_1 Spis_Spis13713_1 Spis_Spis14304_1 Spis_Spis21016_1 Spis_Spis24467_1 Spis_Spis24941_1	Mmus_ENSMUST00000169036 Mmus_ENSMUST00000219577 Mmus_ENSMUST00000119211	Hvul_g31135_1 Hvul_g10982_1 Hvul_g10891_1 Hvul_g29858_1 Hvul_g20011_1 Hvul_g29149_1 Hvul_g9018_1 Hvul_g28191_1 Hvul_g21818_1 Hvul_g28192_1	Nvec_v1g197658 Nvec_NVE15906 Nvec_NVE26178 Nvec_NVE1347 Nvec_NVE12033 Nvec_v1g215613 Nvec_v1g206964 Nvec_NVE15309 Nvec_v1g90364 Nvec_v1g211739 Nvec_v1g223254 Nvec_v1g107846 Nvec_v1g111492 Nvec_v1g192346 Nvec_v1g115395 Nvec_v1g121820 Nvec_v1g195516 Nvec_NVE18428 Nvec_v1g221215 Nvec_v1g245073 Nvec_NVE2 Nvec_v1g215821 Nvec_v1g197092 Nvec_NVE18425	Spolac_c103173_g1_i2_m.32831c103173-g1 Spolac_c103173_g1_i1_m.32828c103173-g1 Spolac_c104240_g1_i6_m.39091c104240-g1 Spolac_c104240_g1_i1_m.39082c104240-g1 Spolac_c104240_g1_i5_m.39089c104240-g1 Spolac_c104240_g1_i2_m.39083c104240-g1 Spolac_c104240_g1_i3_m.39085c104240-g1 Spolac_c104240_g1_i7_m.39092c104240-g1 Spolac_c104240_g1_i2_m.39084c104240-g1 Spolac_c104240_g1_i5_m.39088c104240-g1 Spolac_c104240_g1_i4_m.39087c104240-g1 Spolac_c95180_g1_i1_m.11085c95180-g1 Spolac_c103173_g1_i1_m.32827c103173-g1 Spolac_c104240_g1_i3_m.39086c104240-g1 Spolac_c103173_g1_i2_m.32830c103173-g1		Mlei_ML0523.g7.i1	HoiH23_PlH23_010248-RA HoiH23_PlH23_009650-RA HoiH23_PlH23_005491-RA HoiH23_PlH23_002677-RA	TrH2_TrispH2_004204-RA TrH2_TrispH2_003604-RA TrH2_TrispH2_001873-RA	Hhon_g09234.t1 Hhon_g09096.t1 Hhon_g10252.t1 Hhon_g05882.t1	Tadh_TriadT52891 Tadh_TriadT32551 Tadh_TriadT56514
OG_5	Aque_Aqu2.1.33356_001	Spis_XP_022797254_1	Mmus_ENSMUST00000058754	Hvul_g19908_1	Nvec_v1g136688 Nvec_v1g199410	Spolac_c96755_g1_i1_m.13685c96755-g1 Spolac_c96755_g1_i2_m.13686c96755-g1	Dmel_FBtr0087059	Mlei_ML0074.g26.i1	HoiH23_PlH23_006344-RA	TrH2_TrispH2_005841-RA		Tadh_TriadT25296
OG_6		Spis_XP_022780590_1 Spis_XP_022785037_1	Mmus_ENSMUST00000038831	Hvul_g16167_1 Hvul_g1562_1 Hvul_g27612_1 Hvul_g1566_1	Nvec_NVE20893 Nvec_v1g213493 Nvec_v1g245803 Nvec_v1g216174		Dmel_FBtr0083559		HoiH23_PlH23_006346-RA	TrH2_TrispH2_005844-RA		Tadh_TriadT2986
OG_7	Aque_Aqu2.1.01382_001 Aque_Aqu2.1.16418_001	Spis_XP_022789143_1	Mmus_ENSMUST00000095729	Hvul_g30903_1 Hvul_g30908_1 Hvul_g30901_1	Nvec_v1g10901 Nvec_v1g131672	Spolac_c92181_g1_i1_m.7574c92181-g1 Spolac_c93145_g1_i1_m.8528c92181-g1 Spolac_c98375_g1_i1_m.17052c92181-g1	Dmel_FBtr0073469	Mlei_ML0708.g28.i1	HoiH23_PlH23_006347-RA	TrH2_TrispH2_005843-RA		Tadh_TriadT26025
OG_8	Aque_Aqu2.1.41015_001	Spis_XP_022785113_1	Mmus_ENSMUST00000022706	Hvul_g14888_1	Nvec_v1g208385 Nvec_v1g109836	Spolac_c100694_g1_i1_m.23249c100694-g1	Dmel_FBtr0301786	Mlei_ML0021.g16.i1		TrH2_TrispH2_005850-RA		Tadh_TriadT25488
OG_9	Aque_Aqu2.1.30261_001 Aque_Aqu2.1.30262_001	Spis_XP_022803091_1	Mmus_ENSMUST00000028768	Hvul_g25225_1	Nvec_v1g167541	Spolac_c88113_g1_i1_m.4768c88113-g1	Dmel_FBtr0085473	Mlei_ML0359.g9.i1	HoiH23_PlH23_005135-RA	TrH2_TrispH2_006662-RA	Hhon_g03616.t1	Tadh_TriadT57282
OG_10	Aque_Aqu2.1.30259_001 Aque_Aqu2.1.06132_001 Aque_Aqu2.1.06005_001	Spis_XP_022783087_1	Mmus_ENSMUST00000065967 Mmus_ENSMUST00000117095 Mmus_ENSMUST00000063888	Hvul_g19524_1	Nvec_v1g96298 Nvec_NVE10763 Nvec_NVE23617	Spolac_c94394_g1_i1_m.10017c94394-g1 Spolac_c94394_g2_i1_m.10018c94394-g1	Dmel_FBtr0081470 Dmel_FBtr0306974	Mlei_ML3570.g5.i1	HoiH23_PlH23_010827-RA	TrH2_TrispH2_009225-RA	Hhon_g03055.t1	Tadh_TriadT18345
