metacell	cell_type	color	transferred_annotation
1	1_darkmagenta	#8B008B	Epithelial
2	1_darkmagenta	#8B008B	Gland
3	1_darkmagenta	#8B008B	Lipophil
4	1_darkmagenta	#8B008B	Lipophil
5	1_darkmagenta	#8B008B	Lipophil
6	1_darkmagenta	#8B008B	Lipophil
7	1_darkmagenta	#8B008B	Lipophil
8	1_darkmagenta	#8B008B	Lipophil
9	1_darkmagenta	#8B008B	Lipophil
10	1_darkmagenta	#8B008B	Lipophil
11	1_darkmagenta	#8B008B	Lipophil
12	1_darkmagenta	#8B008B	Lipophil
13	1_darkmagenta	#8B008B	Lipophil
14	1_darkmagenta	#8B008B	Lipophil
15	1_darkmagenta	#8B008B	Lipophil
16	1_darkmagenta	#8B008B	Lipophil
17	1_darkmagenta	#8B008B	Gland
18	1_darkmagenta	#8B008B	Lipophil
19	1_darkmagenta	#8B008B	Lipophil
20	1_darkmagenta	#8B008B	Lipophil
21	1_darkmagenta	#8B008B	Lipophil
22	1_darkmagenta	#8B008B	Lipophil
23	1_darkmagenta	#8B008B	Lipophil
24	1_darkmagenta	#8B008B	Lipophil
25	1_darkmagenta	#8B008B	Lipophil
26	1_darkmagenta	#8B008B	Lipophil
27	1_darkmagenta	#8B008B	Lipophil
28	1_darkmagenta	#8B008B	Lipophil
29	1_darkmagenta	#8B008B	Lipophil
30	1_darkmagenta	#8B008B	Lipophil
31	1_darkmagenta	#8B008B	Lipophil
32	1_darkmagenta	#8B008B	Lipophil
33	1_darkmagenta	#8B008B	Lipophil
34	1_darkmagenta	#8B008B	Lipophil
35	1_darkmagenta	#8B008B	Lipophil
36	1_darkmagenta	#8B008B	Lipophil
37	2_chocolate2	#FF621B	Peptidergic
38	2_chocolate2	#FF621B	Peptidergic
39	2_chocolate2	#FF621B	Peptidergic
40	2_chocolate2	#FF621B	Peptidergic
41	2_chocolate2	#FF621B	Peptidergic
42	2_chocolate2	#FF621B	Peptidergic
43	2_chocolate2	#FF621B	Peptidergic
44	2_chocolate2	#FF621B	Peptidergic
45	2_chocolate2	#FF621B	Peptidergic
46	2_chocolate2	#FF621B	Epithelial
47	2_chocolate2	#FF621B	Epithelial
48	2_chocolate2	#FF621B	Peptidergic
49	2_chocolate2	#FF621B	Peptidergic
50	2_chocolate2	#FF621B	Peptidergic
51	2_chocolate2	#FF621B	Peptidergic
52	2_chocolate2	#FF621B	Peptidergic
53	2_chocolate2	#FF621B	Peptidergic
54	2_chocolate2	#FF621B	Peptidergic
55	2_chocolate2	#FF621B	Peptidergic
56	3_lightgoldenrod1	#FFEA7A	Peptidergic
57	3_lightgoldenrod1	#FFEA7A	Peptidergic
58	3_lightgoldenrod1	#FFEA7A	Peptidergic
59	3_lightgoldenrod1	#FFEA7A	Peptidergic
60	3_lightgoldenrod1	#FFEA7A	Peptidergic
61	3_lightgoldenrod1	#FFEA7A	Epithelial
62	3_lightgoldenrod1	#FFEA7A	Lipophil
63	3_lightgoldenrod1	#FFEA7A	Lipophil
64	3_lightgoldenrod1	#FFEA7A	Lipophil
65	3_lightgoldenrod1	#FFEA7A	Lipophil
66	3_lightgoldenrod1	#FFEA7A	Peptidergic
67	3_lightgoldenrod1	#FFEA7A	Lipophil
68	3_lightgoldenrod1	#FFEA7A	Peptidergic
69	3_lightgoldenrod1	#FFEA7A	Lipophil
70	3_lightgoldenrod1	#FFEA7A	Lipophil
71	3_lightgoldenrod1	#FFEA7A	Lipophil
72	3_lightgoldenrod1	#FFEA7A	Peptidergic
73	3_lightgoldenrod1	#FFEA7A	Peptidergic
74	3_lightgoldenrod1	#FFEA7A	Lipophil
75	3_lightgoldenrod1	#FFEA7A	Peptidergic
76	4_springgreen3	#00C654	Peptidergic
77	4_springgreen3	#00C654	Peptidergic
78	4_springgreen3	#00C654	Peptidergic
79	4_springgreen3	#00C654	Peptidergic
80	4_springgreen3	#00C654	Peptidergic
81	4_springgreen3	#00C654	Peptidergic
82	4_springgreen3	#00C654	Peptidergic
83	4_springgreen3	#00C654	Peptidergic
84	4_springgreen3	#00C654	Peptidergic
85	4_springgreen3	#00C654	Peptidergic
86	4_springgreen3	#00C654	Peptidergic
87	4_springgreen3	#00C654	Epithelial
88	4_springgreen3	#00C654	Peptidergic
89	4_springgreen3	#00C654	Peptidergic
90	4_springgreen3	#00C654	Peptidergic
91	4_springgreen3	#00C654	Peptidergic
92	4_springgreen3	#00C654	Peptidergic
93	4_springgreen3	#00C654	Peptidergic
94	4_springgreen3	#00C654	Epithelial
95	4_springgreen3	#00C654	Peptidergic
96	4_springgreen3	#00C654	Epithelial
97	4_springgreen3	#00C654	Peptidergic
98	4_springgreen3	#00C654	Epithelial
99	4_springgreen3	#00C654	Peptidergic
100	4_springgreen3	#00C654	Peptidergic
101	4_springgreen3	#00C654	Peptidergic
102	4_springgreen3	#00C654	Peptidergic
103	4_springgreen3	#00C654	Peptidergic
104	4_springgreen3	#00C654	Peptidergic
105	4_springgreen3	#00C654	Peptidergic
106	4_springgreen3	#00C654	Peptidergic
107	5_deepskyblue3	#00A4B6	Epithelial
108	5_deepskyblue3	#00A4B6	Epithelial
109	5_deepskyblue3	#00A4B6	Epithelial
110	5_deepskyblue3	#00A4B6	Epithelial
111	5_deepskyblue3	#00A4B6	Epithelial
112	5_deepskyblue3	#00A4B6	Epithelial
113	5_deepskyblue3	#00A4B6	Epithelial
114	5_deepskyblue3	#00A4B6	Epithelial
115	5_deepskyblue3	#00A4B6	Epithelial
116	5_deepskyblue3	#00A4B6	Epithelial
117	5_deepskyblue3	#00A4B6	Epithelial
118	5_deepskyblue3	#00A4B6	Epithelial
119	5_deepskyblue3	#00A4B6	Epithelial
120	5_deepskyblue3	#00A4B6	Epithelial
121	5_deepskyblue3	#00A4B6	Epithelial
122	5_deepskyblue3	#00A4B6	Epithelial
123	5_deepskyblue3	#00A4B6	Epithelial
124	5_deepskyblue3	#00A4B6	Epithelial
125	5_deepskyblue3	#00A4B6	Epithelial
