metacell	cell_type	color	transferred_annotation
1	1_darkmagenta	#8B008B	Gland
2	1_darkmagenta	#8B008B	Gland
3	1_darkmagenta	#8B008B	Gland
4	1_darkmagenta	#8B008B	Lipophil
5	1_darkmagenta	#8B008B	Gland
6	1_darkmagenta	#8B008B	Gland
7	1_darkmagenta	#8B008B	Gland
8	1_darkmagenta	#8B008B	Gland
9	1_darkmagenta	#8B008B	Gland
10	1_darkmagenta	#8B008B	Gland
11	1_darkmagenta	#8B008B	Gland
12	1_darkmagenta	#8B008B	Gland
13	1_darkmagenta	#8B008B	Epithelial
14	1_darkmagenta	#8B008B	Gland
15	1_darkmagenta	#8B008B	Gland
16	1_darkmagenta	#8B008B	Fiber
17	1_darkmagenta	#8B008B	Fiber
18	1_darkmagenta	#8B008B	Gland
19	1_darkmagenta	#8B008B	Gland
20	1_darkmagenta	#8B008B	Gland
21	1_darkmagenta	#8B008B	Gland
22	1_darkmagenta	#8B008B	Gland
23	1_darkmagenta	#8B008B	Gland
24	1_darkmagenta	#8B008B	Fiber
25	1_darkmagenta	#8B008B	Gland
26	1_darkmagenta	#8B008B	Fiber
27	1_darkmagenta	#8B008B	Gland
28	1_darkmagenta	#8B008B	Gland
29	1_darkmagenta	#8B008B	Gland
30	1_darkmagenta	#8B008B	Fiber
31	1_darkmagenta	#8B008B	Fiber
32	1_darkmagenta	#8B008B	Gland
33	1_darkmagenta	#8B008B	Gland
34	1_darkmagenta	#8B008B	Gland
35	1_darkmagenta	#8B008B	Gland
36	1_darkmagenta	#8B008B	Gland
37	2_chocolate2	#FF621B	Lipophil
38	2_chocolate2	#FF621B	Lipophil
39	2_chocolate2	#FF621B	Lipophil
40	2_chocolate2	#FF621B	Lipophil
41	2_chocolate2	#FF621B	Lipophil
42	2_chocolate2	#FF621B	Lipophil
43	2_chocolate2	#FF621B	Lipophil
44	2_chocolate2	#FF621B	Lipophil
45	2_chocolate2	#FF621B	Lipophil
46	2_chocolate2	#FF621B	Lipophil
47	2_chocolate2	#FF621B	Lipophil
48	2_chocolate2	#FF621B	Lipophil
49	2_chocolate2	#FF621B	Lipophil
50	2_chocolate2	#FF621B	Lipophil
51	2_chocolate2	#FF621B	Lipophil
52	2_chocolate2	#FF621B	Lipophil
53	2_chocolate2	#FF621B	Lipophil
54	2_chocolate2	#FF621B	Lipophil
55	2_chocolate2	#FF621B	Lipophil
56	2_chocolate2	#FF621B	Lipophil
57	2_chocolate2	#FF621B	Lipophil
58	2_chocolate2	#FF621B	Lipophil
59	2_chocolate2	#FF621B	Lipophil
60	3_lightgoldenrod1	#FFEA7A	Gland
61	3_lightgoldenrod1	#FFEA7A	Epithelial
62	3_lightgoldenrod1	#FFEA7A	Peptidergic
63	3_lightgoldenrod1	#FFEA7A	Peptidergic
64	3_lightgoldenrod1	#FFEA7A	Peptidergic
65	3_lightgoldenrod1	#FFEA7A	Peptidergic
66	3_lightgoldenrod1	#FFEA7A	Peptidergic
67	3_lightgoldenrod1	#FFEA7A	Peptidergic
68	3_lightgoldenrod1	#FFEA7A	Peptidergic
69	3_lightgoldenrod1	#FFEA7A	Peptidergic
70	3_lightgoldenrod1	#FFEA7A	Gland
71	3_lightgoldenrod1	#FFEA7A	Gland
72	3_lightgoldenrod1	#FFEA7A	Gland
73	3_lightgoldenrod1	#FFEA7A	Gland
74	3_lightgoldenrod1	#FFEA7A	Gland
75	3_lightgoldenrod1	#FFEA7A	Gland
76	3_lightgoldenrod1	#FFEA7A	Gland
77	3_lightgoldenrod1	#FFEA7A	Gland
78	3_lightgoldenrod1	#FFEA7A	Peptidergic
79	3_lightgoldenrod1	#FFEA7A	Peptidergic
80	3_lightgoldenrod1	#FFEA7A	Peptidergic
81	3_lightgoldenrod1	#FFEA7A	Peptidergic
82	3_lightgoldenrod1	#FFEA7A	Peptidergic
83	3_lightgoldenrod1	#FFEA7A	Gland
84	3_lightgoldenrod1	#FFEA7A	Gland
85	3_lightgoldenrod1	#FFEA7A	Peptidergic
86	3_lightgoldenrod1	#FFEA7A	Gland
87	3_lightgoldenrod1	#FFEA7A	Gland
88	3_lightgoldenrod1	#FFEA7A	Peptidergic
89	3_lightgoldenrod1	#FFEA7A	Peptidergic
90	4_springgreen3	#00C654	Gland
91	4_springgreen3	#00C654	Fiber
92	4_springgreen3	#00C654	Epithelial
93	4_springgreen3	#00C654	Epithelial
94	4_springgreen3	#00C654	Epithelial
95	4_springgreen3	#00C654	Peptidergic
96	4_springgreen3	#00C654	Epithelial
97	4_springgreen3	#00C654	Epithelial
98	4_springgreen3	#00C654	Epithelial
99	4_springgreen3	#00C654	Peptidergic
100	4_springgreen3	#00C654	Gland
101	4_springgreen3	#00C654	Gland
102	4_springgreen3	#00C654	Lipophil
103	4_springgreen3	#00C654	Gland
104	4_springgreen3	#00C654	Gland
105	4_springgreen3	#00C654	Lipophil
106	4_springgreen3	#00C654	Lipophil
107	5_deepskyblue3	#00A4B6	Peptidergic
108	5_deepskyblue3	#00A4B6	Epithelial
109	5_deepskyblue3	#00A4B6	Epithelial
110	5_deepskyblue3	#00A4B6	Peptidergic
111	5_deepskyblue3	#00A4B6	Peptidergic
112	5_deepskyblue3	#00A4B6	Peptidergic
113	5_deepskyblue3	#00A4B6	Peptidergic
114	5_deepskyblue3	#00A4B6	Peptidergic
115	5_deepskyblue3	#00A4B6	Peptidergic
116	5_deepskyblue3	#00A4B6	Peptidergic
117	5_deepskyblue3	#00A4B6	Peptidergic
118	5_deepskyblue3	#00A4B6	Peptidergic
119	5_deepskyblue3	#00A4B6	Peptidergic
120	5_deepskyblue3	#00A4B6	Peptidergic
121	5_deepskyblue3	#00A4B6	Peptidergic
122	5_deepskyblue3	#00A4B6	Peptidergic
123	5_deepskyblue3	#00A4B6	Peptidergic
124	5_deepskyblue3	#00A4B6	Peptidergic
125	5_deepskyblue3	#00A4B6	Peptidergic
126	5_deepskyblue3	#00A4B6	Epithelial
127	5_deepskyblue3	#00A4B6	Epithelial
128	5_deepskyblue3	#00A4B6	Epithelial
129	5_deepskyblue3	#00A4B6	Epithelial
130	5_deepskyblue3	#00A4B6	Peptidergic
131	5_deepskyblue3	#00A4B6	Epithelial
132	5_deepskyblue3	#00A4B6	Peptidergic
133	5_deepskyblue3	#00A4B6	Peptidergic
134	5_deepskyblue3	#00A4B6	Epithelial
135	5_deepskyblue3	#00A4B6	
136	5_deepskyblue3	#00A4B6	Peptidergic
137	5_deepskyblue3	#00A4B6	Peptidergic
138	5_deepskyblue3	#00A4B6	Epithelial
139	5_deepskyblue3	#00A4B6	Epithelial
140	5_deepskyblue3	#00A4B6	Peptidergic
141	5_deepskyblue3	#00A4B6	Peptidergic
142	5_deepskyblue3	#00A4B6	Epithelial
143	5_deepskyblue3	#00A4B6	Epithelial
144	6_lightskyblue	#82D2F7	Peptidergic
145	6_lightskyblue	#82D2F7	Peptidergic
146	6_lightskyblue	#82D2F7	Peptidergic
147	6_lightskyblue	#82D2F7	Peptidergic
148	6_lightskyblue	#82D2F7	Epithelial
149	6_lightskyblue	#82D2F7	Epithelial
150	6_lightskyblue	#82D2F7	Epithelial
151	6_lightskyblue	#82D2F7	Epithelial
152	6_lightskyblue	#82D2F7	Epithelial
153	6_lightskyblue	#82D2F7	Epithelial
154	6_lightskyblue	#82D2F7	Peptidergic
155	6_lightskyblue	#82D2F7	Peptidergic
156	6_lightskyblue	#82D2F7	Epithelial
157	6_lightskyblue	#82D2F7	Epithelial
158	6_lightskyblue	#82D2F7	Peptidergic
159	6_lightskyblue	#82D2F7	Lipophil
160	6_lightskyblue	#82D2F7	Peptidergic
161	6_lightskyblue	#82D2F7	Peptidergic
162	6_lightskyblue	#82D2F7	Peptidergic
163	6_lightskyblue	#82D2F7	Lipophil
164	6_lightskyblue	#82D2F7	Peptidergic
165	6_lightskyblue	#82D2F7	Peptidergic
166	6_lightskyblue	#82D2F7	Peptidergic
167	6_lightskyblue	#82D2F7	Peptidergic
168	7_purple3	#5400D0	Lipophil
169	7_purple3	#5400D0	Lipophil
170	7_purple3	#5400D0	Lipophil
171	7_purple3	#5400D0	Lipophil
172	7_purple3	#5400D0	Lipophil
173	7_purple3	#5400D0	Lipophil
174	7_purple3	#5400D0	Lipophil
175	7_purple3	#5400D0	Lipophil
176	7_purple3	#5400D0	Lipophil
177	7_purple3	#5400D0	Lipophil
178	7_purple3	#5400D0	Lipophil
179	7_purple3	#5400D0	Lipophil
180	8_violet	#EE82EE	Epithelial
181	8_violet	#EE82EE	Epithelial
182	8_violet	#EE82EE	Epithelial
183	8_violet	#EE82EE	Epithelial
184	8_violet	#EE82EE	Epithelial
185	8_violet	#EE82EE	Peptidergic
186	8_violet	#EE82EE	Peptidergic
187	8_violet	#EE82EE	Epithelial
188	8_violet	#EE82EE	Epithelial
189	8_violet	#EE82EE	Epithelial
190	8_violet	#EE82EE	Epithelial
191	8_violet	#EE82EE	Epithelial
192	8_violet	#EE82EE	Epithelial
193	8_violet	#EE82EE	Epithelial
194	8_violet	#EE82EE	Epithelial
195	8_violet	#EE82EE	Epithelial
196	8_violet	#EE82EE	Epithelial
197	8_violet	#EE82EE	Epithelial
198	8_violet	#EE82EE	Epithelial
199	8_violet	#EE82EE	Epithelial
200	8_violet	#EE82EE	Epithelial
201	8_violet	#EE82EE	Epithelial
202	8_violet	#EE82EE	Peptidergic
203	8_violet	#EE82EE	Epithelial
204	8_violet	#EE82EE	Epithelial
205	8_violet	#EE82EE	Epithelial
206	8_violet	#EE82EE	Epithelial
207	8_violet	#EE82EE	Lipophil
208	8_violet	#EE82EE	Lipophil
