metacell	cell_type	color	transferred_annotation
1	1_darkmagenta	#8B008B	Lipophil
2	1_darkmagenta	#8B008B	Gland
3	1_darkmagenta	#8B008B	Gland
4	1_darkmagenta	#8B008B	Lipophil
5	1_darkmagenta	#8B008B	Gland
6	1_darkmagenta	#8B008B	Fiber
7	1_darkmagenta	#8B008B	Gland
8	1_darkmagenta	#8B008B	Gland
9	1_darkmagenta	#8B008B	Gland
10	1_darkmagenta	#8B008B	Gland
11	1_darkmagenta	#8B008B	Gland
12	1_darkmagenta	#8B008B	Gland
13	1_darkmagenta	#8B008B	Gland
14	1_darkmagenta	#8B008B	Gland
15	1_darkmagenta	#8B008B	Lipophil
16	1_darkmagenta	#8B008B	Lipophil
17	1_darkmagenta	#8B008B	Gland
18	1_darkmagenta	#8B008B	Gland
19	1_darkmagenta	#8B008B	Lipophil
20	1_darkmagenta	#8B008B	Gland
21	1_darkmagenta	#8B008B	Gland
22	1_darkmagenta	#8B008B	Gland
23	1_darkmagenta	#8B008B	Gland
24	1_darkmagenta	#8B008B	Gland
25	1_darkmagenta	#8B008B	Lipophil
26	1_darkmagenta	#8B008B	Gland
27	2_firebrick1	#FF3C2A	Peptidergic
28	2_firebrick1	#FF3C2A	Gland
29	2_firebrick1	#FF3C2A	Epithelial
30	2_firebrick1	#FF3C2A	Epithelial
31	2_firebrick1	#FF3C2A	Peptidergic
32	2_firebrick1	#FF3C2A	Gland
33	2_firebrick1	#FF3C2A	Epithelial
34	2_firebrick1	#FF3C2A	Epithelial
35	2_firebrick1	#FF3C2A	Epithelial
36	2_firebrick1	#FF3C2A	Gland
37	2_firebrick1	#FF3C2A	Gland
38	2_firebrick1	#FF3C2A	Gland
39	2_firebrick1	#FF3C2A	Gland
40	2_firebrick1	#FF3C2A	Gland
41	2_firebrick1	#FF3C2A	Gland
42	2_firebrick1	#FF3C2A	Gland
43	2_firebrick1	#FF3C2A	Gland
44	2_firebrick1	#FF3C2A	Gland
45	2_firebrick1	#FF3C2A	Fiber
46	2_firebrick1	#FF3C2A	Gland
47	2_firebrick1	#FF3C2A	Epithelial
48	2_firebrick1	#FF3C2A	Gland
49	2_firebrick1	#FF3C2A	Gland
50	2_firebrick1	#FF3C2A	Gland
51	2_firebrick1	#FF3C2A	Gland
52	2_firebrick1	#FF3C2A	Peptidergic
53	2_firebrick1	#FF3C2A	Gland
54	2_firebrick1	#FF3C2A	Gland
55	2_firebrick1	#FF3C2A	Gland
56	2_firebrick1	#FF3C2A	Peptidergic
57	3_goldenrod1	#FFB61F	Peptidergic
58	3_goldenrod1	#FFB61F	Peptidergic
59	3_goldenrod1	#FFB61F	Lipophil
60	3_goldenrod1	#FFB61F	Lipophil
61	3_goldenrod1	#FFB61F	Lipophil
62	3_goldenrod1	#FFB61F	Lipophil
63	3_goldenrod1	#FFB61F	Peptidergic
64	3_goldenrod1	#FFB61F	Peptidergic
65	3_goldenrod1	#FFB61F	
66	3_goldenrod1	#FFB61F	Peptidergic
67	3_goldenrod1	#FFB61F	Peptidergic
68	3_goldenrod1	#FFB61F	Peptidergic
69	3_goldenrod1	#FFB61F	Peptidergic
70	3_goldenrod1	#FFB61F	Lipophil
71	3_goldenrod1	#FFB61F	Peptidergic
72	3_goldenrod1	#FFB61F	Peptidergic
73	3_goldenrod1	#FFB61F	Peptidergic
74	3_goldenrod1	#FFB61F	Peptidergic
75	3_goldenrod1	#FFB61F	Lipophil
76	3_goldenrod1	#FFB61F	Peptidergic
77	3_goldenrod1	#FFB61F	Peptidergic
78	3_goldenrod1	#FFB61F	Peptidergic
79	3_goldenrod1	#FFB61F	Peptidergic
80	3_goldenrod1	#FFB61F	Peptidergic
81	3_goldenrod1	#FFB61F	Epithelial
82	3_goldenrod1	#FFB61F	Peptidergic
83	3_goldenrod1	#FFB61F	Peptidergic
84	3_goldenrod1	#FFB61F	Epithelial
85	3_goldenrod1	#FFB61F	Peptidergic
86	3_goldenrod1	#FFB61F	Peptidergic
87	3_goldenrod1	#FFB61F	Peptidergic
88	4_palegreen	#AAF386	Peptidergic
89	4_palegreen	#AAF386	Epithelial
90	4_palegreen	#AAF386	Epithelial
91	4_palegreen	#AAF386	Epithelial
92	4_palegreen	#AAF386	Peptidergic
93	4_palegreen	#AAF386	Peptidergic
94	4_palegreen	#AAF386	Epithelial
95	4_palegreen	#AAF386	Epithelial
96	4_palegreen	#AAF386	Epithelial
97	4_palegreen	#AAF386	Epithelial
98	4_palegreen	#AAF386	Epithelial
99	4_palegreen	#AAF386	Peptidergic
100	4_palegreen	#AAF386	Peptidergic
101	4_palegreen	#AAF386	Peptidergic
