metacell	num_cells	umis_tot	cell_size_mean	cell_size_Q1	cell_size_Q2	cell_size_Q3	log2_fc_mean	log2_fc_Q1	log2_fc_Q2	log2_fc_Q3	log2_fc_Qp95
1	94	289496	3079.74468085106	2151	2853	3825.5	0.336624903484537	0.0342604235320536	0.07164933920075	0.164008608886289	0.576845812809414
2	35	119904	3425.82857142857	2579	3283	4433.5	0.396376485421174	0.081864159365445	0.115853037329318	0.237173231654037	0.615527202255236
3	74	325262	4395.43243243243	3443.25	4011.5	5141.75	0.302013936246143	0.0305628575036536	0.0782805090957268	0.160584240908876	0.523219638533994
4	85	412926	4857.95294117647	2835	4216	5879	0.259146075933817	0.0241137746885826	0.0717348574620326	0.157387874071532	0.594968991151896
5	56	242252	4325.92857142857	3691	4367	5110.25	0.366202349816374	0.0409491721205697	0.0812571210080492	0.198598461308485	0.67652856325918
6	82	358489	4371.81707317073	3026	4019	5151.25	0.267775921317748	0.0277445917067009	0.0620718744721979	0.132058876674324	0.444464305334863
7	82	507876	6193.60975609756	4115.5	5526	8000.5	0.26384093985598	0.0310804538757568	0.0707988131512828	0.182299743432893	0.673810379540739
8	85	496217	5837.84705882353	4364	5645	7134	0.280254649827568	0.0400736638085733	0.0814214054460905	0.196421649282446	0.726961757003243
9	61	264791	4340.83606557377	2997	4208	5125	0.304061506825265	0.0392388930855641	0.109114360804216	0.242964036592233	0.837959183251644
10	54	251939	4665.53703703704	3111.5	4241	5935.5	0.288007178189001	0.0394049122882235	0.101325084207215	0.227886946654719	0.726326840639864
11	71	17219	242.521126760563	142.5	189	300.5	0.668913702503246	0.280283031682197	0.430372918861994	0.604232970965836	1.04318741195674
12	36	35598	988.833333333333	726.75	827.5	1282.5	0.569363764520652	0.120650959254235	0.223472879866642	0.323540126655793	0.69671998124745
13	108	73031	676.212962962963	409.25	566	916.25	0.346137210361691	0.0844083410602774	0.131216203181033	0.249489933820303	0.500779792567476
14	50	107491	2149.82	1442.5	2086	2580.5	0.535526299000765	0.0751501361810134	0.112762863911879	0.253860292613867	0.780753161279169
15	78	169872	2177.84615384615	1271.25	1892	2909.5	0.424080787811068	0.0579505660528474	0.0910302614470032	0.221755685743742	0.901150985361574
16	55	74035	1346.09090909091	925	1311	1709.5	0.488957715253135	0.0792500909136891	0.129898480068723	0.248140122030741	0.572479768866935
17	87	198560	2282.29885057471	1716	2108	2617.5	0.384862213113691	0.0496978608101139	0.0746781719075946	0.145335339104433	0.552376562022448
18	71	210371	2962.97183098592	2227	2746	3504	0.35072146043183	0.046994092445585	0.0834427705044831	0.163771223824373	0.520951653399462
19	51	130896	2566.58823529412	1993	2302	3107	0.400549267446381	0.074937668477704	0.104007150493162	0.216790401823846	0.722168792392511
20	67	149313	2228.55223880597	1751.5	2104	2610.5	0.411180496169066	0.0657975393618714	0.0982503796849033	0.190213444961686	0.493557772168831
21	104	217977	2095.93269230769	1515.75	2027.5	2603	0.432339096509561	0.0453105799770602	0.0678567996469269	0.132718172647156	0.426500672508488
22	55	108635	1975.18181818182	1591	1905	2213.5	0.406649257510064	0.0766764769656144	0.108304983651626	0.222715068909894	0.591037294536777
23	68	115677	1701.13235294118	1442.5	1673.5	1945.5	0.461316008830056	0.0719708881657272	0.10471073225448	0.209525988703673	0.537687332179487
24	30	39262	1308.73333333333	1003.25	1294	1596.75	0.598653083312286	0.109560390496923	0.216818695562035	0.348289428070145	0.805709016576349
25	76	94514	1243.60526315789	998.25	1190	1432.75	0.523217670399789	0.0636176936390258	0.102555337591042	0.199150283634439	0.572152992565414
26	68	127980	1882.05882352941	1487.75	1712.5	2235.25	0.495857763442835	0.0600410045592353	0.088539174208273	0.191134126534846	0.598020719821173
27	91	249299	2739.54945054945	2061	2608	3265	0.373579989286058	0.0397139664523051	0.0817812010906776	0.180121548132671	0.575611653737403
28	85	185884	2186.87058823529	1741	2138	2586	0.437237317320255	0.0530302484213937	0.0868119325626028	0.173178540377087	0.606454212408465
29	39	56691	1453.61538461538	1111.5	1326	1762	0.52815171958857	0.0862045864079283	0.167821088789715	0.298305461272881	0.731771845093005
30	35	69637	1989.62857142857	1139.5	1576	2795.5	0.353686210799438	0.0967990773813846	0.14427270682448	0.281143154816363	0.636687786748188
31	50	119451	2389.02	1745.25	2311.5	3071.25	0.371063611704024	0.0819283460566249	0.122388300087582	0.236340918242943	0.67085122750769
32	101	232331	2300.30693069307	1644	1976	2726	0.345632599705201	0.0425562005125819	0.0841735716603459	0.157666101361445	0.489433320741309
33	100	216203	2162.03	1603.25	2147	2526	0.343752614288325	0.045682540979322	0.0974172464220111	0.21798784601021	0.649916766472994
34	23	35503	1543.60869565217	1080	1678	1856.5	0.412774674595554	0.156280696362875	0.260878258030718	0.439658992955511	0.862725505354811
35	88	176389	2004.42045454545	1564	1933.5	2301.75	0.386917131053149	0.0558226922346476	0.109982748882346	0.214045251931783	0.673652740646357
36	71	76887	1082.91549295775	806.5	1038	1277.5	0.424125338586416	0.0843548181753929	0.132127196967385	0.257678188537622	0.650103483360882
37	67	210811	3146.4328358209	2385.5	3195	3685	0.541013154812403	0.0567944794452406	0.152345048156785	0.377073741878471	1.29834406553397
38	95	396187	4170.38947368421	3010.5	4165	4923	0.490158016158044	0.0499756629697064	0.135748212978788	0.348179253589853	1.21521250149212
39	43	160355	3729.18604651163	2482.5	3611	4830.5	0.495354213086991	0.0658240694943969	0.179344761825494	0.395253753956064	1.16794497559258
40	108	277261	2567.23148148148	2018.75	2539	3102	0.520536345761654	0.0562256629276224	0.137292667225147	0.334511157753794	1.22704872480137
41	99	193743	1957	1372.5	1892	2402	0.555379188368211	0.0508877601431151	0.148563256220963	0.372261769390143	1.34778612956722
42	80	597542	7469.275	5426.75	7430	9553	0.462222894513449	0.0372867885504279	0.115982425719843	0.331233246355888	1.26112586701606
43	85	428571	5042.01176470588	3183	4145	6483	0.44937999882298	0.046298435213362	0.114418339552058	0.311279359517847	1.19360444281172
44	46	227259	4940.41304347826	3027.5	4585	7090	0.510599003280266	0.0582482263773334	0.157754225621643	0.377013007387219	1.31951501660907
45	51	158792	3113.56862745098	2252.5	2810	3685.5	0.593103626233646	0.0620515779633756	0.162664923999547	0.379284934674623	1.36646685730014
