metacell	num_cells	umis_tot	cell_size_mean	cell_size_Q1	cell_size_Q2	cell_size_Q3	log2_fc_mean	log2_fc_Q1	log2_fc_Q2	log2_fc_Q3	log2_fc_Qp95
1	116	22255	191.853448275862	115	144.5	194.25	0.514391535224907	0.242471586328864	0.392195658878361	0.524296977148697	0.996124243939914
2	102	28217	276.637254901961	137	182.5	354.5	0.473425343923002	0.201004751027664	0.317865916307439	0.48376865522314	0.919497484680713
3	68	16221	238.544117647059	153.75	192.5	264	0.754043458150877	0.337476922524061	0.515510624600745	0.752885620681229	1.41899959424219
4	44	18053	410.295454545455	290.5	374.5	536.5	0.869832158577105	0.314804357766459	0.47195888967567	0.749060266710059	1.49852475019992
5	101	39477	390.861386138614	241	365	480	0.690474448663088	0.183364162487747	0.306807598904433	0.555739484424968	1.27203764025806
6	43	26011	604.906976744186	453.5	588	673	0.805838914492089	0.222376049959071	0.343284694279687	0.624474294426216	1.44822333845093
7	57	21438	376.105263157895	246	333	483	0.741533430885157	0.244221800257996	0.406319313991296	0.613544846288112	1.36369724845552
8	72	45513	632.125	449	581.5	720.25	0.646101297867995	0.154611958580363	0.25015883292596	0.484366556214068	1.17991699465889
9	65	51977	799.646153846154	607	752	885	0.702530931097007	0.158412639313978	0.247881987549879	0.468823759480145	1.19197737398337
10	147	45321	308.30612244898	192	266	388	0.639460840853542	0.15766178676448	0.247042840613723	0.484527153302982	1.22627299195931
11	38	21690	570.789473684211	295.5	426.5	760.75	0.779015859200042	0.259577506142609	0.403270259393868	0.667164941482552	1.37887574466087
12	36	25296	702.666666666667	498.25	671	853.25	0.876744764995937	0.213720474530196	0.352385095944007	0.6130605206776	1.547821433183
13	124	322788	2603.12903225806	1313.75	2192	3426.25	0.425943089854782	0.0484961279886689	0.108034810069425	0.228438471999995	0.806787212209241
14	71	200471	2823.53521126761	1502.5	2339	3425.5	0.306871822630055	0.0492756390112316	0.0973834333341103	0.2119719398864	0.667794954476395
15	30	129747	4324.9	2805	4498.5	5446.5	0.38263123693617	0.0759363656886684	0.1112669215814	0.221510920343008	0.773657207097481
