gene	transcript	orthogroup	species	gene_module
Tadh_TriadG64384	Tadh_TriadT64384	OG_7092	Tadh	Tadh.sienna3
Tadh_TriadG57870	Tadh_TriadT57870	OG_5253	Tadh	Tadh.sienna3
Tadh_TriadG35864	Tadh_TriadT35864	OG_6224	Tadh	Tadh.sienna3
Tadh_TriadG37971	Tadh_TriadT37971	OG_7369	Tadh	Tadh.sienna3
Tadh_TriadG5255	Tadh_TriadT5255	OG_7035	Tadh	Tadh.sienna3
Tadh_TriadG63088	Tadh_TriadT63088	OG_5676	Tadh	Tadh.sienna3
Tadh_TriadG64380	Tadh_TriadT64380	OG_5132	Tadh	Tadh.sienna3
Tadh_TriadG55983	Tadh_TriadT55983	OG_6274	Tadh	Tadh.sienna3
Tadh_TriadG64060	Tadh_TriadT64060	OG_5252	Tadh	Tadh.sienna3
Tadh_TriadG63128	Tadh_TriadT63128	OG_7369	Tadh	Tadh.sienna3
Tadh_TriadG37961	Tadh_TriadT37961	OG_2063	Tadh	Tadh.sienna3
Tadh_TriadG60387	Tadh_TriadT60387	OG_4807	Tadh	Tadh.sienna3
Tadh_TriadG442	Tadh_TriadT442	OG_10186	Tadh	Tadh.sienna3
Tadh_TriadG64282	Tadh_TriadT64282	OG_6685	Tadh	Tadh.sienna3
Tadh_TriadG63449	Tadh_TriadT63449	OG_7369	Tadh	Tadh.sienna3
Tadh_TriadG61721	Tadh_TriadT61721	OG_3966	Tadh	Tadh.sienna3
Tadh_TriadG31061	Tadh_TriadT31061	OG_6687	Tadh	Tadh.sienna3
Tadh_TriadG59995	Tadh_TriadT59995	OG_4657	Tadh	Tadh.sienna3
Tadh_TriadG59391	Tadh_TriadT59391	OG_3111	Tadh	Tadh.sienna3
Tadh_TriadG58902	Tadh_TriadT58902	OG_7807	Tadh	Tadh.sienna3
Tadh_TriadG64061	Tadh_TriadT64061	OG_5253	Tadh	Tadh.sienna3
Tadh_TriadG63140	Tadh_TriadT63140	OG_9611	Tadh	Tadh.sienna3
Tadh_TriadG54735	Tadh_TriadT54735	OG_5671	Tadh	Tadh.sienna3
Tadh_TriadG9560	Tadh_TriadT9560	OG_3163	Tadh	Tadh.sienna3
Tadh_wf_g10347	Tadh_wf_g10347.t1	OG_6645	Tadh	Tadh.sienna3
Tadh_TriadG56729	Tadh_TriadT56729	OG_3780	Tadh	Tadh.sienna3
Tadh_TriadG60079	Tadh_TriadT60079	OG_4657	Tadh	Tadh.sienna3
Tadh_TriadG64349	Tadh_TriadT64349	OG_4862	Tadh	Tadh.sienna3
Tadh_TriadG59698	Tadh_TriadT59698	OG_1664	Tadh	Tadh.sienna3
