orthogroup	presence	gain	loss	n_gains	n_losses	n_presences
OG_10036	HoiH23	HoiH23		1	0	1
OG_10056	HoiH23	HoiH23		1	0	1
OG_10153	Hhon,HoiH23,TrH2	Placozoa	Tadh	1	1	6
OG_10226	Hhon	Hhon		1	0	1
OG_10256	TrH2	TrH2		1	0	1
OG_10259	TrH2	TrH2		1	0	1
OG_1030	HoiH23	HoiH23		1	0	1
OG_10346	TrH2	TrH2		1	0	1
OG_10615	TrH2	TrH2		1	0	1
OG_10674	Hhon,TrH2	Placozoa	HoiH23,Tadh	1	2	5
OG_10861	Hhon,HoiH23	Hoilungia		1	0	3
OG_1097	HoiH23	HoiH23		1	0	1
OG_112	HoiH23	HoiH23		1	0	1
OG_114	Hhon,HoiH23	Hoilungia		1	0	3
OG_1298	Hhon,TrH2	Placozoa	HoiH23,Tadh	1	2	5
OG_1400	Hhon,HoiH23,TrH2	Placozoa	Tadh	1	1	6
OG_1455	Hhon	Hhon		1	0	1
OG_1527	HoiH23	HoiH23		1	0	1
OG_1541	Hhon	Hhon		1	0	1
OG_1650	HoiH23	HoiH23		1	0	1
OG_1735	Hhon	Hhon		1	0	1
OG_174	HoiH23	HoiH23		1	0	1
OG_1776	HoiH23	HoiH23		1	0	1
OG_1857	Hhon	Hhon		1	0	1
OG_2028	TrH2	TrH2		1	0	1
OG_225	Hhon,HoiH23	Hoilungia		1	0	3
OG_2314	Hhon	Hhon		1	0	1
OG_2453	HoiH23	HoiH23		1	0	1
OG_2651	Hhon,HoiH23	Hoilungia		1	0	4
OG_2728	HoiH23,TrH2	Placozoa	Hhon,Tadh	1	2	5
OG_2822	HoiH23	HoiH23		1	0	1
OG_2964	Hhon	Hhon		1	0	1
OG_2975	Hhon	Hhon		1	0	1
OG_3012	HoiH23,TrH2	Placozoa	Hhon,Tadh	1	2	5
OG_3185	Hhon,HoiH23,TrH2	Placozoa	Tadh	1	1	6
OG_3225	Hhon	Hhon		1	0	2
OG_3302	Hhon,HoiH23,TrH2	Placozoa	Tadh	1	1	7
OG_3333	HoiH23	HoiH23		1	0	1
OG_3398	HoiH23	HoiH23		1	0	1
OG_3565	Hhon	Hhon		1	0	2
OG_3568	TrH2	TrH2		1	0	1
OG_3569	Hhon,HoiH23	Hoilungia		1	0	3
OG_3665	HoiH23	HoiH23		1	0	1
OG_3695	HoiH23,TrH2	Placozoa	Hhon,Tadh	1	2	5
OG_3794	HoiH23	HoiH23		1	0	1
OG_3812	HoiH23	HoiH23		1	0	1
OG_3824	Hhon,HoiH23	Hoilungia		1	0	3
OG_3937	Hhon,HoiH23	Hoilungia		1	0	3
OG_4082	HoiH23	HoiH23		1	0	1
OG_4176	Hhon,HoiH23,TrH2	Placozoa	Tadh	1	1	6
OG_4220	Hhon,HoiH23	Hoilungia		1	0	3
OG_4242	HoiH23,TrH2	Placozoa	Hhon,Tadh	1	2	5
OG_4321	Hhon,HoiH23,TrH2	Placozoa	Tadh	1	1	6
OG_4405	HoiH23	HoiH23		1	0	1
OG_4434	HoiH23	HoiH23		1	0	1
OG_4462	TrH2	TrH2		1	0	1
OG_4505	TrH2	TrH2		1	0	1
OG_4634	Hhon	Hhon		1	0	1
OG_4663	Hhon,HoiH23	Hoilungia		1	0	3
OG_4694	HoiH23	HoiH23		1	0	1
OG_4698	TrH2	TrH2		1	0	1
OG_4701	Hhon	Hhon		1	0	2
OG_4812	Hhon,TrH2	Placozoa	HoiH23,Tadh	1	2	5
OG_4818	HoiH23,TrH2	Placozoa	Hhon,Tadh	1	2	5
OG_4892	TrH2	TrH2		1	0	1
OG_4925	Hhon	Hhon		1	0	1
OG_4928	Hhon	Hhon		1	0	1
OG_4956	Hhon	Hhon		1	0	1
OG_4994	HoiH23	HoiH23		1	0	1
OG_5047	Hhon	Hhon		1	0	1
OG_5067	HoiH23	HoiH23		1	0	1
OG_5112	Hhon	Hhon		1	0	1
OG_5127	Hhon	Hhon		1	0	1
OG_5175	Hhon	Hhon		1	0	1
OG_5223	HoiH23	HoiH23		1	0	1
OG_5250	Hhon,HoiH23	Hoilungia		1	0	3
OG_529	HoiH23	HoiH23		1	0	1
OG_5322	HoiH23	HoiH23		1	0	1
OG_5323	Hhon	Hhon		1	0	1
