gene	transcript	orthogroup	species	gene_module
Tadh_TriadG38015	Tadh_TriadT38015	OG_4273	Tadh	Tadh.floralwhite
Tadh_TriadG22667	Tadh_TriadT22667	OG_7256	Tadh	Tadh.floralwhite
Tadh_TriadG55621	Tadh_TriadT55621	OG_9878	Tadh	Tadh.floralwhite
Tadh_TriadG26794	Tadh_TriadT26794	OG_7075	Tadh	Tadh.floralwhite
Tadh_TriadG63736	Tadh_TriadT63736	OG_9398	Tadh	Tadh.floralwhite
Tadh_TriadG57149	Tadh_TriadT57149	OG_8941	Tadh	Tadh.floralwhite
Tadh_TriadG50649	Tadh_TriadT50649	OG_6899	Tadh	Tadh.floralwhite
Tadh_TriadG64225	Tadh_TriadT64225	OG_2643	Tadh	Tadh.floralwhite
Tadh_TriadG8416	Tadh_TriadT8416	OG_6728	Tadh	Tadh.floralwhite
Tadh_TriadG33631	Tadh_TriadT33631	OG_7956	Tadh	Tadh.floralwhite
Tadh_wf_g3872	Tadh_wf_g3872.t1	OG_6416	Tadh	Tadh.floralwhite
Tadh_TriadG51503	Tadh_TriadT51503	OG_9472	Tadh	Tadh.floralwhite
Tadh_TriadG37531	Tadh_TriadT37531	OG_7868	Tadh	Tadh.floralwhite
Tadh_TriadG53171	Tadh_TriadT53171	OG_3274	Tadh	Tadh.floralwhite
Tadh_TriadG63986	Tadh_TriadT63986	OG_9022	Tadh	Tadh.floralwhite
Tadh_TriadG64168	Tadh_TriadT64168	OG_7431	Tadh	Tadh.floralwhite
Tadh_TriadG7686	Tadh_TriadT7686	OG_4987	Tadh	Tadh.floralwhite
Tadh_TriadG55150	Tadh_TriadT55150	OG_8512	Tadh	Tadh.floralwhite
Tadh_TriadG52131	Tadh_TriadT52131	OG_10714	Tadh	Tadh.floralwhite
Tadh_TriadG38398	Tadh_TriadT38398	OG_7484	Tadh	Tadh.floralwhite
Tadh_TriadG63979	Tadh_TriadT63979	OG_5007	Tadh	Tadh.floralwhite
Tadh_TriadG38231	Tadh_TriadT38231	OG_10195	Tadh	Tadh.floralwhite
Tadh_TriadG55706	Tadh_TriadT55706	OG_7472	Tadh	Tadh.floralwhite
Tadh_TriadG3271	Tadh_TriadT3271	OG_4372	Tadh	Tadh.floralwhite
Tadh_TriadG54088	Tadh_TriadT54088	OG_771	Tadh	Tadh.floralwhite
Tadh_wf_g7467	Tadh_wf_g7467.t1	OG_3918	Tadh	Tadh.floralwhite
Tadh_TriadG63622	Tadh_TriadT63622	OG_1028	Tadh	Tadh.floralwhite
Tadh_TriadG27270	Tadh_TriadT27270	OG_4300	Tadh	Tadh.floralwhite
Tadh_TriadG23659	Tadh_TriadT23659	OG_6869	Tadh	Tadh.floralwhite
Tadh_TriadG54175	Tadh_TriadT54175	OG_3094	Tadh	Tadh.floralwhite
Tadh_TriadG23559	Tadh_TriadT23559	OG_7396	Tadh	Tadh.floralwhite
Tadh_TriadG38183	Tadh_TriadT38183	OG_6247	Tadh	Tadh.floralwhite
Tadh_TriadG50007	Tadh_TriadT50007	OG_10753	Tadh	Tadh.floralwhite
Tadh_TriadG50312	Tadh_TriadT50312	OG_1630	Tadh	Tadh.floralwhite
Tadh_TriadG56174	Tadh_TriadT56174	OG_8379	Tadh	Tadh.floralwhite
Tadh_TriadG31943	Tadh_TriadT31943	OG_9123	Tadh	Tadh.floralwhite
Tadh_TriadG28604	Tadh_TriadT28604	OG_4526	Tadh	Tadh.floralwhite
Tadh_TriadG57904	Tadh_TriadT57904	OG_966	Tadh	Tadh.floralwhite
Tadh_TriadG56415	Tadh_TriadT56415	OG_1514	Tadh	Tadh.floralwhite
Tadh_TriadG26336	Tadh_TriadT26336	OG_9028	Tadh	Tadh.floralwhite
Tadh_TriadG9459	Tadh_TriadT9459	OG_10106	Tadh	Tadh.floralwhite
Tadh_TriadG62351	Tadh_TriadT62351	OG_1457	Tadh	Tadh.floralwhite
Tadh_TriadG50975	Tadh_TriadT50975	OG_4575	Tadh	Tadh.floralwhite
Tadh_TriadG33018	Tadh_TriadT33018	OG_914	Tadh	Tadh.floralwhite
Tadh_TriadG38177	Tadh_TriadT38177	OG_9637	Tadh	Tadh.floralwhite
Tadh_TriadG58388	Tadh_TriadT58388	OG_1838	Tadh	Tadh.floralwhite
Tadh_TriadG49822	Tadh_TriadT49822	OG_8506	Tadh	Tadh.floralwhite
Tadh_TriadG62347	Tadh_TriadT62347	OG_1459	Tadh	Tadh.floralwhite
Tadh_TriadG28388	Tadh_TriadT28388	OG_7714	Tadh	Tadh.floralwhite
Tadh_TriadG63497	Tadh_TriadT63497	OG_7019	Tadh	Tadh.floralwhite
