gene	transcript	orthogroup	species	gene_module
Tadh_TriadG62222	Tadh_TriadT62222	OG_6278	Tadh	Tadh.brown4
Tadh_wf_g10892	Tadh_wf_g10892.t1	OG_3079	Tadh	Tadh.brown4
Tadh_wf_g7136	Tadh_wf_g7136.t1	OG_4376	Tadh	Tadh.brown4
Tadh_TriadG57588	Tadh_TriadT57588	OG_8618	Tadh	Tadh.brown4
Tadh_TriadG61842	Tadh_TriadT61842	OG_933	Tadh	Tadh.brown4
Tadh_wf_g3896	Tadh_wf_g3896.t1	OG_8530	Tadh	Tadh.brown4
Tadh_TriadG21058	Tadh_TriadT21058	OG_4876	Tadh	Tadh.brown4
Tadh_TriadG61823	Tadh_TriadT61823	OG_3079	Tadh	Tadh.brown4
Tadh_TriadG15366	Tadh_TriadT15366	OG_4261	Tadh	Tadh.brown4
Tadh_TriadG55805	Tadh_TriadT55805	OG_10651	Tadh	Tadh.brown4
Tadh_TriadG54040	Tadh_TriadT54040	OG_6770	Tadh	Tadh.brown4
Tadh_wf_g11348	Tadh_wf_g11348.t1	OG_8142	Tadh	Tadh.brown4
Tadh_wf_g8332	Tadh_wf_g8332.t1	OG_4562	Tadh	Tadh.brown4
Tadh_wf_g2794	Tadh_wf_g2794.t1	OG_1881	Tadh	Tadh.brown4
Tadh_TriadG58493	Tadh_TriadT58493	OG_9720	Tadh	Tadh.brown4
Tadh_TriadG54925	Tadh_TriadT54925	OG_5267	Tadh	Tadh.brown4
TrH2_TrispH2_005542	TrH2_TrispH2_005542-RA	OG_3079	TrH2	TrH2.navajowhite2
TrH2_TrispH2_004495	TrH2_TrispH2_004495-RA	OG_4376	TrH2	TrH2.navajowhite2
TrH2_TrispH2_005971	TrH2_TrispH2_005971-RA	OG_400	TrH2	TrH2.navajowhite2
TrH2_TrispH2_008367	TrH2_TrispH2_008367-RA	OG_6278	TrH2	TrH2.navajowhite2
TrH2_TrispH2_011372	TrH2_TrispH2_011372-RA	OG_10577	TrH2	TrH2.navajowhite2
TrH2_TrispH2_004600	TrH2_TrispH2_004600-RA	OG_8618	TrH2	TrH2.navajowhite2
TrH2_TrispH2_005561	TrH2_TrispH2_005561-RA	OG_933	TrH2	TrH2.navajowhite2
TrH2_TrispH2_009980	TrH2_TrispH2_009980-RA	OG_8530	TrH2	TrH2.navajowhite2
TrH2_TrispH2_008497	TrH2_TrispH2_008497-RA	OG_4261	TrH2	TrH2.navajowhite2
TrH2_TrispH2_002621	TrH2_TrispH2_002621-RA	OG_6991	TrH2	TrH2.navajowhite2
TrH2_TrispH2_000210	TrH2_TrispH2_000210-RA	OG_8969	TrH2	TrH2.navajowhite2
TrH2_TrispH2_001061	TrH2_TrispH2_001061-RA	OG_8148	TrH2	TrH2.navajowhite2
TrH2_TrispH2_002783	TrH2_TrispH2_002783-RA	OG_5846	TrH2	TrH2.navajowhite2
TrH2_TrispH2_011715	TrH2_TrispH2_011715-RA	OG_8142	TrH2	TrH2.navajowhite2
TrH2_TrispH2_009602	TrH2_TrispH2_009602-RA	OG_4876	TrH2	TrH2.navajowhite2
TrH2_TrispH2_005972	TrH2_TrispH2_005972-RA	OG_399	TrH2	TrH2.navajowhite2
TrH2_TrispH2_011430	TrH2_TrispH2_011430-RA	OG_3561	TrH2	TrH2.navajowhite2
Hhon_g07432.t1	Hhon_g07432.t1	OG_4376	Hhon	Hhon.plum2
Hhon_g03414.t1	Hhon_g03414.t1	OG_934	Hhon	Hhon.plum2
Hhon_g03395.t1	Hhon_g03395.t1	OG_3079	Hhon	Hhon.plum2
Hhon_g01474.t1	Hhon_g01474.t1	OG_400	Hhon	Hhon.plum2
Hhon_g05326.t1	Hhon_g05326.t1	OG_6991	Hhon	Hhon.plum2
Hhon_g10154.t1	Hhon_g10154.t1	OG_6278	Hhon	Hhon.plum2
Hhon_g00405.t1	Hhon_g00405.t1	OG_5846	Hhon	Hhon.plum2
Hhon_g04199.t1	Hhon_g04199.t1	OG_4261	Hhon	Hhon.plum2
Hhon_g10425.t1	Hhon_g10425.t1	OG_4235	Hhon	Hhon.plum2
Hhon_g00324.t1	Hhon_g00324.t1	OG_103	Hhon	Hhon.plum2
Hhon_g05232.t1	Hhon_g05232.t1	OG_4629	Hhon	Hhon.plum2
Hhon_g11284.t1	Hhon_g11284.t1	OG_6292	Hhon	Hhon.plum2
Hhon_g07230.t1	Hhon_g07230.t1	OG_8530	Hhon	Hhon.plum2
Hhon_g07398.t1	Hhon_g07398.t1	OG_9541	Hhon	Hhon.plum2
Hhon_g04916.t1	Hhon_g04916.t1	OG_8194	Hhon	Hhon.plum2
Hhon_g09241.t1	Hhon_g09241.t1	OG_9145	Hhon	Hhon.plum2
HoiH23_PlH23_007050	HoiH23_PlH23_007050-RA	OG_5353	HoiH23	HoiH23.lightcyan1
HoiH23_PlH23_007049	HoiH23_PlH23_007049-RA	OG_5352	HoiH23	HoiH23.lightcyan1
HoiH23_PlH23_009317	HoiH23_PlH23_009317-RA	OG_4261	HoiH23	HoiH23.lightcyan1
HoiH23_PlH23_001972	HoiH23_PlH23_001972-RA	OG_400	HoiH23	HoiH23.lightcyan1
HoiH23_PlH23_006042	HoiH23_PlH23_006042-RA	OG_6278	HoiH23	HoiH23.lightcyan1
HoiH23_PlH23_004511	HoiH23_PlH23_004511-RA	OG_4364	HoiH23	HoiH23.lightcyan1
HoiH23_PlH23_009485	HoiH23_PlH23_009485-RA	OG_103	HoiH23	HoiH23.lightcyan1
HoiH23_PlH23_004643	HoiH23_PlH23_004643-RA	OG_3079	HoiH23	HoiH23.lightcyan1
HoiH23_PlH23_001773	HoiH23_PlH23_001773-RA	OG_5843	HoiH23	HoiH23.lightcyan1
HoiH23_PlH23_007419	HoiH23_PlH23_007419-RA	OG_934	HoiH23	HoiH23.lightcyan1
HoiH23_PlH23_001780	HoiH23_PlH23_001780-RA	OG_5846	HoiH23	HoiH23.lightcyan1
HoiH23_PlH23_003100	HoiH23_PlH23_003100-RA	OG_4689	HoiH23	HoiH23.lightcyan1
HoiH23_PlH23_010987	HoiH23_PlH23_010987-RA	OG_5401	HoiH23	HoiH23.lightcyan1
HoiH23_PlH23_000743	HoiH23_PlH23_000743-RA	OG_8969	HoiH23	HoiH23.lightcyan1
HoiH23_PlH23_011798	HoiH23_PlH23_011798-RA	OG_6278	HoiH23	HoiH23.lightcyan1
HoiH23_PlH23_000892	HoiH23_PlH23_000892-RA	OG_189	HoiH23	HoiH23.lightcyan1
HoiH23_PlH23_006908	HoiH23_PlH23_006908-RA	OG_4235	HoiH23	HoiH23.lightcyan1
HoiH23_PlH23_003265	HoiH23_PlH23_003265-RA	OG_9720	HoiH23	HoiH23.lightcyan1
