Tadh_TriadG50246	Tadh_TriadT50246
Tadh_TriadG32492	Tadh_TriadT32492
Tadh_TriadG63114	Tadh_TriadT63114
Tadh_TriadG63587	Tadh_TriadT63587
Tadh_TriadG64078	Tadh_TriadT64078
Tadh_TriadG63746	Tadh_TriadT63746
Tadh_TriadG63123	Tadh_TriadT63123
Tadh_TriadG63784	Tadh_TriadT63784
Tadh_TriadG22309	Tadh_TriadT22309
Tadh_TriadG36227	Tadh_TriadT36227
Tadh_TriadG25492	Tadh_TriadT25492
Tadh_TriadG58643	Tadh_TriadT58643
Tadh_TriadG52140	Tadh_TriadT52140
Tadh_TriadG37067	Tadh_TriadT37067
Tadh_TriadG37048	Tadh_TriadT37048
Tadh_TriadG56473	Tadh_TriadT56473
Tadh_TriadG29364	Tadh_TriadT29364
Tadh_TriadG64165	Tadh_TriadT64165
Tadh_TriadG9015	Tadh_TriadT9015
Tadh_TriadG59655	Tadh_TriadT59655
Tadh_TriadG63741	Tadh_TriadT63741
Tadh_TriadG56433	Tadh_TriadT56433
Tadh_TriadG55838	Tadh_TriadT55838
Tadh_TriadG59485	Tadh_TriadT59485
Tadh_TriadG23237	Tadh_TriadT23237
Tadh_TriadG38228	Tadh_TriadT38228
Tadh_TriadG63474	Tadh_TriadT63474
Tadh_TriadG63785	Tadh_TriadT63785
Tadh_TriadG24746	Tadh_TriadT24746
Tadh_TriadG64068	Tadh_TriadT64068
Tadh_TriadG55681	Tadh_TriadT55681
Tadh_TriadG60142	Tadh_TriadT60142
Tadh_TriadG59664	Tadh_TriadT59664
Tadh_TriadG59650	Tadh_TriadT59650
Tadh_TriadG51427	Tadh_TriadT51427
Tadh_TriadG37088	Tadh_TriadT37088
Tadh_TriadG60535	Tadh_TriadT60535
Tadh_TriadG63457	Tadh_TriadT63457
Tadh_TriadG13142	Tadh_TriadT13142
Tadh_TriadG8831	Tadh_TriadT8831
Tadh_hyp_clust8318	Tadh_hyp_clust8318.t1
Tadh_TriadG64003	Tadh_TriadT64003
Tadh_TriadG64074	Tadh_TriadT64074
Tadh_TriadG18263	Tadh_TriadT18263
Tadh_wf_g8064	Tadh_wf_g8064.t1
Tadh_orphan_1987	Tadh_orphan_1987
Tadh_TriadG8840	Tadh_TriadT8840
Tadh_TriadG27102	Tadh_TriadT27102
Tadh_wf_g1217	Tadh_wf_g1217.t1
Tadh_TriadG56939	Tadh_TriadT56939
Tadh_wf_g6950	Tadh_wf_g6950.t1
Tadh_TriadG56287	Tadh_TriadT56287
Tadh_TriadG59076	Tadh_TriadT59076
Tadh_TriadG50496	Tadh_TriadT50496
Tadh_orphan_2507	Tadh_orphan_2507
Tadh_TriadG54073	Tadh_TriadT54073
Tadh_TriadG21297	Tadh_TriadT21297
Tadh_TriadG63184	Tadh_TriadT63184
