gene	transcript	orthogroup	species	gene_module
Tadh_wf_g10593	Tadh_wf_g10593.t1	OG_5369	Tadh	Tadh.navajowhite2
Tadh_wf_g10594	Tadh_wf_g10594.t1	OG_4210	Tadh	Tadh.navajowhite2
Tadh_wf_g5353	Tadh_wf_g5353.t1	OG_4965	Tadh	Tadh.navajowhite2
Tadh_TriadG54256	Tadh_TriadT54256	OG_192	Tadh	Tadh.navajowhite2
Tadh_wf_g3279	Tadh_wf_g3279.t1	OG_7792	Tadh	Tadh.navajowhite2
Tadh_wf_g9812	Tadh_wf_g9812.t1	OG_6136	Tadh	Tadh.navajowhite2
Tadh_TriadG57372	Tadh_TriadT57372	OG_1429	Tadh	Tadh.navajowhite2
Tadh_TriadG59844	Tadh_TriadT59844	OG_3974	Tadh	Tadh.navajowhite2
Tadh_wf_g6497	Tadh_wf_g6497.t1	OG_8094	Tadh	Tadh.navajowhite2
Tadh_TriadG62196	Tadh_TriadT62196	OG_4087	Tadh	Tadh.navajowhite2
Tadh_TriadG59025	Tadh_TriadT59025	OG_10006	Tadh	Tadh.navajowhite2
Tadh_TriadG22445	Tadh_TriadT22445	OG_3740	Tadh	Tadh.navajowhite2
Tadh_TriadG59345	Tadh_TriadT59345	OG_7054	Tadh	Tadh.navajowhite2
Tadh_TriadG27553	Tadh_TriadT27553	OG_8459	Tadh	Tadh.navajowhite2
Tadh_TriadG61965	Tadh_TriadT61965	OG_1397	Tadh	Tadh.navajowhite2
TrH2_TrispH2_011363	TrH2_TrispH2_011363-RA	OG_3009	TrH2	TrH2.lightpink4
TrH2_TrispH2_006280	TrH2_TrispH2_006280-RA	OG_10721	TrH2	TrH2.lightpink4
TrH2_TrispH2_001220	TrH2_TrispH2_001220-RA	OG_7792	TrH2	TrH2.lightpink4
TrH2_TrispH2_000429	TrH2_TrispH2_000429-RA	OG_3974	TrH2	TrH2.lightpink4
TrH2_TrispH2_010502	TrH2_TrispH2_010502-RA	OG_6136	TrH2	TrH2.lightpink4
TrH2_TrispH2_002674	TrH2_TrispH2_002674-RA	OG_437	TrH2	TrH2.lightpink4
TrH2_TrispH2_010599	TrH2_TrispH2_010599-RA	OG_4319	TrH2	TrH2.lightpink4
TrH2_TrispH2_006905	TrH2_TrispH2_006905-RA	OG_10006	TrH2	TrH2.lightpink4
TrH2_TrispH2_002719	TrH2_TrispH2_002719-RA	OG_6649	TrH2	TrH2.lightpink4
TrH2_TrispH2_011947	TrH2_TrispH2_011947-RA	OG_3980	TrH2	TrH2.lightpink4
TrH2_TrispH2_005106	TrH2_TrispH2_005106-RA	OG_1429	TrH2	TrH2.lightpink4
TrH2_TrispH2_011174	TrH2_TrispH2_011174-RA	OG_4087	TrH2	TrH2.lightpink4
TrH2_TrispH2_006274	TrH2_TrispH2_006274-RA	OG_6800	TrH2	TrH2.lightpink4
TrH2_TrispH2_009161	TrH2_TrispH2_009161-RA	OG_3980	TrH2	TrH2.lightpink4
TrH2_TrispH2_010963	TrH2_TrispH2_010963-RA	OG_4551	TrH2	TrH2.lightpink4
TrH2_TrispH2_003037	TrH2_TrispH2_003037-RA	OG_6026	TrH2	TrH2.lightpink4
TrH2_TrispH2_007570	TrH2_TrispH2_007570-RA	OG_4216	TrH2	TrH2.lightpink4
TrH2_TrispH2_004137	TrH2_TrispH2_004137-RA	OG_5205	TrH2	TrH2.lightpink4
TrH2_TrispH2_011318	TrH2_TrispH2_011318-RA	OG_4146	TrH2	TrH2.lightpink4
Hhon_g08018.t1	Hhon_g08018.t1	OG_3039	Hhon	Hhon.steelblue
Hhon_g07093.t1	Hhon_g07093.t1	OG_8289	Hhon	Hhon.steelblue
Hhon_g00744.t1	Hhon_g00744.t1	OG_9191	Hhon	Hhon.steelblue
Hhon_g05052.t1	Hhon_g05052.t1	OG_1429	Hhon	Hhon.steelblue
Hhon_g08211.t1	Hhon_g08211.t1	OG_7475	Hhon	Hhon.steelblue
Hhon_g01681.t1	Hhon_g01681.t1	OG_5205	Hhon	Hhon.steelblue
Hhon_g11706.t1	Hhon_g11706.t1	OG_6424	Hhon	Hhon.steelblue
Hhon_g01989.t1	Hhon_g01989.t1	OG_6709	Hhon	Hhon.steelblue
Hhon_g01935.t1	Hhon_g01935.t1	OG_6424	Hhon	Hhon.steelblue
Hhon_g01341.t1	Hhon_g01341.t1	OG_4981	Hhon	Hhon.steelblue
Hhon_g08692.t1	Hhon_g08692.t1	OG_9972	Hhon	Hhon.steelblue
Hhon_g01583.t1	Hhon_g01583.t1	OG_437	Hhon	Hhon.steelblue
Hhon_g10772.t1	Hhon_g10772.t1	OG_6446	Hhon	Hhon.steelblue
Hhon_g11653.t1	Hhon_g11653.t1	OG_7071	Hhon	Hhon.steelblue
Hhon_g07133.t1	Hhon_g07133.t1	OG_3740	Hhon	Hhon.steelblue
Hhon_g00790.t1	Hhon_g00790.t1	OG_7819	Hhon	Hhon.steelblue
Hhon_g08277.t1	Hhon_g08277.t1	OG_6139	Hhon	Hhon.steelblue
Hhon_g04761.t1	Hhon_g04761.t1	OG_6800	Hhon	Hhon.steelblue
Hhon_g09123.t1	Hhon_g09123.t1	OG_9549	Hhon	Hhon.steelblue
Hhon_g10567.t1	Hhon_g10567.t1	OG_3974	Hhon	Hhon.steelblue
