orthogroup	orthogroup_name	pres_expression	gain_expression	loss_expression	num_expressed	pres_conserved	gain_conserved	loss_conserved	is_tfs	is_neu	is_ion	is_sig	is_siggpcr	is_flag	genes_in_og_Tadh	genes_in_og_TrH2	genes_in_og_Hhon	genes_in_og_HoiH23	genes_in_og_and_community_Tadh	genes_in_og_and_community_TrH2	genes_in_og_and_community_Hhon	genes_in_og_and_community_HoiH23	ogs_tfs	ogs_neu	ogs_ion	ogs_sig	ogs_siggpcr	ogs_flag	pfam_architectures
OG_3163	Homeodomains.HG1.5:HHEX	Hhon,HoiH23,Tadh	Placozoa	TrH2	3	Hhon,HoiH23,Tadh,TrH2	Placozoa		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT60751,Tadh_TriadT9560	TrH2_TrispH2_005003-RA	Hhon_g07171.t1	HoiH23_PlH23_004932-RA,HoiH23_PlH23_004933-RA			Hhon_g07171.t1		Homeodomains.HG1.5:HHEX	NA	NA	NA	NA	NA	Homeodomain/
OG_4974	Homeodomains.HG6.11:POU3F1/POU3F2/POU3F3/POU3F4	Hhon,HoiH23,Tadh	Placozoa	TrH2	3	Hhon,HoiH23,Tadh,TrH2	Placozoa		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT16489	TrH2_TrispH2_001875-RA	Hhon_g05884.t1	HoiH23_PlH23_002679-RA	Tadh_TriadT16489		Hhon_g05884.t1	HoiH23_PlH23_002679-RA	Homeodomains.HG6.11:POU3F1/POU3F2/POU3F3/POU3F4	NA	NA	NA	NA	NA	Pou/Homeodomain/
OG_3242	zf-C2H2.HG3.3:like:MTF1/ZNF76/ZNF143	HoiH23,Tadh	Placozoa	Hhon,TrH2	2	HoiH23,Tadh,TrH2	Placozoa	Hhon	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT14248	TrH2_TrispH2_010029-RA		HoiH23_PlH23_011683-RA	Tadh_TriadT14248			HoiH23_PlH23_011683-RA	zf-C2H2.HG3.3:like:MTF1/ZNF76/ZNF143	NA	NA	NA	NA	NA	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/,zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/
OG_3301	SAND.HG1.10:DEAF1	Hhon,HoiH23	Hoilungia		2	Hhon,HoiH23,Tadh,TrH2	Placozoa		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_hyp_clust4360.t1	TrH2_TrispH2_003889-RA	Hhon_g02354.t1	HoiH23_PlH23_000978-RA,HoiH23_PlH23_011039-RA			Hhon_g02354.t1		SAND.HG1.10:DEAF1	NA	NA	NA	NA	NA	SAND/
OG_5050	HLH.HG1.39:MYC/MYCL/MYCN	Hhon,HoiH23	Hoilungia		2	Hhon,HoiH23,Tadh,TrH2	Placozoa		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT57914	TrH2_TrispH2_001455-RA	Hhon_g03563.t1	HoiH23_PlH23_001081-RA			Hhon_g03563.t1	HoiH23_PlH23_001081-RA	HLH.HG1.39:MYC/MYCL/MYCN	NA	NA	NA	NA	NA	Myc_N/HLH/
OG_9654	RFX.HG1.7:RFX4/RFX6	Hhon,HoiH23	Hoilungia		2	Hhon,HoiH23,Tadh,TrH2	Placozoa		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT51678	TrH2_TrispH2_003328-RA	Hhon_g04829.t1	HoiH23_PlH23_009624-RA			Hhon_g04829.t1	HoiH23_PlH23_009624-RA	RFX.HG1.7:RFX4/RFX6	NA	NA	NA	NA	NA	RFX_DNA_binding/
OG_2212	bZIP.HG1.1:like:BACH1/BACH2/MAF/MAFA/MAFB/MAFF/MAFG/MAFK/NFE2/NFE2L1/NFE2L2/NFE2L3/NRL	HoiH23	HoiH23		1	Hhon,HoiH23,Tadh,TrH2	Placozoa		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT60298	TrH2_TrispH2_000858-RA	Hhon_g08089.t1	HoiH23_PlH23_005699-RA				HoiH23_PlH23_005699-RA	bZIP.HG1.1:like:BACH1/BACH2/MAF/MAFA/MAFB/MAFF/MAFG/MAFK/NFE2/NFE2L1/NFE2L2/NFE2L3/NRL	NA	NA	NA	NA	NA	bZIP_Maf/
OG_4282	Myb.HG1.1:DNAJC1/DNAJC2	HoiH23	HoiH23		1	Hhon,HoiH23,Tadh,TrH2	Placozoa		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT12520	TrH2_TrispH2_000041-RA	Hhon_g04004.t1	HoiH23_PlH23_010626-RA				HoiH23_PlH23_010626-RA	Myb.HG1.1:DNAJC1/DNAJC2	NA	NA	NA	NA	NA	DnaJ/RAC_head/Myb_DNA-binding/
OG_4880	DBD_Tnp_MULE.Unclassified	Hhon	Hhon		1	Hhon,HoiH23,Tadh	Placozoa	TrH2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_wf_g12043.t1,Tadh_wf_g12438.t1,Tadh_wf_g12558.t1		Hhon_g05946.t1,Hhon_g09787.t1	HoiH23_PlH23_011238-RA					DBD_Tnp_MULE.Unclassified	NA	NA	NA	NA	NA	DBD_Tnp_Mut/MULE/SWIM/,MULE/
OG_6194	Myb.HG1.3:SMARCC1/SMARCC2,SWI_SNF_related_matrix_associated_actin_dependent_regulator_of_chromatin_subfamily_c_member_2	HoiH23	HoiH23		1	Hhon,HoiH23,Tadh,TrH2	Placozoa		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT31063	TrH2_TrispH2_009433-RA,TrH2_TrispH2_009434-RA	Hhon_g07010.t1	HoiH23_PlH23_009583-RA				HoiH23_PlH23_009583-RA	Myb.HG1.3:SMARCC1/SMARCC2	NA	NA	NA	NA	NA	SWIRM-assoc_2/,SWIRM-assoc_2/SWIRM/Myb_DNA-binding/,SWIRM-assoc_2/SWIRM/Myb_DNA-binding/SWIRM-assoc_3/SWIRM-assoc_1/
