gene	transcript	orthogroup	species	gene_module
Tadh_wf_g7138	Tadh_wf_g7138.t1	OG_10639	Tadh	Tadh.orangered4
Tadh_TriadG25440	Tadh_TriadT25440	OG_5352	Tadh	Tadh.orangered4
Tadh_TriadG37773	Tadh_TriadT37773	OG_5353	Tadh	Tadh.orangered4
Tadh_TriadG3502	Tadh_TriadT3502	OG_4689	Tadh	Tadh.orangered4
Tadh_TriadG52582	Tadh_TriadT52582	OG_8958	Tadh	Tadh.orangered4
Tadh_TriadG61612	Tadh_TriadT61612	OG_2967	Tadh	Tadh.orangered4
Tadh_TriadG33120	Tadh_TriadT33120	OG_5910	Tadh	Tadh.orangered4
Tadh_wf_g11463	Tadh_wf_g11463.t1	OG_4561	Tadh	Tadh.orangered4
Tadh_TriadG51577	Tadh_TriadT51577	OG_4605	Tadh	Tadh.orangered4
Tadh_TriadG28157	Tadh_TriadT28157	OG_6264	Tadh	Tadh.orangered4
Tadh_TriadG29696	Tadh_TriadT29696	OG_4781	Tadh	Tadh.orangered4
Tadh_TriadG56934	Tadh_TriadT56934	OG_8157	Tadh	Tadh.orangered4
Tadh_wf_g10792	Tadh_wf_g10792.t1	OG_4221	Tadh	Tadh.orangered4
Tadh_wf_g7732	Tadh_wf_g7732.t1	OG_7365	Tadh	Tadh.orangered4
Tadh_TriadG57337	Tadh_TriadT57337	OG_10645	Tadh	Tadh.orangered4
Tadh_wf_g8465	Tadh_wf_g8465.t1	OG_4762	Tadh	Tadh.orangered4
Tadh_TriadG59534	Tadh_TriadT59534	OG_4762	Tadh	Tadh.orangered4
Tadh_wf_g8915	Tadh_wf_g8915.t1	OG_4233	Tadh	Tadh.orangered4
Tadh_TriadG30433	Tadh_TriadT30433	OG_3067	Tadh	Tadh.orangered4
Tadh_TriadG52580	Tadh_TriadT52580	OG_8959	Tadh	Tadh.orangered4
Tadh_TriadG60044	Tadh_TriadT60044	OG_10102	Tadh	Tadh.orangered4
Tadh_TriadG61763	Tadh_TriadT61763	OG_10027	Tadh	Tadh.orangered4
Tadh_TriadG19349	Tadh_TriadT19349	OG_4366	Tadh	Tadh.orangered4
Tadh_TriadG60991	Tadh_TriadT60991	OG_2868	Tadh	Tadh.orangered4
Tadh_TriadG61643	Tadh_TriadT61643	OG_4059	Tadh	Tadh.orangered4
Tadh_TriadG62135	Tadh_TriadT62135	OG_9926	Tadh	Tadh.orangered4
TrH2_TrispH2_004497	TrH2_TrispH2_004497-RA	OG_10639	TrH2	TrH2.mediumpurple3
TrH2_TrispH2_003779	TrH2_TrispH2_003779-RA	OG_5352	TrH2	TrH2.mediumpurple3
TrH2_TrispH2_003780	TrH2_TrispH2_003780-RA	OG_5353	TrH2	TrH2.mediumpurple3
TrH2_TrispH2_000258	TrH2_TrispH2_000258-RA	OG_4689	TrH2	TrH2.mediumpurple3
TrH2_TrispH2_006127	TrH2_TrispH2_006127-RA	OG_5289	TrH2	TrH2.mediumpurple3
TrH2_TrispH2_002313	TrH2_TrispH2_002313-RA	OG_6308	TrH2	TrH2.mediumpurple3
TrH2_TrispH2_006371	TrH2_TrispH2_006371-RA	OG_4604	TrH2	TrH2.mediumpurple3
TrH2_TrispH2_010080	TrH2_TrispH2_010080-RA	OG_4867	TrH2	TrH2.mediumpurple3
TrH2_TrispH2_010781	TrH2_TrispH2_010781-RA	OG_7365	TrH2	TrH2.mediumpurple3
TrH2_TrispH2_008284	TrH2_TrispH2_008284-RA	OG_5414	TrH2	TrH2.mediumpurple3
TrH2_TrispH2_005071	TrH2_TrispH2_005071-RA	OG_10645	TrH2	TrH2.mediumpurple3
TrH2_TrispH2_009366	TrH2_TrispH2_009366-RA	OG_5910	TrH2	TrH2.mediumpurple3
TrH2_TrispH2_008684	TrH2_TrispH2_008684-RA	OG_8579	TrH2	TrH2.mediumpurple3
TrH2_TrispH2_010019	TrH2_TrispH2_010019-RA	OG_3067	TrH2	TrH2.mediumpurple3
TrH2_TrispH2_011295	TrH2_TrispH2_011295-RA	OG_10102	TrH2	TrH2.mediumpurple3
TrH2_TrispH2_008283	TrH2_TrispH2_008283-RA	OG_5413	TrH2	TrH2.mediumpurple3
TrH2_TrispH2_006904	TrH2_TrispH2_006904-RA	OG_10005	TrH2	TrH2.mediumpurple3
TrH2_TrispH2_007054	TrH2_TrispH2_007054-RA	OG_4233	TrH2	TrH2.mediumpurple3
TrH2_TrispH2_010244	TrH2_TrispH2_010244-RA	OG_8517	TrH2	TrH2.mediumpurple3
TrH2_TrispH2_010117	TrH2_TrispH2_010117-RA	OG_4781	TrH2	TrH2.mediumpurple3
TrH2_TrispH2_001625	TrH2_TrispH2_001625-RA	OG_281	TrH2	TrH2.mediumpurple3
TrH2_TrispH2_011603	TrH2_TrispH2_011603-RA	OG_9169	TrH2	TrH2.mediumpurple3
TrH2_TrispH2_011846	TrH2_TrispH2_011846-RA	OG_2959	TrH2	TrH2.mediumpurple3
TrH2_TrispH2_010168	TrH2_TrispH2_010168-RA	OG_4561	TrH2	TrH2.mediumpurple3
TrH2_TrispH2_003980	TrH2_TrispH2_003980-RA	OG_7195	TrH2	TrH2.mediumpurple3
TrH2_TrispH2_010638	TrH2_TrispH2_010638-RA	OG_4760	TrH2	TrH2.mediumpurple3
TrH2_TrispH2_008184	TrH2_TrispH2_008184-RA	OG_5175	TrH2	TrH2.mediumpurple3
TrH2_TrispH2_007772	TrH2_TrispH2_007772-RA	OG_10367	TrH2	TrH2.mediumpurple3
TrH2_TrispH2_002181	TrH2_TrispH2_002181-RA	OG_7269	TrH2	TrH2.mediumpurple3
TrH2_TrispH2_009661	TrH2_TrispH2_009661-RA	OG_4314	TrH2	TrH2.mediumpurple3
Hhon_g05298.t1	Hhon_g05298.t1	OG_8958	Hhon	Hhon.salmon4
Hhon_g05671.t1	Hhon_g05671.t1	OG_5353	Hhon	Hhon.salmon4
Hhon_g05670.t1	Hhon_g05670.t1	OG_5352	Hhon	Hhon.salmon4
Hhon_g06379.t1	Hhon_g06379.t1	OG_5289	Hhon	Hhon.salmon4
Hhon_g07431.t1	Hhon_g07431.t1	OG_10638	Hhon	Hhon.salmon4
Hhon_g05962.t1	Hhon_g05962.t1	OG_4689	Hhon	Hhon.salmon4
Hhon_g03238.t1	Hhon_g03238.t1	OG_6365	Hhon	Hhon.salmon4
Hhon_g05155.t1	Hhon_g05155.t1	OG_10235	Hhon	Hhon.salmon4
Hhon_g01526.t1	Hhon_g01526.t1	OG_6308	Hhon	Hhon.salmon4
Hhon_g09669.t1	Hhon_g09669.t1	OG_3982	Hhon	Hhon.salmon4
Hhon_g09834.t1	Hhon_g09834.t1	OG_8579	Hhon	Hhon.salmon4
Hhon_g02044.t1	Hhon_g02044.t1	OG_4604	Hhon	Hhon.salmon4
Hhon_g08678.t1	Hhon_g08678.t1	OG_5656	Hhon	Hhon.salmon4
Hhon_g05297.t1	Hhon_g05297.t1	OG_8959	Hhon	Hhon.salmon4
Hhon_g01573.t1	Hhon_g01573.t1	OG_432	Hhon	Hhon.salmon4
