gene	transcript	orthogroup	species	gene_module
Tadh_TriadG64015	Tadh_TriadT64015	OG_7323	Tadh	Tadh.saddlebrown
Tadh_TriadG31124	Tadh_TriadT31124	OG_6686	Tadh	Tadh.saddlebrown
Tadh_TriadG52779	Tadh_TriadT52779	OG_3004	Tadh	Tadh.saddlebrown
Tadh_TriadG26286	Tadh_TriadT26286	OG_7350	Tadh	Tadh.saddlebrown
Tadh_TriadG52143	Tadh_TriadT52143	OG_5105	Tadh	Tadh.saddlebrown
Tadh_TriadG57353	Tadh_TriadT57353	OG_2461	Tadh	Tadh.saddlebrown
Tadh_TriadG54579	Tadh_TriadT54579	OG_10144	Tadh	Tadh.saddlebrown
Tadh_wf_g1664	Tadh_wf_g1664.t1	OG_9853	Tadh	Tadh.saddlebrown
Tadh_TriadG59577	Tadh_TriadT59577	OG_2964	Tadh	Tadh.saddlebrown
Tadh_TriadG64017	Tadh_TriadT64017	OG_7308	Tadh	Tadh.saddlebrown
Tadh_TriadG54513	Tadh_TriadT54513	OG_5725	Tadh	Tadh.saddlebrown
Tadh_TriadG64016	Tadh_TriadT64016	OG_7317	Tadh	Tadh.saddlebrown
Tadh_TriadG37563	Tadh_TriadT37563	OG_3813	Tadh	Tadh.saddlebrown
Tadh_TriadG4071	Tadh_TriadT4071	OG_10024	Tadh	Tadh.saddlebrown
Tadh_wf_g4208	Tadh_wf_g4208.t1	OG_7114	Tadh	Tadh.saddlebrown
Tadh_TriadG24158	Tadh_TriadT24158	OG_7121	Tadh	Tadh.saddlebrown
Tadh_TriadG50524	Tadh_TriadT50524	OG_4383	Tadh	Tadh.saddlebrown
Tadh_TriadG55968	Tadh_TriadT55968	OG_10084	Tadh	Tadh.saddlebrown
Tadh_TriadG58846	Tadh_TriadT58846	OG_7366	Tadh	Tadh.saddlebrown
Tadh_TriadG58221	Tadh_TriadT58221	OG_3	Tadh	Tadh.saddlebrown
Tadh_TriadG63974	Tadh_TriadT63974	OG_7043	Tadh	Tadh.saddlebrown
Tadh_TriadG54952	Tadh_TriadT54952	OG_6217	Tadh	Tadh.saddlebrown
Tadh_TriadG27062	Tadh_TriadT27062	OG_7314	Tadh	Tadh.saddlebrown
Tadh_TriadG63601	Tadh_TriadT63601	OG_9859	Tadh	Tadh.saddlebrown
Tadh_TriadG55241	Tadh_TriadT55241	OG_4627	Tadh	Tadh.saddlebrown
Tadh_TriadG64281	Tadh_TriadT64281	OG_1056	Tadh	Tadh.saddlebrown
Tadh_TriadG57484	Tadh_TriadT57484	OG_7322	Tadh	Tadh.saddlebrown
Tadh_TriadG55948	Tadh_TriadT55948	OG_7676	Tadh	Tadh.saddlebrown
Tadh_TriadG64103	Tadh_TriadT64103	OG_9840	Tadh	Tadh.saddlebrown
Tadh_TriadG20518	Tadh_TriadT20518	OG_10588	Tadh	Tadh.saddlebrown
Tadh_wf_g10657	Tadh_wf_g10657.t1	OG_10532	Tadh	Tadh.saddlebrown
Tadh_TriadG54287	Tadh_TriadT54287	OG_9395	Tadh	Tadh.saddlebrown
Tadh_TriadG53951	Tadh_TriadT53951	OG_7129	Tadh	Tadh.saddlebrown
Tadh_TriadG57489	Tadh_TriadT57489	OG_7319	Tadh	Tadh.saddlebrown
