gene	orthogroup	species
Tadh_TriadT64150	OG_1	Tadh
TrH2_TrispH2_005795-RA	OG_1	TrH2
HoiH23_PlH23_008000-RA	OG_1	HoiH23
Mmus_ENSMUST00000137824	OG_1	Mmus
Nvec_v1g215851	OG_1	Nvec
Hvul_g26089_1	OG_1	Hvul
Spis_XP_022806833_1	OG_1	Spis
Spis_XP_022788317_1	OG_1	Spis
Spolac_c101229_g1	OG_1	Spolac
Tadh_TriadT52891	OG_4	Tadh
Tadh_TriadT32551	OG_4	Tadh
Tadh_TriadT56514	OG_4	Tadh
TrH2_TrispH2_004204-RA	OG_4	TrH2
TrH2_TrispH2_003604-RA	OG_4	TrH2
TrH2_TrispH2_001873-RA	OG_4	TrH2
Hhon_g09234.t1	OG_4	Hhon
Hhon_g09096.t1	OG_4	Hhon
Hhon_g10252.t1	OG_4	Hhon
Hhon_g05882.t1	OG_4	Hhon
HoiH23_PlH23_010248-RA	OG_4	HoiH23
HoiH23_PlH23_009650-RA	OG_4	HoiH23
HoiH23_PlH23_005491-RA	OG_4	HoiH23
HoiH23_PlH23_002677-RA	OG_4	HoiH23
Mmus_ENSMUST00000169036	OG_4	Mmus
Mmus_ENSMUST00000219577	OG_4	Mmus
Mmus_ENSMUST00000119211	OG_4	Mmus
Nvec_v1g197658	OG_4	Nvec
Nvec_NVE15906	OG_4	Nvec
Nvec_NVE26178	OG_4	Nvec
Nvec_NVE1347	OG_4	Nvec
Nvec_NVE12033	OG_4	Nvec
Nvec_v1g215613	OG_4	Nvec
Nvec_v1g206964	OG_4	Nvec
Nvec_NVE15309	OG_4	Nvec
Nvec_v1g90364	OG_4	Nvec
Nvec_v1g211739	OG_4	Nvec
Nvec_v1g223254	OG_4	Nvec
Nvec_v1g107846	OG_4	Nvec
Nvec_v1g111492	OG_4	Nvec
Nvec_v1g192346	OG_4	Nvec
Nvec_v1g115395	OG_4	Nvec
Nvec_v1g121820	OG_4	Nvec
Nvec_v1g195516	OG_4	Nvec
Nvec_NVE18428	OG_4	Nvec
Nvec_v1g221215	OG_4	Nvec
Nvec_v1g245073	OG_4	Nvec
Nvec_NVE2	OG_4	Nvec
Nvec_v1g215821	OG_4	Nvec
Nvec_v1g197092	OG_4	Nvec
Nvec_NVE18425	OG_4	Nvec
Hvul_g31135_1	OG_4	Hvul
Hvul_g10982_1	OG_4	Hvul
Hvul_g10891_1	OG_4	Hvul
Hvul_g29858_1	OG_4	Hvul
Hvul_g20011_1	OG_4	Hvul
Hvul_g29149_1	OG_4	Hvul
Hvul_g9018_1	OG_4	Hvul
Hvul_g28191_1	OG_4	Hvul
Hvul_g21818_1	OG_4	Hvul
Hvul_g28192_1	OG_4	Hvul
Spis_XP_022786011_1	OG_4	Spis
Spis_XP_022804224_1	OG_4	Spis
Spis_Spis22542_1	OG_4	Spis
Spis_Spis10296_1	OG_4	Spis
Spis_Spis17805_1	OG_4	Spis
Spis_XP_022790213_1	OG_4	Spis
Spis_Spis21201_1	OG_4	Spis
Spis_XP_022779084_1	OG_4	Spis
Spis_XP_022801290_1	OG_4	Spis
Spis_Spis1130_1	OG_4	Spis
Spis_Spis5754_1	OG_4	Spis
Spis_Spis20675_1	OG_4	Spis
Spis_XP_022802209_1	OG_4	Spis
Spis_Spis21147_1	OG_4	Spis
Spis_Spis25360_1	OG_4	Spis
Spis_XP_022783762_1	OG_4	Spis
Spis_XP_022781134_1	OG_4	Spis
Spis_Spis12387_1	OG_4	Spis
Spis_Spis19587_1	OG_4	Spis
Spis_Spis8335_1	OG_4	Spis
Spis_XP_022806743_1	OG_4	Spis
Spis_XP_022786946_1	OG_4	Spis
Spis_Spis25522_1	OG_4	Spis
Spis_XP_022778663_1	OG_4	Spis
Spis_Spis9040_1	OG_4	Spis
Spis_Spis18743_1	OG_4	Spis
Spis_XP_022809792_1	OG_4	Spis
Spis_XP_022800753_1	OG_4	Spis
Spis_XP_022780955_1	OG_4	Spis
Spis_XP_022778455_1	OG_4	Spis
Spis_XP_022781103_1	OG_4	Spis
Spis_XP_022805690_1	OG_4	Spis
Spis_XP_022803443_1	OG_4	Spis
Spis_Spis14449_1	OG_4	Spis
Spis_XP_022804839_1	OG_4	Spis
Spis_XP_022810308_1	OG_4	Spis
Spis_XP_022809094_1	OG_4	Spis
Spis_Spis23566_1	OG_4	Spis
Spis_Spis10293_1	OG_4	Spis
Spis_XP_022805372_1	OG_4	Spis
Spis_Spis13713_1	OG_4	Spis
Spis_Spis14304_1	OG_4	Spis
Spis_Spis21016_1	OG_4	Spis
Spis_Spis24467_1	OG_4	Spis
Spis_Spis24941_1	OG_4	Spis
Mlei_ML0523.g7.i1	OG_4	Mlei
Spolac_c103173_g1	OG_4	Spolac
Spolac_c103173_g1	OG_4	Spolac
Spolac_c104240_g1	OG_4	Spolac
Spolac_c104240_g1	OG_4	Spolac
Spolac_c104240_g1	OG_4	Spolac
Spolac_c104240_g1	OG_4	Spolac
Spolac_c104240_g1	OG_4	Spolac
Spolac_c104240_g1	OG_4	Spolac
Spolac_c104240_g1	OG_4	Spolac
Spolac_c104240_g1	OG_4	Spolac
Spolac_c104240_g1	OG_4	Spolac
Spolac_c95180_g1	OG_4	Spolac
Spolac_c103173_g1	OG_4	Spolac
Spolac_c104240_g1	OG_4	Spolac
Spolac_c103173_g1	OG_4	Spolac
Tadh_TriadT18345	OG_10	Tadh
TrH2_TrispH2_009225-RA	OG_10	TrH2
Hhon_g03055.t1	OG_10	Hhon
HoiH23_PlH23_010827-RA	OG_10	HoiH23
Mmus_ENSMUST00000065967	OG_10	Mmus
Mmus_ENSMUST00000117095	OG_10	Mmus
Mmus_ENSMUST00000063888	OG_10	Mmus
Dmel_FBtr0081470	OG_10	Dmel
Dmel_FBtr0306974	OG_10	Dmel
Nvec_v1g96298	OG_10	Nvec
Nvec_NVE10763	OG_10	Nvec
Nvec_NVE23617	OG_10	Nvec
Hvul_g19524_1	OG_10	Hvul
Spis_XP_022783087_1	OG_10	Spis
Mlei_ML3570.g5.i1	OG_10	Mlei
Spolac_c94394_g1	OG_10	Spolac
Spolac_c94394_g2	OG_10	Spolac
Tadh_TriadT50332	OG_13	Tadh
TrH2_TrispH2_011553-RA	OG_13	TrH2
Hhon_g10370.t1	OG_13	Hhon
HoiH23_PlH23_006667-RA	OG_13	HoiH23
HoiH23_PlH23_008405-RA	OG_13	HoiH23
Mmus_ENSMUST00000033749	OG_13	Mmus
Nvec_v1g171009	OG_13	Nvec
Hvul_g8769_1	OG_13	Hvul
Spis_XP_022795683_1	OG_13	Spis
Mlei_ML0438.g3.i1	OG_13	Mlei
Spolac_c102987_g1	OG_13	Spolac
Spolac_c103196_g1	OG_13	Spolac
Spolac_c103196_g1	OG_13	Spolac
