orthogroup	presence	gain	loss	n_gains	n_losses	n_presences
OG_1001	Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		1	0	166
OG_10030	Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		1	0	20
OG_10032	Dmel,Hhon,HoiH23,Hvul,Mmus,Nvec,Spis,Tadh,TrH2	CniBilPla		1	0	23
OG_10035	Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		1	0	20
OG_10039	Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,TrH2	Metazoa	Tadh	1	1	20
OG_10057	Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		1	0	23
OG_10058	Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		1	0	21
OG_10076	Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Tadh,TrH2	Metazoa	Dmel,Spolac	1	2	23
OG_10092	Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Tadh,TrH2	Metazoa	Spolac	1	1	21
OG_10107	Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		1	0	33
OG_10111	Dmel,Hhon,HoiH23,Hvul,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa	Mlei	1	1	21
OG_10118	Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		1	0	23
OG_10120	Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		1	0	21
OG_10127	Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,TrH2	Metazoa	Tadh	1	1	19
OG_10132	Dmel,Hhon,Mlei,Mmus,Nvec,Tadh,TrH2	Metazoa	HoiH23,Hvul,Spis,Spolac	1	4	16
OG_10138	Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		1	0	22
OG_10150	Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Tadh,TrH2	Metazoa	Spolac	1	1	70
OG_10151	Dmel,Hhon,HoiH23,Hvul,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa	Mlei	1	1	97
OG_10152	Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		1	0	22
OG_10167	Dmel,Hhon,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa	HoiH23	1	1	19
OG_10175	Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		1	0	24
OG_1018	Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		1	0	431
